,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
268,Ryan Barbosa,D,MISS,20.693,53,3,5,6,8,14,61,4.92,0.06,0.09,0.11,0.15,0.26,1.15,2.64,0.05,0,1,0.0,1,6,16.67,2,54,3.7,0,2,0.0
269,Colton Kammerer,D,SAR,16.901,52,4,4,6,8,14,63,6.35,0.08,0.08,0.12,0.15,0.27,1.21,2.45,0.05,0,2,0.0,2,3,66.67,2,58,3.45,1,2,50.0
270,Johnathon Schaefer,D,NIAG,20.449,52,2,7,5,9,14,68,2.94,0.04,0.13,0.1,0.17,0.27,1.31,2.04,0.04,0,1,0.0,0,1,0.0,2,66,3.03,1,2,50.0
271,Nikita Okhotyuk,D,OTT,17.78,45,1,8,5,9,14,81,1.23,0.02,0.18,0.11,0.2,0.31,1.8,3.31,0.07,0,1,0.0,0,5,0.0,1,75,1.33,0,0,0.0
272,Anthony Aguanno,D,GUE/KGN,17.495,48,2,6,6,8,14,37,5.41,0.04,0.12,0.12,0.17,0.29,0.77,1.9,0.04,0,2,0.0,1,2,50.0,1,33,3.03,0,1,0.0
273,Cullen McLean,C,SSM,17.594,47,5,8,1,13,14,40,12.5,0.11,0.17,0.02,0.28,0.3,0.85,3.57,0.08,1,8,12.5,2,7,28.57,2,25,8.0,129,304,42.43
274,Isaac Langdon,C,KIT,16.318,54,5,5,4,10,14,47,10.64,0.09,0.09,0.07,0.19,0.26,0.87,3.82,0.07,1,9,11.11,1,8,12.5,3,30,10.0,216,422,51.18
275,Dawson Baker,RW,KGN,18.432,53,8,3,3,11,14,58,13.79,0.15,0.06,0.06,0.21,0.26,1.09,5.56,0.1,2,7,28.57,3,11,27.27,3,40,7.5,162,349,46.42
276,Daniel D'Amato,RW,ER,17.438,53,4,7,3,11,14,72,5.56,0.08,0.13,0.06,0.21,0.26,1.36,7.09,0.13,1,6,16.67,1,17,5.88,2,49,4.08,60,153,39.22
277,Brendan Hoffmann,RW,ER,16.934,54,10,3,1,13,14,94,10.64,0.19,0.06,0.02,0.24,0.26,1.74,6.66,0.12,2,13,15.38,2,13,15.38,6,68,8.82,5,25,20.0
278,Reilly Webb,D,SAG,19.368,58,0,10,4,10,14,89,0.0,0.0,0.17,0.07,0.17,0.24,1.53,2.73,0.05,0,2,0.0,0,0,0.0,0,87,0.0,0,1,0.0
279,Jacob LeGuerrier,D,SSM,17.813,58,5,5,4,10,14,68,7.35,0.09,0.09,0.07,0.17,0.24,1.17,2.81,0.05,1,2,50.0,0,3,0.0,4,63,6.35,0,0,0.0
280,Christopher Cameron,D,BAR,19.3,57,0,5,9,5,14,60,0.0,0.0,0.09,0.16,0.09,0.25,1.05,1.47,0.03,0,0,0.0,0,1,0.0,0,59,0.0,0,0,0.0
281,Daniil Chayka,D,GUE,15.899,47,5,4,4,9,13,53,9.43,0.11,0.09,0.09,0.19,0.28,1.13,2.04,0.04,0,1,0.0,0,2,0.0,5,50,10.0,0,1,0.0
282,Hayden Davis,D,SAG,19.154,41,1,4,8,5,13,51,1.96,0.02,0.1,0.2,0.12,0.32,1.24,1.81,0.04,0,0,0.0,0,1,0.0,1,50,2.0,0,0,0.0
283,Ty Collins,RW,GUE,16.263,38,3,7,3,10,13,24,12.5,0.08,0.18,0.08,0.26,0.34,0.63,2.76,0.07,0,2,0.0,2,11,18.18,1,11,9.09,1,5,20.0
284,Camaryn Baber,C,SAG,17.449,38,5,4,4,9,13,57,8.77,0.13,0.11,0.11,0.24,0.34,1.5,4.55,0.12,0,4,0.0,1,10,10.0,4,43,9.3,149,298,50.0
285,Reid Valade,RW,KIT,16.507,52,3,6,4,9,13,63,4.76,0.06,0.12,0.08,0.17,0.25,1.21,5.15,0.1,1,8,12.5,0,12,0.0,2,43,4.65,14,19,73.68
286,Matt McNamara,D,PBO,18.349,52,3,3,7,6,13,75,4.0,0.06,0.06,0.13,0.12,0.25,1.44,2.46,0.05,0,1,0.0,1,1,100.0,2,73,2.74,0,0,0.0
