"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Morgan Frost","C","SSM","18.341","67","26","32","17","58","75","137","18.98","0.39","0.48","0.25","0.87","1.12","2.04","16.24","0.24","1029.65","15.37","1.52","1.86","0.99","3.38","4.37","7.98","0.95","14.81","14.35","64.22","49.12","12.99","71.32","92","37","8","20","40.0","4","18","22.22","14","99","14.14","559","1052","53.14"
"","Linus Nyman","LW","KGN","18.182","67","33","18","13","51","64","148","22.3","0.49","0.27","0.19","0.76","0.96","2.21","20.38","0.3","1078.14","16.09","1.84","1.0","0.72","2.84","3.56","8.24","1.13","15.93","14.3","55.23","49.62","15.89","62.7","79","47","7","19","36.84","9","31","29.03","17","98","17.35","23","43","53.49"
"","Dmitry Sokolov","RW","BAR/SBY","19.423","64","31","20","12","51","63","183","16.94","0.48","0.31","0.19","0.8","0.98","2.86","27.12","0.42","1046.38","16.35","1.78","1.15","0.69","2.92","3.61","10.49","1.56","14.93","14.31","51.55","50.1","2.82","54.61","77","64","8","17","47.06","12","38","31.58","11","128","8.59","2","7","28.57"
"","Aaron Luchuk","C","WSR/BAR","20.447","68","28","22","17","50","67","196","14.29","0.41","0.32","0.25","0.74","0.99","2.88","25.0","0.37","1147.2","16.87","1.46","1.15","0.89","2.62","3.5","10.25","1.31","15.68","14.63","55.6","50.67","7.8","59.59","87","59","13","44","29.55","6","29","20.69","9","123","7.32","620","1124","55.16"
"","Jordan Kyrou","RW","SAR","19.365","56","23","27","13","50","63","110","20.91","0.41","0.48","0.23","0.89","1.12","1.96","17.18","0.31","763.45","13.63","1.81","2.12","1.02","3.93","4.95","8.65","1.35","14.27","14.45","56.25","50.31","3.28","61.9","65","40","7","29","24.14","5","18","27.78","11","63","17.46","21","43","48.84"
"","Nick Suzuki","C","OS","18.1","64","29","20","15","49","64","196","14.8","0.45","0.31","0.23","0.77","1.0","3.06","22.44","0.35","1008.11","15.75","1.73","1.19","0.89","2.92","3.81","11.67","1.34","15.6","14.57","54.71","49.44","10.18","60.9","81","52","6","25","24.0","11","28","39.29","12","143","8.39","248","462","53.68"
"","Adam Mascherin","LW","KIT","19.278","67","25","21","6","46","52","174","14.37","0.37","0.31","0.09","0.69","0.78","2.6","20.82","0.31","976.28","14.57","1.54","1.29","0.37","2.83","3.2","10.69","1.28","14.86","14.16","54.07","49.07","11.92","62.39","68","41","4","24","16.67","4","32","12.5","17","118","14.41","8","17","47.06"
"","Boris Katchouk","LW","SSM","19.245","58","26","20","6","46","52","127","20.47","0.45","0.34","0.1","0.79","0.9","2.19","19.75","0.34","871.48","15.03","1.79","1.38","0.41","3.17","3.58","8.74","1.36","15.02","14.36","64.53","49.66","12.17","70.75","75","31","5","18","27.78","4","26","15.38","17","83","20.48","17","31","54.84"
"","Lucas Chiodo","LW","BAR","18.875","68","24","20","13","44","57","92","26.09","0.35","0.29","0.19","0.65","0.84","1.35","13.37","0.2","820.68","12.07","1.75","1.46","0.95","3.22","4.17","6.73","0.98","14.15","14.14","57.71","48.46","9.0","65.0","65","35","3","14","21.43","7","21","33.33","14","57","24.56","3","7","42.86"
"","Andrei Svechnikov","RW","BAR","17.473","44","30","14","4","44","48","119","25.21","0.68","0.32","0.09","1.0","1.09","2.7","14.88","0.34","637.79","14.5","2.82","1.32","0.38","4.14","4.52","11.19","1.4","15.65","14.5","57.02","49.77","9.31","67.86","57","27","6","18","33.33","8","27","29.63","16","74","21.62","11","26","42.31"
"","Justin Brazeau","RW","NB","19.617","68","22","22","3","44","47","188","11.7","0.32","0.32","0.04","0.65","0.69","2.76","22.32","0.33","1118.63","16.45","1.18","1.18","0.16","2.36","2.52","10.08","1.2","15.26","14.25","50.64","51.05","7.42","52.31","68","62","7","24","29.17","5","35","14.29","10","129","7.75","0","13","0.0"
"","Sam Miletic","LW","NIAG/LDN","20.367","63","25","18","16","43","59","173","14.45","0.4","0.29","0.25","0.68","0.94","2.75","21.52","0.34","1023.71","16.25","1.47","1.05","0.94","2.52","3.46","10.14","1.26","14.84","14.22","54.67","49.87","17.21","63.79","74","42","6","30","20.0","5","18","27.78","14","125","11.2","10","24","41.67"
