,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Halifax Mooseheads,136,99,64.025,633,354,279,57.49,4842,3580,1262,12.67,0.903,102.93,59.76,265.675,179.035,86.64,11.025,0.9,101.005,39.826,0.494,5.034,0.083,158,103,55,60.31,609,455,154,57.265,25.635,0.774,160,76,84,67.61,752,554,198,57.58,21.2,0.863,315,175,140,64.25,3481,2571,910,57.515,8.595,0.934
1,Baie-Comeau Drakkar,136,83,59.5,521,355,166,57.505,4924,3642,1282,10.4,0.904,100.755,61.835,262.695,162.19,100.5,10.69,0.911,101.765,-7.194,-0.088,-12.308,-0.215,156,104,52,60.675,638,379,259,62.635,24.28,0.726,119,75,44,61.475,655,364,291,64.285,18.04,0.794,246,176,70,58.375,3631,2899,732,55.65,6.57,0.942
2,Blainville-Boisbriand Armada,136,78,58.155,511,367,144,54.495,4112,3417,695,12.05,0.896,101.675,56.23,233.95,181.67,52.28,11.46,0.894,100.785,12.049,0.178,5.172,0.09,157,119,38,56.17,494,420,74,53.465,31.06,0.72,129,82,47,61.155,587,495,92,54.215,21.975,0.836,225,166,59,57.59,3031,2502,529,54.695,7.035,0.938
3,Drummondville Voltigeurs,136,76,53.16,454,403,51,54.155,4173,3533,640,10.69,0.89,99.745,54.625,222.915,184.44,38.475,10.685,0.895,100.195,-0.415,0.0,-8.562,-0.136,126,134,-8,48.895,562,432,130,56.315,22.96,0.698,95,81,14,53.975,509,443,66,53.45,18.63,0.823,233,188,45,55.405,3102,2658,444,53.865,7.27,0.933
4,Val-d'Or Foreurs,136,76,55.555,575,460,115,53.855,4766,4090,676,11.76,0.891,100.845,56.63,272.035,208.79,63.245,11.45,0.898,101.225,7.464,0.094,-13.71,-0.208,222,123,99,64.405,720,489,231,60.08,30.64,0.749,121,125,-4,49.165,688,547,141,55.755,17.13,0.77,232,212,20,52.215,3358,3054,304,52.355,6.645,0.934
5,Quebec Remparts,136,72,55.08,487,397,90,48.855,4062,4253,-191,11.57,0.909,102.485,53.305,216.585,189.77,26.82,10.745,0.911,101.79,16.412,0.247,-2.732,-0.038,154,91,63,62.85,525,403,122,56.505,28.755,0.778,118,64,54,65.05,570,387,183,59.485,20.61,0.838,215,242,-27,47.125,2967,3463,-496,46.15,6.84,0.933
6,Rimouski Oceanic,136,72,55.57,508,407,101,50.82,4244,4108,136,11.665,0.902,101.855,50.525,216.955,212.525,4.435,10.26,0.896,99.89,29.543,0.421,11.022,0.169,122,129,-7,48.52,452,564,-112,44.515,26.45,0.773,118,90,28,56.14,504,440,64,52.955,23.325,0.797,268,188,80,58.725,3288,3104,184,51.42,7.795,0.94
7,Moncton Wildcats,136,72,53.165,485,424,61,52.41,4444,4030,414,10.62,0.898,100.42,51.44,230.17,218.18,11.995,10.42,0.892,99.575,5.827,0.06,14.181,0.193,110,149,-39,42.36,519,597,-78,46.785,20.945,0.748,117,92,25,55.94,606,588,18,50.695,19.33,0.844,258,183,75,58.185,3319,2845,474,53.78,7.395,0.94
8,Rouyn-Noranda Huskies,136,68,51.785,530,493,37,52.325,4204,3824,380,12.38,0.874,99.855,53.44,241.39,210.255,31.135,11.545,0.89,100.5,16.115,0.251,-28.248,-0.445,153,146,7,51.17,536,440,96,54.6,28.875,0.67,132,115,17,53.38,571,497,74,53.535,22.7,0.771,245,232,13,51.375,3097,2887,210,51.715,7.695,0.924
9,Gatineau Olympiques,136,60,49.415,464,476,-12,51.045,3964,3798,166,11.41,0.877,99.12,50.83,212.565,204.73,7.835,10.74,0.892,99.92,12.435,0.2,-28.27,-0.439,166,157,9,51.355,551,545,6,50.335,29.955,0.714,106,115,-9,48.48,523,556,-33,48.68,19.995,0.796,192,204,-12,48.455,2890,2697,193,51.655,6.3,0.927
10,Victoriaville Tigres,136,59,51.175,457,436,21,48.635,4190,4426,-236,10.635,0.904,100.995,48.135,221.975,239.17,-17.19,10.635,0.892,99.79,0.025,0.001,26.668,0.361,120,117,3,50.88,513,538,-25,48.81,23.25,0.786,90,91,-1,49.73,512,528,-16,49.235,17.09,0.828,247,228,19,52.01,3165,3360,-195,48.515,7.555,0.935
11,Cape Breton Screaming Eagles,136,49,42.4,419,560,-141,48.155,4071,4368,-297,9.785,0.876,97.36,44.78,209.935,255.025,-45.09,10.26,0.882,98.5,-8.934,-0.142,-14.974,-0.198,109,181,-72,37.565,450,647,-197,40.84,24.26,0.723,84,141,-57,38.745,489,707,-218,41.115,16.635,0.806,226,238,-12,47.44,3132,3014,118,50.845,6.64,0.926
12,Chicoutimi Sagueneens,136,48,44.035,372,474,-102,48.21,4111,4420,-309,8.905,0.895,98.43,47.52,206.235,228.24,-22.005,10.06,0.897,99.72,-23.734,-0.348,-2.76,-0.039,140,155,-15,47.235,486,505,-19,48.925,28.705,0.694,71,116,-45,37.92,454,598,-144,43.235,15.425,0.804,161,203,-42,44.435,3171,3317,-146,48.86,4.89,0.942
13,Acadie-Bathurst Titan,136,41,40.765,369,523,-154,47.055,4253,4769,-516,8.36,0.894,97.74,49.18,217.415,223.61,-6.195,10.235,0.906,100.825,-37.416,-0.563,-28.892,-0.362,132,106,26,54.94,581,366,215,61.225,22.075,0.716,101,121,-20,44.045,614,511,103,54.22,15.885,0.764,136,296,-160,31.25,3058,3892,-834,43.955,4.22,0.928
14,PEI Rocket,68,39,53.28,260,228,32,50.76,2198,2132,66,11.26,0.895,100.74,49.05,207.59,215.59,-8.0,9.51,0.899,99.37,38.41,0.528,-8.411,-0.119,82,66,16,55.41,252,260,-8,49.22,32.54,0.746,59,65,-6,47.58,270,321,-51,45.69,21.85,0.8,119,97,22,55.09,1676,1551,125,51.94,6.32,0.939
15,Saint John Sea Dogs,136,37,38.915,333,523,-190,42.38,3710,5044,-1334,8.68,0.9,98.66,39.695,177.16,269.195,-92.035,9.58,0.893,98.865,-16.66,-0.27,17.696,0.209,90,149,-59,37.31,403,630,-227,38.92,21.44,0.766,85,134,-49,38.595,483,711,-228,40.165,17.495,0.814,158,240,-82,39.62,2824,3703,-879,43.275,5.325,0.94
16,Sherbrooke Phoenix,136,30,38.75,361,571,-210,41.97,3567,4931,-1364,9.92,0.887,98.535,36.955,168.16,286.91,-118.75,9.445,0.884,97.785,8.337,0.142,6.909,0.084,80,170,-90,32.15,379,718,-339,34.395,21.19,0.765,88,155,-67,36.145,417,784,-367,34.72,21.12,0.805,193,246,-53,44.0,2771,3429,-658,44.69,6.73,0.93
17,Shawinigan Cataractes,136,29,37.14,311,528,-217,43.08,3615,4772,-1157,8.445,0.892,97.645,39.885,171.18,258.385,-87.205,9.5,0.892,98.64,-19.178,-0.316,1.386,0.018,106,172,-66,38.12,443,679,-236,39.51,23.76,0.751,70,115,-45,38.24,430,572,-142,43.04,15.895,0.8,135,241,-106,35.98,2742,3521,-779,43.73,4.81,0.934
18,Charlottetown Islanders,68,15,41.76,180,251,-71,46.66,2189,2502,-313,8.1,0.906,98.72,43.38,202.32,264.09,-61.77,9.26,0.894,98.62,-25.32,-0.347,31.093,0.376,57,69,-12,45.24,275,321,-46,46.14,20.73,0.792,46,56,-10,45.1,291,322,-31,47.47,15.81,0.829,77,126,-49,37.93,1623,1859,-236,46.61,4.57,0.939
