,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Ben Duffy,C,PEI,19.786,204,110,106,57,216,273,604,18.21,0.545,0.57,0.288,1.118,1.41,3.01,1150,2313,50.185
1,Zach O'Brien,C,BAT,19.463,187,126,91,41,217,258,742,16.605,0.678,0.488,0.21,1.168,1.375,4.118,817,1572,52.218
2,Alex Saulnier,C,MON,19.29,191,84,84,82,168,250,462,17.698,0.432,0.432,0.422,0.868,1.29,2.478,2552,4651,55.323
3,Allain Saulnier,RW,MON,19.29,200,88,95,50,183,233,584,15.06,0.432,0.528,0.23,0.958,1.19,2.892,414,913,44.575
4,Brandon Hynes,RW,VIC/BAT/VDO,19.252,190,111,71,47,182,229,864,13.078,0.582,0.382,0.24,0.965,1.212,4.46,9,17,60.715
5,Philippe Maillet,C,VIC,19.104,194,89,89,50,178,228,687,12.38,0.438,0.483,0.28,0.925,1.205,3.71,1603,3388,47.16
6,Guillaume Asselin,RW,CHI,19.266,202,95,74,58,169,227,539,16.955,0.455,0.36,0.288,0.812,1.1,2.865,23,54,41.582
7,Phillip Danault,C,VIC/MON,18.806,182,64,79,80,143,223,554,11.355,0.368,0.46,0.482,0.828,1.31,3.335,1785,3514,50.882
8,Jonathan Huberdeau,LW,SNB,18.532,134,89,83,50,172,222,439,18.44,0.628,0.658,0.342,1.285,1.63,3.482,233,515,47.955
9,Anton Zlobin,LW,SHA/VDO,18.811,186,92,69,51,161,212,509,17.55,0.49,0.44,0.3,0.923,1.222,2.762,4,8,41.665
10,Philippe Halley,LW,GAT/VIC,19.52,200,110,63,32,173,205,566,18.928,0.562,0.328,0.172,0.89,1.06,3.045,337,739,41.078
11,Alexandre Lavoie,C,CHI/CAP/RIM,19.078,190,83,69,46,152,198,401,20.68,0.47,0.41,0.282,0.88,1.162,2.302,1737,3230,53.79
12,Charles Hudon,LW,CHI,17.481,178,78,74,45,152,197,628,12.308,0.468,0.425,0.265,0.89,1.152,3.878,89,186,46.035
13,Yanni Gourde,LW,VIC,19.252,136,63,72,57,135,192,368,17.09,0.46,0.53,0.42,0.99,1.41,2.71,307,735,39.27
14,Stefan Fournier,RW,LEW/VIC/HAL,19.627,197,87,57,40,144,184,593,14.768,0.465,0.292,0.218,0.758,0.975,3.133,301,591,49.47
15,Michael Beaudry,C,RIM/VDO/BAT,19.641,202,66,59,56,125,181,488,14.245,0.378,0.295,0.312,0.67,0.982,2.535,1314,2589,50.442
16,Yannick Veilleux,RW,SHA/MON,18.811,192,80,48,51,128,179,626,12.69,0.445,0.25,0.288,0.692,0.982,3.51,16,38,40.59
17,Zack Phillips,C,SNB,18.381,127,68,68,39,136,175,453,14.985,0.535,0.535,0.305,1.07,1.375,3.575,950,2005,47.295
18,Marc-Olivier Brouillard,RW,DRU/BAT,18.833,191,60,77,38,137,175,568,10.602,0.332,0.422,0.212,0.755,0.968,3.022,97,210,47.028
19,Matthew Bissonnette,LW,LEW/BAT,19.915,155,59,58,56,117,173,451,11.742,0.348,0.39,0.382,0.738,1.118,2.867,402,764,52.702
20,Darcy Ashley,RW,HAL,18.819,191,68,65,39,133,172,472,14.433,0.363,0.365,0.24,0.728,0.968,2.528,371,693,54.395
21,Sven Andrighetto,RW,ROU,18.987,115,67,65,40,132,172,459,14.575,0.58,0.58,0.36,1.16,1.52,4.0,162,327,49.31
22,Josh Currie,C,PEI,19.13,188,88,48,34,136,170,566,15.253,0.512,0.302,0.215,0.818,1.03,3.168,1665,3388,47.213
23,Carl Gelinas,C,HAL/BAC,19.857,182,70,53,44,123,167,559,12.535,0.38,0.318,0.248,0.702,0.95,3.042,248,489,51.305
24,Sebastien Trudeau,RW,BAT,19.646,135,64,58,42,122,164,397,16.23,0.475,0.43,0.31,0.9,1.215,2.94,18,62,29.94
25,Martin Frk,RW,HAL,18.195,152,73,60,30,133,163,440,17.568,0.515,0.432,0.22,0.948,1.165,2.935,10,26,26.788
26,Alexandre Comtois,RW,DRU/ROU/QUE/SHE,19.638,204,61,54,46,115,161,468,12.898,0.31,0.285,0.225,0.595,0.82,2.462,779,1641,48.745
27,Alex Belzile,RW,RIM,19.542,127,49,58,52,107,159,308,16.565,0.385,0.46,0.41,0.845,1.255,2.43,673,1260,53.335
28,Olivier Archambault,LW,VDO/DRU,18.828,174,69,54,35,123,158,436,15.923,0.422,0.31,0.205,0.73,0.938,2.648,499,1051,48.835
29,Peter Trainor,LW,RIM,18.54,138,75,41,40,116,156,365,15.382,0.448,0.26,0.24,0.7,0.94,2.178,10,24,30.528
30,Logan Shaw,RW,CAP/QUE,19.195,195,72,53,30,125,155,611,11.7,0.372,0.298,0.175,0.67,0.845,3.208,430,908,46.928
31,Nathan MacKinnon,C,HAL,16.54,102,63,53,37,116,153,410,15.375,0.63,0.545,0.35,1.175,1.52,4.085,996,1974,50.54
32,Raphael Bussieres,LW,BAC,18.11,182,67,44,40,111,151,467,14.407,0.4,0.27,0.24,0.67,0.91,2.752,201,423,44.668
33,Frederick Roy,RW,QUE,20.051,129,53,56,41,109,150,262,20.23,0.41,0.435,0.315,0.845,1.165,2.035,355,739,47.345
34,Jess Tanguy,C,LEW/BLB/RIM,19.69,152,50,56,43,106,149,415,12.332,0.315,0.375,0.332,0.688,1.02,2.657,868,1870,44.618
35,Matthew Boudreau,C,HAL,18.77,189,71,44,34,115,149,433,16.115,0.408,0.255,0.19,0.662,0.852,2.455,692,1546,45.67
36,Marek Hrivik,LW,MON,19.55,113,67,48,34,115,149,488,13.69,0.59,0.43,0.295,1.02,1.32,4.325,96,211,49.37
37,Mathieu Brisebois,D,ROU,19.663,179,39,58,50,97,147,329,11.618,0.227,0.338,0.308,0.565,0.87,1.84,8,20,26.562
38,Martin Lefebvre,D,QUE,19.479,187,29,58,59,87,146,324,8.35,0.143,0.305,0.31,0.448,0.76,1.86,0,0,0.0
39,Mathieu Gagnon,D,GAT/CHI/SHA,19.429,269,32,62,51,94,145,488,5.223,0.106,0.152,0.188,0.26,0.444,1.84,1,3,5.556
40,Xavier Ouellet,D,MTL/BLB,18.381,180,39,50,55,89,144,504,7.08,0.213,0.292,0.302,0.505,0.808,2.97,3,7,45.835
41,Jean-Gabriel Pageau,C,GAT/CHI,18.342,113,64,49,31,113,144,383,16.72,0.59,0.425,0.285,1.015,1.295,3.525,1425,2562,55.58
42,Petr Straka,RW,RIM/BAC,19.501,150,69,42,33,111,144,508,13.455,0.518,0.312,0.238,0.832,1.07,3.655,19,42,44.952
43,Benjamin Casavant,LW,SHA/VDO,20.15,125,65,44,33,109,142,357,18.395,0.53,0.35,0.26,0.88,1.14,2.86,39,90,40.83
44,Samuel Carrier,D,LEW/BAC/BLB,19.633,180,36,63,43,99,142,571,6.135,0.198,0.348,0.232,0.542,0.775,3.218,7,15,30.555
45,Anthony Mantha,RW,VDO,17.248,132,72,40,28,112,140,457,11.875,0.462,0.23,0.175,0.692,0.868,3.062,53,133,29.37
46,Mikhail Grigorenko,C,QUE,17.835,92,70,38,31,108,139,328,21.57,0.795,0.415,0.33,1.205,1.54,3.66,888,1750,50.81
47,Kevin Gagne,D,SNB/RIM,19.671,189,32,52,54,84,138,401,7.938,0.192,0.312,0.33,0.507,0.837,2.445,5,11,13.89
48,Peter Sakaris,RW,SHA,19.301,159,61,47,29,108,137,410,15.427,0.388,0.295,0.175,0.685,0.86,2.592,13,41,29.352
49,Jonathan Brunelle,C,DRU/CAP,19.446,136,46,47,43,93,136,485,9.405,0.34,0.345,0.315,0.685,1.0,3.57,682,1394,40.705
50,Jonathan Drouin,C,HAL,16.97,82,48,50,36,98,134,252,16.28,0.525,0.58,0.4,1.11,1.51,2.96,59,150,33.81
51,Christopher Clapperton,LW,BLB,18.062,123,52,43,37,95,132,294,17.535,0.415,0.345,0.305,0.76,1.065,2.35,14,57,25.81
52,Etienne Brodeur,LW,LEW/CHI,20.019,131,75,32,25,107,132,436,16.675,0.565,0.24,0.195,0.805,1.0,3.32,35,77,43.825
53,Cedric Paquette,C,MTL/BLB,18.34,130,58,41,32,99,131,446,9.382,0.338,0.282,0.23,0.618,0.85,2.862,1285,2474,51.55
54,Jerome Gauthier-Leduc,D,RIM,18.627,123,46,58,26,104,130,429,10.735,0.375,0.47,0.21,0.845,1.055,3.485,1,1,50.0
55,Tommy Giroux,C,SHA/BLB/DRU,19.556,176,61,41,26,102,128,311,19.985,0.358,0.22,0.16,0.588,0.742,1.755,897,1910,46.815
56,Gabriel Desjardins,LW,HAL/QUE/ROU,19.099,175,61,39,28,100,128,438,13.615,0.365,0.245,0.18,0.607,0.788,2.568,83,200,39.853
