,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Corey Locke,C,BNG,26.355,69,21,40,25,61,86,136,15.44,0.3,0.58,0.36,0.88,1.25,1.97
1,Alexandre Giroux,LW,OKC,29.249,70,32,24,22,56,78,242,13.22,0.46,0.34,0.31,0.8,1.11,3.46
2,Jason Krog,C,CHI,34.936,80,19,31,25,50,75,181,10.5,0.24,0.39,0.31,0.62,0.94,2.26
3,Darren Haydar,RW,CHI,30.9,77,27,25,22,52,74,201,13.43,0.35,0.32,0.29,0.68,0.96,2.61
4,Nigel Dawes,LW,HAM/CHI,25.597,66,41,16,15,57,72,211,19.43,0.62,0.24,0.23,0.86,1.09,3.2
5,Keith Aucoin,C,HER,31.858,53,18,33,21,51,72,125,14.4,0.34,0.62,0.4,0.96,1.36,2.36
6,Brad Moran,C,OKC,31.491,79,20,31,21,51,72,180,11.11,0.25,0.39,0.27,0.65,0.91,2.28
7,Marc-Antoine Pouliot,C,NOR,25.317,69,25,31,16,56,72,218,11.47,0.36,0.45,0.23,0.81,1.04,3.16
8,Ben Walter,C,LE,26.347,77,23,29,18,52,70,158,14.56,0.3,0.38,0.23,0.68,0.91,2.05
9,T.J. Hensick,C,PEO,24.764,59,21,30,18,51,69,163,12.88,0.36,0.51,0.31,0.86,1.17,2.76
10,Brian Willsie,RW,HER,32.502,76,30,23,15,53,68,224,13.39,0.39,0.3,0.2,0.7,0.89,2.95
11,Jeff Taffe,C,RFD,29.569,74,30,23,14,53,67,217,13.82,0.41,0.31,0.19,0.72,0.91,2.93
12,Zach Boychuk,LW,CHA,20.948,60,22,26,17,48,65,166,13.25,0.37,0.43,0.28,0.8,1.08,2.77
13,Ilari Filppula,C,GR,28.86,76,20,31,13,51,64,133,15.04,0.26,0.41,0.17,0.67,0.84,1.75
14,Mark Mancari,RW,POR,25.181,56,32,19,13,51,64,204,15.69,0.57,0.34,0.23,0.91,1.14,3.64
15,Chris Terry,LW,CHA,21.441,80,34,16,14,50,64,213,15.96,0.42,0.2,0.17,0.62,0.8,2.66
16,Kyle Greentree,LW,HER,26.834,74,30,18,15,48,63,211,14.22,0.41,0.24,0.2,0.65,0.85,2.85
17,Luke Adam,C,POR,20.244,57,29,14,19,43,62,166,17.47,0.51,0.25,0.33,0.75,1.09,2.91
18,Rhett Rakhshani,RW,BRI,22.527,66,24,20,18,44,62,153,15.69,0.36,0.3,0.27,0.67,0.94,2.32
19,Bud Holloway,C,MCH,22.541,78,28,17,16,45,61,206,13.59,0.36,0.22,0.21,0.58,0.78,2.64
20,Jon DiSalvatore,RW,HOU,29.463,80,28,22,11,50,61,194,14.43,0.35,0.28,0.14,0.62,0.76,2.42
21,Kris Newbury,C,CT,28.57,69,17,33,11,50,61,201,8.46,0.25,0.48,0.16,0.72,0.88,2.91
22,Jacob Micflikier,F,CHA,26.18,78,29,23,9,52,61,179,16.2,0.37,0.29,0.12,0.67,0.78,2.29
23,Marc-Andre Gragnani,D,POR,23.516,63,12,28,20,40,60,90,13.33,0.19,0.44,0.32,0.63,0.95,1.43
24,Sergei Shirokov,RW,MTB,24.518,76,22,16,20,38,58,181,12.15,0.29,0.21,0.26,0.5,0.76,2.38
25,Colin McDonald,RW,OKC,25.958,80,42,9,7,51,58,259,16.22,0.53,0.11,0.09,0.64,0.72,3.24
26,Andrew Gordon,RW,HER,24.756,50,28,18,11,46,57,192,14.58,0.56,0.36,0.22,0.92,1.14,3.84
27,Tomas Tatar,LW,GR,19.79,70,24,18,15,42,57,163,14.72,0.34,0.26,0.21,0.6,0.81,2.33
28,Zac Dalpe,C,CHA,20.871,61,23,21,13,44,57,170,13.53,0.38,0.34,0.21,0.72,0.93,2.79
29,Aaron Palushaj,RW,HAM,21.022,68,22,22,13,44,57,160,13.75,0.32,0.32,0.19,0.65,0.84,2.35
30,Patrick Maroon,LW,SYR/ADK,22.396,66,26,21,9,47,56,171,15.2,0.39,0.32,0.14,0.71,0.85,2.59
31,Jim O'Brien,C,BNG,21.627,74,24,20,12,44,56,210,11.43,0.32,0.27,0.16,0.59,0.76,2.84
32,Andre Benoit,D,BNG,26.692,73,11,22,22,33,55,166,6.63,0.15,0.3,0.3,0.45,0.75,2.27
