,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Adam Mascherin,LW,KIT,18.528,197.0,110.0,100.0,57.0,210.0,267.0,792.0,14.392,0.57,0.51,0.262,1.072,1.338,3.965,32.22,0.49,17.0,83.0,19.672,14.0,116.0,12.355,79.0,593.0,14.132,44.0,115.0,40.09
1,Taylor Raddysh,RW,ER/SSM,18.823,183.0,99.0,106.0,60.0,205.0,265.0,655.0,15.27,0.555,0.58,0.322,1.135,1.458,3.61,31.928,0.535,26.0,127.0,20.53,16.0,114.0,15.028,57.0,414.0,13.718,87.0,157.0,55.29
2,Jordan Kyrou,RW,SAR,18.615,187.0,86.0,95.0,73.0,181.0,254.0,558.0,17.622,0.528,0.565,0.435,1.092,1.525,2.975,26.078,0.432,23.0,93.0,24.608,17.0,95.0,19.455,46.0,370.0,15.503,348.0,696.0,49.608
3,Nick Suzuki,C,OS,17.35,192.0,107.0,78.0,49.0,185.0,234.0,731.0,14.43,0.582,0.438,0.288,1.018,1.3,3.95,32.815,0.51,25.0,105.0,23.622,22.0,98.0,23.805,60.0,528.0,10.565,1056.0,2073.0,51.323
4,Alex DeBrincat,RW,ER,18.243,123.0,116.0,64.0,48.0,180.0,228.0,577.0,20.03,0.94,0.52,0.39,1.46,1.85,4.685,44.63,0.72,18.0,57.0,31.665,23.0,84.0,27.38,75.0,436.0,17.035,281.0,522.0,53.645
5,Aaron Luchuk,C,WSR/BAR,19.696,204.0,105.0,75.0,47.0,180.0,227.0,632.0,16.738,0.572,0.408,0.282,0.975,1.257,3.355,31.805,0.47,38.0,128.0,29.76,22.0,95.0,23.422,45.0,409.0,11.098,2152.0,4051.0,53.642
6,Dmitry Sokolov,RW,SBY/BAR,18.672,196.0,128.0,55.0,37.0,183.0,220.0,767.0,17.055,0.688,0.31,0.225,0.997,1.22,3.992,37.645,0.582,29.0,87.0,35.58,31.0,108.0,28.685,68.0,572.0,12.152,11.0,27.0,39.642
7,Cliff Pu,C,LDN/KGN,18.536,191.0,76.0,72.0,53.0,148.0,201.0,494.0,14.675,0.412,0.43,0.272,0.842,1.11,2.735,26.672,0.412,20.0,111.0,17.43,24.0,98.0,24.972,32.0,285.0,10.378,1772.0,3023.0,59.162
8,Kyle Maksimovich,LW,ER,18.769,197.0,74.0,75.0,52.0,149.0,201.0,492.0,15.16,0.402,0.37,0.248,0.772,1.02,2.62,21.258,0.325,16.0,71.0,19.355,19.0,79.0,24.095,39.0,342.0,11.48,114.0,256.0,45.55
9,Morgan Frost,C,SSM,17.591,199.0,69.0,84.0,48.0,153.0,201.0,411.0,16.555,0.418,0.483,0.27,0.898,1.172,2.29,18.763,0.282,18.0,54.0,32.25,15.0,59.0,27.495,36.0,298.0,11.805,1395.0,2708.0,51.148
10,Boris Katchouk,RW/LW,SSM,18.495,187.0,101.0,66.0,33.0,167.0,200.0,503.0,20.442,0.588,0.392,0.195,0.98,1.18,2.867,27.635,0.457,31.0,103.0,30.868,23.0,94.0,23.705,47.0,306.0,15.968,125.0,262.0,48.075
11,Jason Robertson,RW,KGN,17.402,190.0,101.0,55.0,44.0,156.0,200.0,721.0,14.16,0.538,0.302,0.242,0.845,1.085,3.89,35.522,0.54,20.0,92.0,21.558,27.0,135.0,21.325,54.0,494.0,10.94,7.0,21.0,33.75
12,Ryan Moore,LW,FLNT/HAM,19.685,199.0,82.0,68.0,48.0,150.0,198.0,594.0,12.92,0.38,0.338,0.265,0.718,0.982,2.932,23.78,0.36,15.0,81.0,19.035,25.0,90.0,22.32,42.0,423.0,8.722,1752.0,3464.0,50.52
13,Dylan Strome,C,ER,19.026,91.0,59.0,80.0,47.0,139.0,186.0,372.0,15.77,0.645,0.895,0.52,1.54,2.06,4.09,27.185,0.595,14.0,55.0,24.93,15.0,83.0,17.88,30.0,234.0,12.89,1093.0,1778.0,61.07
14,Will Bitten,C,FLNT/HAM,18.434,194.0,73.0,70.0,43.0,143.0,186.0,479.0,14.69,0.36,0.37,0.245,0.738,0.978,2.508,22.908,0.358,21.0,96.0,20.338,21.0,90.0,22.79,31.0,293.0,10.425,673.0,1503.0,46.028
15,Kevin Hancock,LW,OS,18.79,187.0,67.0,73.0,42.0,140.0,182.0,627.0,10.302,0.385,0.46,0.225,0.848,1.068,3.732,25.148,0.428,14.0,67.0,22.0,19.0,93.0,21.735,34.0,467.0,6.788,1166.0,2220.0,53.828
16,Nikita Korostelev,RW,SAR/PBO,19.85,172.0,82.0,72.0,27.0,154.0,181.0,557.0,14.58,0.475,0.44,0.158,0.915,1.072,3.265,24.225,0.408,23.0,74.0,29.672,10.0,67.0,13.34,49.0,416.0,11.832,27.0,74.0,29.112
17,Kole Sherwood,RW,LDN/FLNT/KIT,19.896,180.0,75.0,63.0,41.0,138.0,179.0,651.0,11.868,0.45,0.363,0.205,0.808,1.015,3.68,26.057,0.445,15.0,67.0,17.03,23.0,115.0,20.642,37.0,469.0,8.435,128.0,268.0,46.433
18,Jonathan Ang,C,PBO/SAR,18.873,200.0,73.0,63.0,42.0,136.0,178.0,456.0,15.892,0.368,0.358,0.208,0.732,0.94,2.335,20.865,0.315,18.0,70.0,26.492,10.0,82.0,11.093,45.0,304.0,14.702,716.0,1474.0,48.335
19,Michael McLeod,C,MISS,18.864,152.0,64.0,69.0,45.0,133.0,178.0,465.0,13.615,0.42,0.452,0.295,0.872,1.168,3.093,22.498,0.488,27.0,119.0,21.272,24.0,98.0,22.858,13.0,248.0,5.375,2060.0,3390.0,62.138
20,Owen Tippett,RW,MISS,17.829,159.0,95.0,45.0,30.0,140.0,170.0,655.0,14.322,0.615,0.335,0.2,0.95,1.152,4.377,27.278,0.512,24.0,64.0,33.332,21.0,103.0,23.268,50.0,488.0,9.695,27.0,70.0,40.242
21,Brett McKenzie,C,NB/OS,19.762,197.0,77.0,56.0,36.0,133.0,169.0,718.0,10.502,0.375,0.28,0.178,0.66,0.835,3.685,25.772,0.395,14.0,79.0,17.898,21.0,117.0,16.11,42.0,522.0,7.958,1582.0,3549.0,45.442
22,Matthew Strome,LW,HAM,17.941,192.0,87.0,50.0,31.0,137.0,168.0,476.0,18.332,0.48,0.272,0.162,0.752,0.915,2.56,27.105,0.42,43.0,122.0,35.138,16.0,92.0,15.815,28.0,262.0,10.99,151.0,350.0,43.452
23,Domenico Commisso,C,OSH,18.82,197.0,60.0,65.0,42.0,125.0,167.0,432.0,14.57,0.322,0.308,0.255,0.63,0.883,2.218,18.365,0.28,17.0,66.0,31.545,16.0,79.0,20.11,27.0,287.0,9.692,1368.0,2592.0,53.66
24,Logan Brown,C,WSR/KIT,18.782,126.0,57.0,62.0,43.0,119.0,162.0,397.0,15.652,0.535,0.5,0.315,1.032,1.348,3.358,15.845,0.41,12.0,68.0,19.035,12.0,67.0,18.048,33.0,262.0,14.42,1056.0,2073.0,49.125
25,Tim Gettinger,LW,SSM,18.672,188.0,81.0,52.0,29.0,133.0,162.0,637.0,12.645,0.445,0.288,0.173,0.732,0.905,3.5,27.175,0.425,21.0,79.0,27.627,19.0,97.0,19.835,41.0,461.0,8.7,101.0,187.0,51.922
26,Sam Miletic,LW,LDN/NIAG,19.617,163.0,76.0,52.0,33.0,128.0,161.0,499.0,13.388,0.45,0.353,0.24,0.8,1.042,3.082,24.402,0.4,17.0,85.0,17.445,17.0,77.0,22.802,42.0,337.0,10.195,113.0,225.0,49.69
27,Nicholas Caamano,RW,FLNT/HAM,18.273,195.0,80.0,50.0,28.0,130.0,158.0,649.0,11.92,0.402,0.282,0.143,0.688,0.83,3.415,30.787,0.473,22.0,138.0,15.778,26.0,130.0,18.802,32.0,381.0,7.99,60.0,138.0,43.49
28,Gabriel Vilardi,C,WSR/KGN,17.334,143.0,68.0,52.0,37.0,120.0,157.0,375.0,18.362,0.56,0.498,0.318,1.06,1.368,2.982,17.922,0.44,15.0,53.0,26.645,11.0,70.0,14.8,42.0,252.0,17.357,661.0,1350.0,49.84
29,Robert Thomas,C,LDN/HAM,17.457,155.0,43.0,71.0,42.0,114.0,156.0,273.0,15.99,0.322,0.478,0.305,0.802,1.11,1.855,13.288,0.255,10.0,41.0,27.38,10.0,67.0,15.898,23.0,165.0,13.0,1314.0,2308.0,56.952
30,Jack Kopacka,RW,SSM,18.782,198.0,81.0,45.0,29.0,126.0,155.0,639.0,12.843,0.425,0.242,0.155,0.67,0.822,3.282,24.062,0.365,14.0,65.0,21.282,13.0,77.0,17.75,54.0,497.0,11.502,78.0,135.0,54.078
31,Ivan Lodnia,RW,ER,17.292,190.0,62.0,57.0,36.0,119.0,155.0,497.0,12.242,0.33,0.325,0.19,0.66,0.847,2.83,23.582,0.378,17.0,84.0,20.345,15.0,85.0,17.94,30.0,328.0,8.648,405.0,1010.0,40.845
32,Johnny Corneil,LW,NIAG,19.332,199.0,72.0,47.0,32.0,119.0,151.0,432.0,15.808,0.353,0.248,0.155,0.602,0.758,2.288,20.053,0.308,28.0,71.0,36.972,21.0,73.0,29.37,23.0,288.0,7.558,49.0,119.0,40.66
33,Jack Studnicka,C,OSH,17.824,192.0,44.0,68.0,38.0,112.0,150.0,453.0,9.238,0.25,0.402,0.2,0.652,0.852,2.572,19.192,0.295,13.0,64.0,19.417,16.0,85.0,18.812,15.0,304.0,4.55,1354.0,2609.0,51.092
