,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Pierre-Marc Bouchard,C,CHI,17.386,69,46,10,84,56,140,274,16.79,0.67,0.14,1.22,0.81,2.03,3.97
1,Matthew Lombardi,C,VIC,19.497,66,57,73,0,130,130,310,18.39,0.86,1.11,0.0,1.97,1.97,4.7
2,Yanick Lehoux,C,BAC,19.439,66,56,42,27,98,125,348,16.09,0.85,0.64,0.41,1.48,1.89,5.27
3,Jonathan Bellemare,C,SHA,18.944,69,39,9,76,48,124,211,18.48,0.57,0.13,1.1,0.7,1.8,3.06
4,Charles Linglet,LW,BAC,19.234,72,52,19,52,71,123,279,18.64,0.72,0.26,0.72,0.99,1.71,3.88
5,Carl Mallette,C,VIC,19.828,71,39,8,75,47,122,284,13.73,0.55,0.11,1.06,0.66,1.72,4.0
6,Jason Pominville,RW,SHA,18.793,66,57,36,28,93,121,303,18.81,0.86,0.55,0.42,1.41,1.83,4.59
7,Olivier Proulx,C,DRU,19.666,71,42,72,5,114,119,250,16.8,0.59,1.01,0.07,1.61,1.68,3.52
8,Pierre-Alexandre Parenteau,RW,CHI,18.481,68,51,61,6,112,118,306,16.67,0.75,0.9,0.09,1.65,1.74,4.5
9,Philippe Lacasse,RW,HUL,20.408,63,55,25,33,80,113,186,29.57,0.87,0.4,0.52,1.27,1.79,2.95
10,Danny Groulx,D,VIC,20.23,68,29,41,42,70,112,377,7.69,0.43,0.6,0.62,1.03,1.65,5.54
11,Mathieu Brunelle,LW,VIC,18.445,72,43,24,40,67,107,201,21.39,0.6,0.33,0.56,0.93,1.49,2.79
12,Dominic Noel,C,CAP,20.696,67,42,44,19,86,105,299,14.05,0.63,0.66,0.28,1.28,1.57,4.46
13,Olivier Fillion,C,BAT,18.952,72,29,26,49,55,104,172,16.86,0.4,0.36,0.68,0.76,1.44,2.39
14,Eric Betournay,C,CHI,20.378,72,38,60,5,98,103,256,14.84,0.53,0.83,0.07,1.36,1.43,3.56
15,Christian Larrivee,C,CHI,19.059,72,48,33,19,81,100,298,16.11,0.67,0.46,0.26,1.12,1.39,4.14
16,Jason King,C,HAL,20.003,61,63,34,2,97,99,318,19.81,1.03,0.56,0.03,1.59,1.62,5.21
17,Michel Ouellet,RW,RIM,19.532,61,40,18,40,58,98,339,11.8,0.66,0.3,0.66,0.95,1.61,5.56
18,Ales Hemsky,LW,HUL,18.092,53,27,62,8,89,97,216,12.5,0.51,1.17,0.15,1.68,1.83,4.08
19,Stuart MacRae,C,CAP,19.226,72,34,60,0,94,94,294,11.56,0.47,0.83,0.0,1.31,1.31,4.08
20,Nicolas Corbeil,C,SHE,18.464,62,41,15,37,56,93,231,17.75,0.66,0.24,0.6,0.9,1.5,3.73
21,Sebastien Thinel,LW,DRU/QUE,20.48,69,43,20,29,63,92,261,16.48,0.62,0.29,0.42,0.91,1.33,3.78
22,Pierre-Luc Sleigher,RW,VIC,19.59,70,39,34,17,73,90,242,16.12,0.56,0.49,0.24,1.04,1.29,3.46
23,Jean-Francois Plourde,C,RIM,19.655,71,49,29,11,78,89,328,14.94,0.69,0.41,0.15,1.1,1.25,4.62
24,Frederic Faucher,LW,DRU,19.423,70,46,23,15,69,84,199,23.12,0.66,0.33,0.21,0.99,1.2,2.84
25,Brandon Benedict,C,HAL,19.267,71,33,13,35,46,81,222,14.86,0.46,0.18,0.49,0.65,1.14,3.13
26,Maxime Bouchard,C,DRU,18.998,62,24,8,49,32,81,155,15.48,0.39,0.13,0.79,0.52,1.31,2.5
27,Andre Martineau,C,CAP,20.43,70,32,26,23,58,81,170,18.82,0.46,0.37,0.33,0.83,1.16,2.43
28,Brett Lutes,LW,MTL,19.617,63,35,22,22,57,79,283,12.37,0.56,0.35,0.35,0.9,1.25,4.49
29,Janis Sprukts,LW,BAT,19.647,63,35,36,8,71,79,178,19.66,0.56,0.57,0.13,1.13,1.25,2.83
30,Jonathan Gagnon,RW,ROU,18.913,69,39,7,31,46,77,180,21.67,0.57,0.1,0.45,0.67,1.12,2.61
31,Chris Montgomery,C,QUE/MTL,18.481,71,27,37,13,64,77,232,11.64,0.38,0.52,0.18,0.9,1.08,3.27
32,Pierre-Luc Laprise,LW,CAP,19.286,72,25,6,45,31,76,167,14.97,0.35,0.08,0.62,0.43,1.06,2.32
33,Jean-Philippe Briere,C,RIM,19.371,72,23,31,22,54,76,244,9.43,0.32,0.43,0.31,0.75,1.06,3.39
34,Jean-Michel Boisvert,C,SHA/SHE/HAL,19.368,67,30,28,17,58,75,194,15.46,0.45,0.42,0.25,0.87,1.12,2.9
35,Jonathan Ferland,RW,BAT,18.599,55,28,44,2,72,74,223,12.56,0.51,0.8,0.04,1.31,1.35,4.05
36,Patrick Thoresen,C,MON,17.857,60,30,26,17,56,73,171,17.54,0.5,0.43,0.28,0.93,1.22,2.85
37,Ryan Clowe,RW,RIM,18.96,53,28,21,24,49,73,167,16.77,0.53,0.4,0.45,0.92,1.38,3.15
38,Jerome Bergeron,C,MTL,20.2,66,25,3,45,28,73,214,11.68,0.38,0.05,0.68,0.42,1.11,3.24
39,David Chicoine,LW,SHA/SHE,19.634,66,29,42,1,71,72,106,27.36,0.44,0.64,0.02,1.08,1.09,1.61
40,Collin Circelli,C,MON,19.891,68,24,29,18,53,71,223,10.76,0.35,0.43,0.26,0.78,1.04,3.28
41,Marc-Andre Binette,LW,ROU,20.66,52,38,7,25,45,70,287,13.24,0.73,0.13,0.48,0.87,1.35,5.52
42,Benoit Mondou,C,BAC,16.37,64,25,10,35,35,70,121,20.66,0.39,0.16,0.55,0.55,1.09,1.89
43,Eric Fortier,C,VDO,20.696,57,18,19,33,37,70,189,9.52,0.32,0.33,0.58,0.65,1.23,3.32
44,Michael Tessier,LW,BAT,17.087,66,22,28,20,50,70,151,14.57,0.33,0.42,0.3,0.76,1.06,2.29
45,Alexandre Menard-Burrows,RW,SHA,20.43,64,35,17,18,52,70,153,22.88,0.55,0.27,0.28,0.81,1.09,2.39
46,Sebastien Strozynski,LW,ROU,19.423,61,25,45,0,70,70,213,11.74,0.41,0.74,0.0,1.15,1.15,3.49
47,Jean-Francois David,D,SHA,19.382,70,21,38,11,59,70,270,7.78,0.3,0.54,0.16,0.84,1.0,3.86
48,Mathieu Dumas,D,CAP,18.325,69,17,12,40,29,69,221,7.69,0.25,0.17,0.58,0.42,1.0,3.2
49,Benoit Genesse,C,ROU/SHE,19.179,69,30,19,19,49,68,207,14.49,0.43,0.28,0.28,0.71,0.99,3.0
50,Aaron Johnson,D,RIM,18.38,68,17,10,39,27,66,246,6.91,0.25,0.15,0.57,0.4,0.97,3.62
51,Francois Belanger,C,SHE,20.433,69,27,3,36,30,66,211,12.8,0.39,0.04,0.52,0.43,0.96,3.06
52,Sebastien Laprise,RW,DRU/HAL,19.445,74,25,35,5,60,65,211,11.85,0.34,0.47,0.07,0.81,0.88,2.85
53,Karl Fournier,C,BAT,18.697,69,24,7,33,31,64,188,12.77,0.35,0.1,0.48,0.45,0.93,2.72
54,Seneque Hyacinthe,LW,VDO/RIM,20.562,58,29,7,27,36,63,164,17.68,0.5,0.12,0.47,0.62,1.09,2.83
55,Jean-Francois Dufort,LW,SHA/CAP,19.521,68,22,11,30,33,63,178,12.36,0.32,0.16,0.44,0.49,0.93,2.62
56,Joel Perrault,C,BAC,18.445,57,18,44,0,62,62,150,12.0,0.32,0.77,0.0,1.09,1.09,2.63
57,Louis-Philippe Martin,RW,BAC,16.953,71,32,28,2,60,62,139,23.02,0.45,0.39,0.03,0.85,0.87,1.96
58,Sergei Klyazmin,LW,HAL,19.699,46,24,37,0,61,61,181,13.26,0.52,0.8,0.0,1.33,1.33,3.93
59,Yanick Searles,LW,QUE,19.519,66,28,32,0,60,60,196,14.29,0.42,0.48,0.0,0.91,0.91,2.97
