,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Gatineau Olympiques,70,55,63.09,306,179,127,56.77,2494,1899,595,12.13,0.907,102.85
1,Cape Breton Screaming Eagles,70,50,62.47,273,164,109,54.92,2469,2027,442,10.84,0.92,102.84
2,Moncton Wildcats,70,48,56.72,270,206,64,53.68,2582,2228,354,9.97,0.91,100.93
3,PEI Rocket,70,43,57.05,251,189,62,56.22,2409,1876,533,10.2,0.902,100.41
4,Shawinigan Cataractes,70,41,54.64,259,215,44,50.89,2197,2120,77,11.43,0.9,101.45
5,Chicoutimi Sagueneens,70,37,49.77,218,220,-2,47.69,2207,2421,-214,9.51,0.912,100.72
6,Rimouski Oceanic,70,36,52.99,284,252,32,47.19,2276,2547,-271,12.01,0.904,102.4
7,Lewiston MAINEiacs,70,35,52.01,233,215,18,58.43,2568,1827,741,8.82,0.884,97.25
8,Rouyn-Noranda Huskies,70,35,49.52,260,265,-5,48.77,2420,2542,-122,10.52,0.898,100.31
9,Val-d'Or Foreurs,70,33,48.97,213,222,-9,48.35,2130,2275,-145,9.75,0.905,100.27
10,Drummondville Voltigeurs,70,32,48.39,210,224,-14,46.73,2042,2328,-286,9.93,0.908,100.78
11,Quebec Remparts,70,32,46.15,210,245,-35,48.8,2195,2303,-108,9.28,0.895,98.8
12,Victoriaville Tigres,70,22,40.88,204,295,-91,47.06,2232,2511,-279,8.94,0.887,97.68
13,Baie-Comeau Drakkar,70,22,40.62,195,285,-90,43.88,1943,2485,-542,9.8,0.89,98.76
14,Acadie-Bathurst Titan,70,20,36.95,184,314,-130,45.4,2150,2586,-436,8.47,0.882,96.71
15,Halifax Mooseheads,70,19,41.45,194,274,-80,46.07,1987,2326,-339,9.54,0.884,97.95
