,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
702,Nolan Gardiner,C,OTT/BAC/BAC,76.072,52,2,0,0,2,2,19,22.619999999999997,0.18,0.0,0.0,0.18,0.18,1.55,1.5699999999999998,0.13,1,4,100.0,0,2,0.0,1,13,12.5,19,47,72.06
703,Cal Davis,LW,KGN,36.978,30,2,0,0,2,2,14,14.29,0.13,0.0,0.0,0.13,0.13,0.93,1.48,0.1,1,2,50.0,0,2,0.0,1,10,10.0,2,3,66.67
704,Matthew Kreis,LW,SAG,40.248000000000005,18,0,1,1,1,2,19,0.0,0.0,0.11,0.11,0.11,0.22,2.11,1.66,0.18,0,2,0.0,0,2,0.0,0,15,0.0,4,8,142.86
705,Andre Simard,LW,GAT,4.552,40,2,0,0,2,2,10,2.5,0.012,0.0,0.0,0.012,0.012,0.062,0.105,0.005,1,2,6.25,1,2,6.25,0,6,0.0,0,0,0.0
706,Spencer Blackwell,LW,QUE,4.673,70,0,2,0,2,2,21,0.0,0.0,0.008,0.0,0.008,0.008,0.075,0.236,0.006,0,5,0.0,0,2,0.0,0,14,0.0,1,2,6.25
707,Kristian Kovacik,C,BAT,4.559,52,1,1,0,2,2,20,0.625,0.005,0.005,0.0,0.01,0.01,0.096,0.146,0.006,0,2,0.0,0,1,0.0,1,17,0.735,154,265,10.452
708,Brandon Cianflone,RW,BAT,4.418,68,1,0,1,1,2,15,0.834,0.004,0.0,0.004,0.004,0.008,0.055,0.262,0.008,1,3,4.166,0,4,0.0,0,8,0.0,9,33,3.409
709,Colton McKenna,LW,MON,36.162,34,0,2,0,2,2,10,0.0,0.0,0.12,0.0,0.12,0.12,0.59,1.04,0.06,0,2,0.0,0,1,0.0,0,7,0.0,0,0,0.0
710,Danyk Drouin,C,OSH,35.128,60,2,0,0,2,2,18,11.11,0.07,0.0,0.0,0.07,0.07,0.6,1.67,0.06,1,4,25.0,1,1,100.0,0,13,0.0,7,16,43.75
711,Gabriel Vanier,C,BLB,38.934,8,1,0,1,1,2,6,16.67,0.25,0.0,0.25,0.25,0.5,1.5,0.35,0.09,0,0,0.0,0,0,0.0,1,6,16.67,0,0,0.0
712,Samuel Ianniciello,LW,ROU,34.24,90,1,0,1,1,2,37,2.7,0.02,0.0,0.02,0.02,0.04,0.82,2.57,0.06,0,1,0.0,1,7,14.29,0,29,0.0,4,14,28.57
713,Samuel Bitten,C,OTT,34.974000000000004,4,2,0,0,2,2,3,66.67,1.0,0.0,0.0,1.0,1.0,1.5,0.34,0.17,2,2,100.0,0,0,0.0,0,1,0.0,10,21,47.62
714,Kolby Johnson,LW,SHE,38.692,82,1,1,0,2,2,36,2.78,0.02,0.02,0.0,0.05,0.05,0.88,3.27,0.08,1,4,25.0,0,5,0.0,0,27,0.0,0,3,0.0
715,Anthony Morin,C,BLB,36.211999999999996,8,1,1,0,2,2,3,33.33,0.25,0.25,0.0,0.5,0.5,0.75,0.2,0.05,0,0,0.0,1,1,100.0,0,2,0.0,0,2,0.0
716,Kyle Ward,RW,ROU,39.426,16,2,0,0,2,2,11,18.18,0.25,0.0,0.0,0.25,0.25,1.38,1.42,0.18,0,2,0.0,0,1,0.0,2,8,25.0,0,1,0.0
717,Casey Fox,C,MON,37.844,54,2,0,0,2,2,17,11.76,0.07,0.0,0.0,0.07,0.07,0.63,1.15,0.04,0,0,0.0,1,2,50.0,1,15,6.67,15,29,51.72
