,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alexis Lafreniere,LW,RIM,16.428,111,74,60,37,134,171,376,19.6,0.665,0.555,0.34,1.215,1.555,3.385,25.265,0.455,1129.665,20.34,1.955,1.64,1.005,3.595,4.6,9.985,1.34,19.985,18.01,61.94,48.03,32.705,78.445,216,60,18,70,25.715,22,68,31.315,34,238,14.365,23,54,45.24
1,Peter Abbandonato,C,ROU,19.977,125,53,74,37,127,164,369,14.415,0.43,0.595,0.31,1.025,1.33,2.985,22.86,0.365,1322.58,21.16,1.21,1.695,0.875,2.9,3.775,8.47,1.035,18.61,18.08,64.585,49.525,8.675,67.675,232,113,10,50,19.87,15,61,23.405,28,258,10.88,1118,2188,51.145
2,Jeremy McKenna,RW,MON,18.906,125,74,49,36,123,159,633,11.69,0.6,0.4,0.285,1.0,1.285,5.105,38.83,0.62,1324.785,21.31,1.68,1.115,0.815,2.79,3.605,14.35,1.755,19.06,18.02,54.46,50.025,19.92,62.07,214,131,16,87,18.83,17,89,19.31,41,457,8.97,219,458,49.385
3,Ivan Chekhovich,LW,BAC,19.197,119,66,51,33,117,150,447,14.71,0.57,0.44,0.285,1.01,1.295,3.815,26.77,0.45,1150.755,19.395,1.74,1.355,0.88,3.095,3.975,11.75,1.4,18.745,17.89,58.48,48.38,21.75,68.775,204,93,19,76,24.72,22,85,26.175,25,286,8.71,2,6,37.5
4,Rafael Harvey-Pinard,LW,ROU,19.191,124,58,60,30,118,148,408,14.26,0.475,0.48,0.25,0.955,1.195,3.35,25.6,0.42,1167.88,18.85,1.51,1.52,0.785,3.025,3.815,10.625,1.33,18.74,18.05,65.315,49.275,14.11,72.355,195,74,20,80,25.825,23,79,29.15,15,249,6.08,14,38,38.145
5,Antoine Morand,C,BAT/HAL,19.074,121,47,60,36,107,143,318,14.99,0.385,0.495,0.3,0.885,1.185,2.605,22.29,0.36,1115.655,18.39,1.27,1.62,0.98,2.89,3.87,8.485,1.165,19.31,17.815,65.08,48.545,13.885,71.72,203,83,15,72,20.63,16,55,30.355,16,191,8.705,873,1573,55.2
6,Mitchell Balmas,LW/RW,BAT/GAT/CAP,19.994,120,78,35,24,113,137,434,18.03,0.655,0.295,0.205,0.95,1.155,3.63,26.915,0.445,1216.93,20.305,1.935,0.875,0.605,2.81,3.41,10.725,1.315,19.21,18.02,58.905,49.295,16.555,68.12,200,93,13,49,26.6,12,61,19.12,53,324,16.29,403,777,49.14
7,Jakob Pelletier,C/LW,MON,17.026,114,56,41,40,97,137,348,15.96,0.495,0.365,0.355,0.86,1.215,3.075,25.38,0.45,1089.71,19.18,1.54,1.125,1.1,2.665,3.77,9.575,1.395,19.64,18.055,54.275,49.86,22.88,65.025,197,106,29,94,31.705,8,67,12.275,19,187,10.32,80,186,44.83
8,Jimmy Huntington,C,VIC/RIM,19.325,124,54,52,30,106,136,303,17.57,0.45,0.43,0.235,0.885,1.12,2.48,19.955,0.325,1186.935,19.255,1.385,1.325,0.755,2.71,3.46,7.685,1.01,19.035,17.95,62.435,49.13,6.635,64.125,198,112,15,71,19.635,18,59,30.945,21,173,12.235,1016,1849,54.315
9,Nicolas Guay,C/RW,DRU,18.745,120,64,50,18,114,132,420,15.455,0.55,0.43,0.165,0.98,1.145,3.525,28.505,0.475,1131.455,18.865,1.745,1.37,0.52,3.115,3.635,11.21,1.505,17.97,17.975,63.35,49.635,-1.875,61.49,187,119,23,74,31.14,18,96,18.845,23,250,9.54,860,1587,54.34
10,Joel Teasdale,LW,BLB/BLB/ROU,19.016,120,66,45,19,111,130,416,15.88,0.555,0.38,0.16,0.935,1.09,3.505,32.12,0.54,1216.555,20.305,1.64,1.12,0.465,2.75,3.22,10.34,1.59,19.305,18.215,57.93,52.79,13.175,64.92,197,106,22,99,22.33,19,72,25.46,25,245,10.2,182,358,50.54
11,Raphael Lavoie,C/RW,HAL,17.472,123,59,42,27,101,128,409,14.51,0.485,0.34,0.225,0.825,1.055,3.33,28.31,0.455,1117.555,18.19,1.595,1.135,0.745,2.725,3.47,10.985,1.5,19.065,17.755,61.61,50.0,10.65,67.045,184,94,17,84,19.795,17,73,23.115,25,252,10.065,300,610,48.065
12,Jordan Martel,LW/RW,BAC,20.056,116,61,43,23,104,127,434,13.895,0.515,0.37,0.195,0.885,1.085,3.785,23.215,0.4,1059.4,18.09,1.7,1.245,0.65,2.945,3.59,12.7,1.335,18.125,17.575,55.745,48.45,20.43,67.89,170,81,14,42,33.335,17,64,27.575,30,328,9.055,6,25,24.35
13,Gabriel Fortier,C,BAC,18.107,122,53,36,37,89,126,340,15.595,0.435,0.305,0.305,0.74,1.045,2.805,21.34,0.35,1140.635,18.725,1.405,0.96,0.98,2.365,3.34,8.975,1.115,18.735,18.175,58.525,49.61,12.79,62.27,187,113,25,77,32.38,9,50,16.485,19,213,8.89,1013,2118,48.615
14,Gregor MacLeod,C,QUE/CHA/DRU,19.774,108,51,45,27,96,123,317,15.885,0.47,0.42,0.25,0.89,1.135,2.935,17.375,0.32,977.08,18.095,1.56,1.375,0.825,2.935,3.76,9.705,1.065,18.245,17.735,59.995,47.65,14.64,71.345,175,69,14,45,30.36,14,65,21.09,23,207,11.41,211,418,50.25
