"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Stephen Desrocher","D","KGN","20.638","65","12","16","23","28","51","230","5.22","0.18","0.25","0.35","0.43","0.78","3.54","14.65","0.23","1","9","11.11","2","8","25.0","9","213","4.23","0","0","0.0"
"","Jalen Smereck","D","FLNT","19.666","60","9","19","17","28","45","191","4.71","0.15","0.32","0.28","0.47","0.75","3.18","12.55","0.21","0","7","0.0","1","2","50.0","8","182","4.4","0","0","0.0"
"","Evan Bouchard","D","LDN","16.907","68","11","17","16","28","44","135","8.15","0.16","0.25","0.24","0.41","0.65","1.99","6.98","0.1","2","3","66.67","0","6","0.0","9","126","7.14","0","0","0.0"
"","Mikhail Sergachev","D","WSR","18.226","50","10","18","16","28","44","172","5.81","0.2","0.36","0.32","0.56","0.88","3.44","12.32","0.25","0","2","0.0","0","9","0.0","10","161","6.21","2","3","66.67"
"","Julius  Nattinen","C","WSR","19.669","51","13","15","10","28","38","123","10.57","0.25","0.29","0.2","0.55","0.75","2.41","15.85","0.31","6","20","30.0","3","15","20.0","4","88","4.55","428","793","53.97"
"","Alex Formenton","LW","LDN","17.008","65","16","12","6","28","34","138","11.59","0.25","0.18","0.09","0.43","0.52","2.12","18.54","0.29","6","29","20.69","3","22","13.64","7","87","8.05","89","167","53.29"
"","Travis Barron","LW","OTT","18.081","59","13","15","6","28","34","147","8.84","0.22","0.25","0.1","0.47","0.58","2.49","19.13","0.32","5","31","16.13","4","22","18.18","4","94","4.26","188","400","47.0"
"","Jared Steege","LW","OTT","20.69","50","14","14","5","28","33","158","8.86","0.28","0.28","0.1","0.56","0.66","3.16","15.59","0.31","4","21","19.05","5","33","15.15","5","104","4.81","10","19","52.63"
"","Marian Studenic","RW","HAM","17.884","58","18","10","2","28","30","128","14.06","0.31","0.17","0.03","0.48","0.52","2.21","17.96","0.31","4","20","20.0","6","31","19.35","8","77","10.39","8","22","36.36"
"","Markus Phillips","D","OS","17.49","66","13","14","16","27","43","167","7.78","0.2","0.21","0.24","0.41","0.65","2.53","8.84","0.13","0","6","0.0","2","7","28.57","11","154","7.14","2","2","100.0"
"","Noel Hoefenmayer","D","OTT","17.692","62","14","13","13","27","40","97","14.43","0.23","0.21","0.21","0.44","0.65","1.56","6.18","0.1","2","6","33.33","0","4","0.0","12","87","13.79","0","0","0.0"
"","Maurizio Colella","LW","NB/FLNT","19.488","65","18","9","13","27","40","133","13.53","0.28","0.14","0.2","0.42","0.62","2.05","15.38","0.24","7","22","31.82","2","18","11.11","9","93","9.68","22","55","40.0"
"","Daniil Vertiy","LW","NB","17.843","61","14","13","2","27","29","93","15.05","0.23","0.21","0.03","0.44","0.48","1.52","9.31","0.15","3","10","30.0","2","14","14.29","9","69","13.04","1","4","25.0"
"","Albert Michnac","C","GUE","17.911","65","15","11","13","26","39","120","12.5","0.23","0.17","0.2","0.4","0.6","1.85","14.12","0.22","10","29","34.48","2","16","12.5","3","75","4.0","1","4","25.0"
"","Matthew Kreis","LW","SAG","19.124","65","11","15","9","26","35","102","10.78","0.17","0.23","0.14","0.4","0.54","1.57","13.85","0.21","4","17","23.53","3","21","14.29","4","64","6.25","76","175","43.43"
"","Franco Sproviero","C","SAR","18.114","68","14","12","9","26","35","81","17.28","0.21","0.18","0.13","0.38","0.51","1.19","8.72","0.13","3","10","30.0","5","17","29.41","6","54","11.11","295","617","47.81"
"","Blake Speers","RW","SSM","19.702","30","15","11","8","26","34","109","13.76","0.5","0.37","0.27","0.87","1.13","3.63","13.7","0.46","3","9","33.33","3","11","27.27","9","89","10.11","316","515","61.36"
"","Cole Carter","RW","WSR/KIT","18.196","58","14","12","7","26","33","114","12.28","0.24","0.21","0.12","0.45","0.57","1.97","13.42","0.23","4","26","15.38","3","12","25.0","7","76","9.21","13","33","39.39"
"","Adrian Carbonara","RW","LDN/BAR","19.513","63","12","14","7","26","33","121","9.92","0.19","0.22","0.11","0.41","0.52","1.92","12.85","0.2","4","16","25.0","2","13","15.38","6","92","6.52","26","55","47.27"
"","Hayden Verbeek","C","SSM","18.913","64","11","15","5","26","31","104","10.58","0.17","0.23","0.08","0.41","0.48","1.62","12.83","0.2","6","20","30.0","1","17","5.88","4","67","5.97","433","892","48.54"
"","Jacob Cascagnette","C","KIT/MISS","19.486","63","19","7","5","26","31","111","17.12","0.3","0.11","0.08","0.41","0.49","1.76","11.95","0.19","3","8","37.5","3","17","17.65","13","86","15.12","270","508","53.15"
"","Tye Felhaber","LW","OTT/SAG","18.114","48","17","9","5","26","31","158","10.76","0.35","0.19","0.1","0.54","0.65","3.29","18.03","0.38","4","11","36.36","3","22","13.64","10","125","8.0","15","33","45.45"
"","Chase Campbell","RW","OS/OTT","18.229","66","14","12","2","26","28","84","16.67","0.21","0.18","0.03","0.39","0.42","1.27","10.32","0.16","2","20","10.0","5","12","41.67","7","52","13.46","1","12","8.33"
"","Olli Juolevi","D","LDN","18.366","58","10","15","18","25","43","123","8.13","0.17","0.26","0.31","0.43","0.74","2.12","7.72","0.13","0","1","0.0","0","0","0.0","10","122","8.2","2","2","100.0"
"","Mason Kohn","LW","KIT/OSH","19.371","67","11","14","15","25","40","145","7.59","0.16","0.21","0.22","0.37","0.6","2.16","18.14","0.27","3","32","9.38","2","24","8.33","6","89","6.74","510","1032","49.42"
"","Dylan Di Perna","D","KIT","20.389","65","9","16","13","25","38","124","7.26","0.14","0.25","0.2","0.38","0.58","1.91","8.23","0.13","0","0","0.0","2","5","40.0","7","119","5.88","0","1","0.0"
"","Nate Schnarr","C","GUE","17.555","54","18","7","11","25","36","131","13.74","0.33","0.13","0.2","0.46","0.67","2.43","14.43","0.27","4","10","40.0","2","21","9.52","12","100","12.0","528","1049","50.33"
"","Adam Timleck","RW","PBO","18.552","66","15","10","6","25","31","177","8.47","0.23","0.15","0.09","0.38","0.47","2.68","21.77","0.33","2","14","14.29","6","44","13.64","7","119","5.88","1","3","33.33"
"","Joe Manchurek","LW","OSH","20.099","48","15","10","4","25","29","120","12.5","0.31","0.21","0.08","0.52","0.6","2.5","14.95","0.31","3","17","17.65","4","25","16.0","8","78","10.26","30","75","40.0"
"","Zach Poirier","RW","NB","18.347","64","15","10","3","25","28","138","10.87","0.23","0.16","0.05","0.39","0.44","2.16","15.22","0.24","4","11","36.36","2","26","7.69","9","101","8.91","146","418","34.93"
"","Ben Hawerchuk","LW","BAR","18.473","57","15","9","7","24","31","121","12.4","0.26","0.16","0.12","0.42","0.54","2.12","13.52","0.24","4","19","21.05","4","16","25.0","7","86","8.14","376","922","40.78"
"","Adam Laishram","C","WSR/HAM","19.439","56","12","12","5","24","29","98","12.24","0.21","0.21","0.09","0.43","0.52","1.75","15.41","0.28","5","24","20.83","3","26","11.54","4","48","8.33","175","370","47.3"
"","Alex Peters","D","FLNT","20.206","68","10","13","12","23","35","195","5.13","0.15","0.19","0.18","0.34","0.51","2.87","11.58","0.17","1","3","33.33","2","15","13.33","7","177","3.95","0","1","0.0"
"","Riley Stillman","D","OSH","18.522","62","11","12","10","23","33","124","8.87","0.18","0.19","0.16","0.37","0.53","2.0","8.74","0.14","0","4","0.0","1","7","14.29","10","113","8.85","2","3","66.67"
"","Mathieu Foget","RW","OTT","19.529","32","12","11","10","23","33","60","20.0","0.38","0.34","0.31","0.72","1.03","1.88","6.75","0.21","1","8","12.5","4","10","40.0","7","42","16.67","73","164","44.51"
"","Trent Fox","LW","HAM/MISS","19.168","64","13","10","9","23","32","137","9.49","0.2","0.16","0.14","0.36","0.5","2.14","15.93","0.25","1","17","5.88","4","16","25.0","8","104","7.69","60","110","54.55"
"","Alan Lyszczarczyk","C","SBY","18.577","61","10","13","9","23","32","135","7.41","0.16","0.21","0.15","0.38","0.52","2.21","17.48","0.29","5","26","19.23","2","23","8.7","3","86","3.49","27","74","36.49"
"","Matt Schmalz","RW","OS","20.488","62","16","7","8","23","31","134","11.94","0.26","0.11","0.13","0.37","0.5","2.16","15.88","0.26","3","17","17.65","5","29","17.24","8","88","9.09","81","143","56.64"
"","Danial Singer","RW","NIAG","17.597","65","13","10","4","23","27","136","9.56","0.2","0.15","0.06","0.35","0.42","2.09","14.51","0.22","6","22","27.27","5","24","20.83","2","90","2.22","4","9","44.44"
"","Kyle Langdon","C","NIAG","18.056","60","12","11","3","23","26","117","10.26","0.2","0.18","0.05","0.38","0.43","1.95","11.07","0.18","4","13","30.77","3","20","15.0","5","84","5.95","462","965","47.88"
"","Stefan LeBlanc","D","MISS","20.501","66","7","15","15","22","37","117","5.98","0.11","0.23","0.23","0.33","0.56","1.77","9.42","0.14","2","15","13.33","1","7","14.29","4","95","4.21","1","1","100.0"
"","Garrett McFadden","D","GUE","19.07","58","12","10","15","22","37","162","7.41","0.21","0.17","0.26","0.38","0.64","2.79","11.91","0.21","0","7","0.0","0","5","0.0","12","150","8.0","1","3","33.33"
"","Chandler Yakimowicz","RW","LDN/SBY","20.638","59","9","13","14","22","36","121","7.44","0.15","0.22","0.24","0.37","0.61","2.05","12.32","0.21","3","15","20.0","2","15","13.33","4","91","4.4","62","138","44.93"
"","Ryan McGregor","C","SAR","17.629","65","14","8","5","22","27","115","12.17","0.22","0.12","0.08","0.34","0.42","1.77","15.56","0.24","3","23","13.04","3","23","13.04","8","69","11.59","122","292","41.78"
"","Christian Girhiny","LW","ER","18.07","68","12","10","3","22","25","76","15.79","0.18","0.15","0.04","0.32","0.37","1.12","9.3","0.14","5","12","41.67","2","15","13.33","5","49","10.2","5","15","33.33"
"","MacKenzie Entwistle","RW","HAM","17.175","54","12","10","3","22","25","108","11.11","0.22","0.19","0.06","0.41","0.46","2.0","12.85","0.24","5","19","26.32","4","18","22.22","3","71","4.23","187","417","44.84"
"","Giordano Finoro","C","BAR","18.333","58","13","9","1","22","23","109","11.93","0.22","0.16","0.02","0.38","0.4","1.88","13.32","0.23","2","21","9.52","0","12","0.0","11","76","14.47","395","756","52.25"
"","Jordan Sambrook","D","ER","18.432","61","15","6","19","21","40","135","11.11","0.25","0.1","0.31","0.34","0.66","2.21","10.01","0.16","0","6","0.0","3","11","27.27","12","118","10.17","0","0","0.0"
"","Marcus Crawford","D","SAG","19.488","60","6","15","18","21","39","167","3.59","0.1","0.25","0.3","0.35","0.65","2.78","11.45","0.19","0","8","0.0","0","7","0.0","6","152","3.95","1","1","100.0"
"","Matt Brassard","D","OSH/BAR","18.106","62","12","9","11","21","32","203","5.91","0.19","0.15","0.18","0.34","0.52","3.27","10.51","0.17","1","4","25.0","1","9","11.11","10","190","5.26","0","2","0.0"
"","Cole Coskey","RW","SAG","17.293","66","10","11","10","21","31","145","6.9","0.15","0.17","0.15","0.32","0.47","2.2","14.7","0.22","4","22","18.18","2","28","7.14","4","95","4.21","27","62","43.55"
"","Vili Saarijarvi","D","MISS","19.338","34","11","10","10","21","31","151","7.28","0.32","0.29","0.29","0.62","0.91","4.44","9.12","0.27","0","2","0.0","0","8","0.0","11","141","7.8","1","1","100.0"
"","Matt Hotchkiss","LW","GUE","18.607","64","14","7","8","21","29","142","9.86","0.22","0.11","0.12","0.33","0.45","2.22","15.86","0.25","4","15","26.67","3","23","13.04","7","104","6.73","58","108","53.7"
"","Liam Hawel","C","GUE/SSM","17.413","66","9","12","7","21","28","90","10.0","0.14","0.18","0.11","0.32","0.42","1.36","9.62","0.15","2","10","20.0","4","16","25.0","3","64","4.69","231","537","43.02"
