"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO"
"","Prince Albert Raiders","58","47","65.42","263","139","124","58.46","2186","1553","633","11.63","0.913","102.97"
"","Everett Silvertips","57","39","63.79","192","109","83","57.7","2113","1549","564","8.39","0.936","102.02"
"","Vancouver Giants","56","36","57.74","179","131","48","54.03","1784","1518","266","9.68","0.917","101.41"
"","Portland Winterhawks","58","35","57.14","228","171","57","54.83","2117","1744","373","10.09","0.906","100.65"
"","Saskatoon Blades","58","35","57.11","221","166","55","52.98","2003","1778","225","10.63","0.909","101.55"
"","Edmonton Oil Kings","58","31","53.61","208","180","28","53.54","2002","1737","265","10.03","0.899","99.98"
"","Moose Jaw Warriors","55","30","53.41","180","157","23","49.64","1670","1694","-24","10.56","0.911","101.62"
"","Spokane Chiefs","55","29","52.94","207","184","23","51.44","1824","1722","102","10.71","0.897","100.39"
"","Calgary Hitmen","56","29","51.75","207","193","14","53.84","1979","1697","282","10.14","0.888","98.93"
"","Lethbridge Hurricanes","57","29","51.44","215","203","12","51.71","1986","1855","131","10.56","0.893","99.85"
"","Brandon Wheat Kings","56","25","49.74","189","191","-2","48.6","1817","1922","-105","10.01","0.903","100.3"
"","Medicine Hat Tigers","58","26","49.72","179","181","-2","50.08","1965","1959","6","8.83","0.911","99.92"
"","Red Deer Rebels","55","24","49.43","173","177","-4","48.85","1748","1830","-82","9.74","0.907","100.42"
"","Tri-City Americans","55","24","48.99","169","176","-7","45.2","1581","1917","-336","10.18","0.911","101.28"
"","Victoria Royals","56","26","48.12","166","179","-13","48.29","1609","1723","-114","9.98","0.901","100.06"
"","Seattle Thunderbirds","57","23","47.51","191","211","-20","47.89","1835","1997","-162","10.07","0.9","100.04"
"","Kamloops Blazers","55","21","46.97","155","175","-20","48.77","1710","1796","-86","8.8","0.907","99.46"
"","Kelowna Rockets","57","21","44.37","138","173","-35","47.34","1599","1779","-180","8.34","0.904","98.72"
"","Regina Pats","57","15","39.57","146","223","-77","46.58","1654","1897","-243","8.77","0.886","97.34"
"","Prince George Cougars","57","14","38.91","121","190","-69","47.54","1644","1814","-170","7.3","0.898","97.13"
"","Kootenay ICE","56","9","36.47","151","263","-112","45.12","1673","2035","-362","9.03","0.875","96.49"
"","Swift Current Broncos","55","8","34.41","117","223","-106","36.49","1328","2311","-983","8.81","0.907","99.47"
