"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Ryan Verrier","LD","GB","18.823","56","4","7","7","11","18","59","6.78","0.07","0.12","0.12","0.2","0.32","1.05"
"","Steven Agriogianis","RW","CR/OMA/CIL","18.689","53","4","7","7","11","18","47","8.51","0.08","0.13","0.13","0.21","0.34","0.89"
"","Collin Peters","RW","LIN","20.608","48","8","3","6","11","17","102","7.84","0.17","0.06","0.12","0.23","0.35","2.12"
"","Cole Krygier","D","LIN","17.364","58","3","8","6","11","17","82","3.66","0.05","0.14","0.1","0.19","0.29","1.41"
"","Alex Barber","C","YNG/CIL","18.577","55","7","4","6","11","17","59","11.86","0.13","0.07","0.11","0.2","0.31","1.07"
"","Domenick Fensore","LD","USA","16.208","35","1","10","5","11","16","34","2.94","0.03","0.29","0.14","0.31","0.46","0.97"
"","Brian Hawkinson","RW","TC","19.68","58","6","5","5","11","16","69","8.7","0.1","0.09","0.09","0.19","0.28","1.19"
"","Carver Watson","LD","GB","19.538","53","3","8","4","11","15","55","5.45","0.06","0.15","0.08","0.21","0.28","1.04"
"","Taylor Schneider","LW","DBQ","19.573","59","4","7","3","11","14","90","4.44","0.07","0.12","0.05","0.19","0.24","1.53"
"","Austin Magera","C","CHI/LIN","19.16","41","6","5","3","11","14","46","13.04","0.15","0.12","0.07","0.27","0.34","1.12"
"","Jan Kern","C","DBQ","18.139","54","7","4","2","11","13","55","12.73","0.13","0.07","0.04","0.2","0.24","1.02"
"","Tyler Carpenter","C","OMA","17.052","59","7","4","2","11","13","83","8.43","0.12","0.07","0.03","0.19","0.22","1.41"
"","Trevor Janicke","RW","USA","16.723","26","6","5","2","11","13","33","18.18","0.23","0.19","0.08","0.42","0.5","1.27"
"","Matt Gosiewski","C","DM/CIL","19.352","48","7","4","2","11","13","47","14.89","0.15","0.08","0.04","0.23","0.27","0.98"
"","Clayton Phillips","LD","FGO/MUS","18.018","16","5","6","1","11","12","40","12.5","0.31","0.38","0.06","0.69","0.75","2.5"
"","Charlie Raith","LD","CIL","20.378","49","3","7","11","10","21","78","3.85","0.06","0.14","0.22","0.2","0.43","1.59"
"","Brendan Bushy","LD","DBQ","19.064","56","4","6","10","10","20","81","4.94","0.07","0.11","0.18","0.18","0.36","1.45"
"","Brady Ferner","RD","SC","20.052","60","2","8","9","10","19","107","1.87","0.03","0.13","0.15","0.17","0.32","1.78"
"","Michael Callahan","D","YNG/CIL","17.98","59","3","7","8","10","18","103","2.91","0.05","0.12","0.14","0.17","0.31","1.75"
"","Scooter Brickey","RD","DM","18.306","53","2","8","7","10","17","89","2.25","0.04","0.15","0.13","0.19","0.32","1.68"
"","Tyler Gratton","LW","CHI","18.111","51","4","6","6","10","16","72","5.56","0.08","0.12","0.12","0.2","0.31","1.41"
"","Lucas Breault","C","SF/CIL","18.325","59","6","4","5","10","15","60","10.0","0.1","0.07","0.08","0.17","0.25","1.02"
"","Ty Emberson","RD","USA","17.312","25","4","6","5","10","15","34","11.76","0.16","0.24","0.2","0.4","0.6","1.36"
