,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
551,George King,RW,REG/PA,19.267,23,5,0,1,5,6,0.22,0.0,0.04,0.22,0.26
552,Cole Muir,C,REG/REG/KTN,16.084,52,2,2,2,4,6,0.02,0.02,0.02,0.04,0.06
553,Jaxan Kaluski,LW,MJ/MJ/SEA,17.888,61,3,0,3,3,6,0.035,0.0,0.05,0.035,0.085
554,Drew Warkentine,C,PA,18.48,34,2,2,2,4,6,0.03,0.03,0.03,0.06,0.095
555,Samuel Huo,C,SEA,16.176,67,3,3,0,6,6,0.04,0.04,0.0,0.09,0.09
556,Eric Pearce,C,PA,16.129,49,4,2,0,6,6,0.08,0.04,0.0,0.12,0.12
557,Logan Nijhoff,LW,REG,16.23,30,3,3,0,6,6,0.1,0.1,0.0,0.2,0.2
558,Matt Dorsey,RW,CGY,17.35,34,3,3,0,6,6,0.09,0.09,0.0,0.18,0.18
559,Zachary Cox,RW,LET,18.571,58,2,3,1,5,6,0.03,0.05,0.02,0.09,0.1
560,Owen Williams,D,REG/REG/SEA,16.47,60,0,3,3,3,6,0.0,0.025,0.025,0.025,0.05
561,Clay Hanus,D,POR,16.477,56,0,2,4,2,6,0.0,0.04,0.07,0.04,0.11
562,Kyle Walker,D,EVT,17.186,50,1,2,3,3,6,0.02,0.04,0.06,0.06,0.12
563,Brendan Stafford,RW,LET,17.484,36,1,2,3,3,6,0.03,0.06,0.08,0.08,0.17
564,Luke Gallagher,D,SPO,16.828,43,1,3,1,4,5,0.015,0.08,0.015,0.095,0.11
565,Tyler Carpendale,LW,SEA,17.138,21,3,0,2,3,5,0.08,0.0,0.055,0.08,0.13
566,Tyler Smithies,LW,MJ,16.637,38,1,4,0,5,5,0.015,0.055,0.0,0.07,0.07
567,Taden Rattie,RW,RD/VAN,18.549,46,1,3,1,4,5,0.02,0.07,0.02,0.09,0.11
568,Baxter Anderson,LW,MH,17.514,45,1,3,1,4,5,0.02,0.07,0.02,0.09,0.11
569,Noah King,LD,SC,17.708,70,0,3,2,3,5,0.0,0.025,0.015,0.025,0.04
570,Dryden Michaud,LW,SAS,19.0,58,3,2,0,5,5,0.05,0.035,0.0,0.085,0.085
571,MacKenzie Wight,RW,SEA/SC/SC,18.112,72,2,2,1,4,5,0.04,0.02,0.01,0.055,0.065
572,Carter Czaikowski,D,POR,18.448,17,1,1,3,2,5,0.06,0.06,0.18,0.12,0.29
573,Arjun Atwal,LW,SAS,17.461,45,0,3,2,3,5,0.0,0.065,0.035,0.065,0.1
574,Bronson Sharp,LW,POR/POR/EVT,17.214,89,2,2,1,4,5,0.02,0.025,0.01,0.045,0.055
575,Ian Briscoe,C,SEA,18.11,45,2,2,1,4,5,0.05,0.04,0.02,0.09,0.11
576,Artyom Baltruk,RW,EDM,17.869,65,3,2,0,5,5,0.025,0.015,0.0,0.04,0.04
577,Marco Creta,D,REG,17.328,33,1,1,3,2,5,0.03,0.03,0.09,0.06,0.15
578,Liam Ryan,C,PG,17.703,34,2,3,0,5,5,0.06,0.09,0.0,0.15,0.15
579,Rhett Rhinehart,D,PA/PA/PG,15.3,62,3,0,2,3,5,0.025,0.0,0.015,0.025,0.04
580,Wil Kushniryk,LW,KEL,17.635,51,2,2,1,4,5,0.04,0.04,0.02,0.08,0.1
581,Jacson Alexander,D,SC,16.619,32,1,3,1,4,5,0.03,0.09,0.03,0.12,0.16
582,Cameron MacPhee,D,MH/MH/PG,17.834,63,2,1,2,3,5,0.02,0.01,0.04,0.03,0.075
583,Zach Huber,C,CGY,17.121,58,2,1,2,3,5,0.02,0.01,0.02,0.025,0.045
584,Andrew Viggars,D,CGY,17.701,39,0,3,2,3,5,0.0,0.08,0.05,0.08,0.13
585,Hunter Donohoe,D,RD,17.191,50,3,2,0,5,5,0.06,0.04,0.0,0.1,0.1
586,Gianni Fairbrother,D,EVT,16.459,36,2,2,1,4,5,0.03,0.03,0.015,0.06,0.075
587,Paycen Bjorklund,RW,TC,16.761,48,2,2,0,4,4,0.04,0.04,0.0,0.08,0.08
588,Jesse Roach,RW,EDM,19.529,42,2,1,1,3,4,0.05,0.02,0.02,0.07,0.1
589,Logan Foster,RW,SPO/SC,17.524,30,2,2,0,4,4,0.045,0.09,0.0,0.135,0.135
590,Meyer Nell,C,BDN,19.393,30,2,1,1,3,4,0.07,0.03,0.03,0.1,0.13
591,Murphy Stratton,RW,CGY,16.953,45,1,1,2,2,4,0.02,0.02,0.04,0.04,0.09
592,Marcus Kichton,D,VAN,18.184,81,1,2,1,3,4,0.01,0.02,0.015,0.03,0.045
593,Benjamin Coppinger,RW,PG,17.451,18,0,3,1,3,4,0.0,0.17,0.06,0.17,0.22
594,Ryan Jones,D,VAN,18.451,38,0,2,2,2,4,0.0,0.05,0.05,0.05,0.11
595,Konrad Belcourt,D,KEL/KEL/PA,16.867,84,1,1,2,2,4,0.015,0.01,0.025,0.025,0.045
596,Andrei Pavlenko,RW,EDM,17.443,20,3,1,0,4,4,0.15,0.05,0.0,0.2,0.2
597,Riley Bruce,D,REG/EVT,17.949,23,1,1,2,2,4,0.03,0.03,0.13,0.055,0.185
598,Tyler Lees,C,SAS,16.84,39,3,1,0,4,4,0.1,0.015,0.0,0.115,0.115
599,Garrett Armour,LW,BDN,19.034,41,0,3,1,3,4,0.0,0.07,0.02,0.07,0.1
