"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Joachim Blichfeld","LW","POR","20.165","58","51","26","25","77","102","0.88","0.45","0.43","1.33","1.76"
"","Tristin Langan","LW","MJ","19.751","54","41","31","15","72","87","0.76","0.57","0.28","1.33","1.61"
"","Brandon Hagel","LW","RD","20.052","54","32","36","14","68","82","0.59","0.67","0.26","1.26","1.52"
"","Brett Leason","RW","PA","19.379","45","33","34","11","67","78","0.73","0.76","0.24","1.49","1.73"
"","Trey Fix-Wolansky","RW","EDM","19.308","55","29","37","21","66","87","0.53","0.67","0.38","1.2","1.58"
"","Stelio Mattheos","C","BDN","19.256","53","37","27","19","64","83","0.7","0.51","0.36","1.21","1.57"
"","Noah Gregor","C","PA","20.135","53","35","27","14","62","76","0.66","0.51","0.26","1.17","1.43"
"","Mark Kastelic","C","CGY","19.516","56","42","18","6","60","66","0.75","0.32","0.11","1.07","1.18"
"","Nick Henry","RW","LET/REG","19.201","58","22","35","19","57","76","0.38","0.6","0.33","0.98","1.31"
"","Luka Burzan","C","BDN","18.689","56","35","22","9","57","66","0.62","0.39","0.16","1.02","1.18"
"","Justin Almeida","C","MJ","19.606","51","23","32","25","55","80","0.45","0.63","0.49","1.08","1.57"
"","Connor Dewar","C","EVT","19.223","52","35","20","18","55","73","0.67","0.38","0.35","1.06","1.4"
"","Cody Glass","C","POR","19.458","36","14","40","14","54","68","0.39","1.11","0.39","1.5","1.89"
"","Parker AuCoin","LW","TC","20.129","55","33","21","9","54","63","0.6","0.38","0.16","0.98","1.15"
"","Bryce Kindopp","RW","EVT","19.256","57","33","20","6","53","59","0.58","0.35","0.11","0.93","1.04"
"","Dante Hannoun","C","PA/VIC","20.121","48","27","26","5","53","58","0.56","0.54","0.1","1.1","1.21"
"","James Hamblin","C","MH","19.387","58","31","21","16","52","68","0.53","0.36","0.28","0.9","1.17"
"","Max Gerlach","RW","SAS","20.449","58","36","16","12","52","64","0.62","0.28","0.21","0.9","1.1"
"","Jake Leschyshyn","C","LET/REG","19.519","57","34","17","13","51","64","0.6","0.3","0.23","0.89","1.12"
"","Zack Andrusiak","LW","EVT/SEA","20.184","53","35","16","8","51","59","0.66","0.3","0.15","0.96","1.11"
"","Gary Haden","C","MH/SAS","19.644","54","27","24","7","51","58","0.5","0.44","0.13","0.94","1.07"
"","Riley Woods","LW","SPO","20.225","53","28","23","7","51","58","0.53","0.43","0.13","0.96","1.09"
"","Dylan Cozens","C","LET","17.597","57","28","22","18","50","68","0.49","0.39","0.32","0.88","1.19"
"","Davis Koch","RW","VAN","20.258","56","23","26","12","49","61","0.41","0.46","0.21","0.88","1.09"
"","Kirby Dach","C","SAS","17.649","52","22","26","12","48","60","0.42","0.5","0.23","0.92","1.15"
"","Matthew Wedman","C","SEA","19.31","56","31","17","12","48","60","0.55","0.3","0.21","0.86","1.07"
"","Jake Elmer","RW","LET","19.707","57","29","19","11","48","59","0.51","0.33","0.19","0.84","1.04"
"","Jordy Bellerive","C","LET","19.373","57","24","23","18","47","65","0.42","0.4","0.32","0.82","1.14"
"","Parker Kelly","C","PA","19.341","57","29","18","10","47","57","0.51","0.32","0.18","0.82","1.0"
"","Cole Fonstad","LW","PA","18.393","58","26","19","17","45","62","0.45","0.33","0.29","0.78","1.07"
"","Kyle Topping","C","KEL","18.826","57","21","24","15","45","60","0.37","0.42","0.26","0.79","1.05"
"","James Malm","C","VAN/CGY","19.226","52","23","21","15","44","59","0.44","0.4","0.29","0.85","1.13"
"","Taylor Ross","LW","LET","20.567","57","29","15","14","44","58","0.51","0.26","0.25","0.77","1.02"
"","Eli Zummack","C","SPO","18.484","49","13","31","13","44","57","0.27","0.63","0.27","0.9","1.16"
"","Brayden Tracey","LW","MJ","17.301","55","27","16","18","43","61","0.49","0.29","0.33","0.78","1.11"
"","Peyton Krebs","LW","KTN","17.635","52","19","24","17","43","60","0.37","0.46","0.33","0.83","1.15"
"","Zane Franklin","RW","KAM","19.694","55","25","18","11","43","54","0.45","0.33","0.2","0.78","0.98"
"","Kaden Elder","C","SC/CGY","20.501","57","23","20","7","43","50","0.4","0.35","0.12","0.75","0.88"
"","Josh Brook","D","MJ","19.247","46","14","28","18","42","60","0.3","0.61","0.39","0.91","1.3"
"","Noah Philp","C","SEA","20.041","46","20","22","16","42","58","0.43","0.48","0.35","0.91","1.26"
"","Ryan Jevne","LW","MH","20.438","57","26","16","13","42","55","0.46","0.28","0.23","0.74","0.96"
"","Nolan Foote","LW","KEL","17.794","55","28","14","7","42","49","0.51","0.25","0.13","0.76","0.89"
"","Josh Paterson","C","SAS/POR","19.65","58","21","21","3","42","45","0.36","0.36","0.05","0.72","0.78"
"","Ryan Hughes","C","SAS/POR","19.138","51","23","18","16","41","57","0.45","0.35","0.31","0.8","1.12"
"","Vince Loschiavo","C","EDM","20.488","53","27","13","8","40","48","0.51","0.25","0.15","0.75","0.91"
"","Dawson Davidson","D","SAS","20.441","58","11","28","26","39","65","0.19","0.48","0.45","0.67","1.12"
"","Kyle Olson","C","TC","19.486","51","20","19","18","39","57","0.39","0.37","0.35","0.76","1.12"
"","Leif Mattson","RW","KEL","19.149","57","19","19","16","38","54","0.33","0.33","0.28","0.67","0.95"
"","Sean Montgomery","C","PA","20.526","57","24","14","14","38","52","0.42","0.25","0.25","0.67","0.91"
"","Riley Stotts","LW","CGY","18.694","50","18","20","9","38","47","0.36","0.4","0.18","0.76","0.94"
