,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
480,Jean-Simon Belanger,RW,BAC,19.038,51,5,5,4,10,14,65,7.75,0.095,0.095,0.08,0.195,0.275,1.26,2.29,0.09,281.64,11.015,0.525,0.525,0.455,1.055,1.51,6.83,0.48,17.18,16.9,45.24,50.505,4.355,51.925,17,16,1,8,8.335,0,4,0.0,4,53,8.03,0,5,0.0
481,Julien Carignan-Labbe,D,CHI,19.59,68,4,4,6,8,14,117,3.42,0.06,0.06,0.09,0.12,0.21,1.72,5.04,0.07,1390.97,20.46,0.17,0.17,0.26,0.35,0.6,5.05,0.22,17.07,18.11,45.74,51.55,-23.95,33.86,43,84,1,4,25.0,0,1,0.0,3,112,2.68,0,0,0.0
482,Felix Pare,RW,VIC,17.468,111,6,5,3,11,14,99,9.313,0.077,0.033,0.02,0.11,0.13,0.837,1.703,0.057,447.96,11.823,0.393,0.16,0.103,0.553,0.653,4.16,0.293,16.557,16.917,47.27,49.78,-12.683,37.127,32,75,1,7,8.333,0,7,0.0,5,85,10.673,6,31,20.833
483,William Dufour,RW,CHI/ROU,16.63,43,6,3,4,9,13,66,9.09,0.14,0.07,0.09,0.21,0.3,1.53,3.07,0.07,520.89,12.11,0.69,0.35,0.46,1.04,1.5,7.6,0.35,16.27,17.21,60.02,48.12,-2.21,60.53,23,15,3,6,50.0,2,4,50.0,1,56,1.79,2,5,40.0
484,Alec Malo,LW,GAT,17.63,61,7,1,5,8,13,51,6.865,0.06,0.01,0.04,0.065,0.11,0.425,2.37,0.04,333.45,5.555,0.315,0.045,0.225,0.36,0.585,2.295,0.215,8.585,8.475,25.59,25.13,-11.17,21.43,18,24,0,4,0.0,3,7,21.43,4,40,5.0,13,34,19.12
485,Samuel Hatto,RW,GAT,17.898,66,8,1,4,9,13,45,17.78,0.12,0.02,0.06,0.14,0.2,0.68,5.13,0.08,718.44,10.89,0.67,0.08,0.33,0.75,1.09,3.76,0.43,17.49,17.39,47.34,53.47,3.35,52.17,24,22,4,6,66.67,2,8,25.0,2,31,6.45,33,77,42.86
486,Liam Dunda,RW,MON,20.0,33,4,5,4,9,13,56,7.14,0.12,0.15,0.12,0.27,0.39,1.7,5.32,0.16,489.32,14.83,0.49,0.61,0.49,1.1,1.59,6.87,0.65,17.48,18.04,41.93,51.87,-16.04,33.96,18,35,1,8,12.5,0,5,0.0,3,43,6.98,21,57,36.84
487,Daniil Berestnev,C,VDO,17.131,56,3,8,2,11,13,92,3.26,0.05,0.14,0.04,0.2,0.23,1.64,6.87,0.12,724.4,12.94,0.25,0.66,0.17,0.91,1.08,7.62,0.57,17.52,17.16,36.17,54.0,4.73,42.19,27,37,0,8,0.0,3,12,25.0,0,72,0.0,55,173,31.79
488,Christopher Inniss,D,RIM,17.146,94,2,4,7,6,13,57,3.54,0.02,0.045,0.08,0.07,0.145,0.62,0.68,0.015,741.345,15.905,0.08,0.165,0.285,0.245,0.53,2.315,0.055,17.205,17.405,60.015,51.365,-11.935,49.265,59,60,0,1,0.0,0,1,0.0,2,55,3.7,2,3,33.335
489,Luke Wilson,C,SNB,17.042,80,6,3,4,9,13,79,6.95,0.075,0.035,0.05,0.115,0.165,1.0,3.35,0.085,499.41,12.5,0.37,0.185,0.235,0.545,0.79,4.765,0.405,16.45,17.27,34.6,54.075,-3.19,29.565,29,71,1,9,12.5,1,16,5.0,4,54,6.965,285,606,48.105
