,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
108,Eric Henderson,LW,OSH,37.797,131,29,34,11,63,74,266,20.5,0.45,0.52,0.16999999999999998,0.96,1.1300000000000001,4.06,34.45,0.52,13,57,45.3,4,46,12.12,12,163,14.59,53,119,89.89
109,Givani Smith,RW,GUE/GUE/KIT,38.098,110,43,21,10,64,74,347,24.85,0.78,0.37,0.19,1.15,1.3399999999999999,6.24,46.37,0.8300000000000001,12,53,44.239999999999995,10,51,38.82,21,243,17.73,29,73,78.89
110,James McEwan,C,GUE,40.009,122,32,20,22,52,74,417,15.55,0.53,0.32999999999999996,0.36,0.8600000000000001,1.2200000000000002,6.84,32.56,0.53,6,35,34.54,6,48,25.0,20,334,12.42,581,1107,107.03999999999999
111,Alan Lyszczarczyk,C,SBY/OS,38.153000000000006,120,31,22,20,53,73,305,19.759999999999998,0.52,0.36,0.33999999999999997,0.89,1.21,5.09,34.260000000000005,0.5700000000000001,11,44,52.56,6,46,26.09,14,215,12.02,38,98,82.32
112,Santino Centorame,D,OS,20.384,68,7,29,37,36,73,162,4.32,0.1,0.43,0.54,0.53,1.07,2.38,11.95,0.18,1,6,16.67,0,7,0.0,6,149,4.03,1,4,25.0
113,Noel Hoefenmayer,D,OTT,36.384,127,21,30,22,51,73,223,19.99,0.34,0.47,0.35,0.81,1.1600000000000001,3.5,15.969999999999999,0.25,4,9,100.0,1,11,14.29,16,203,17.24,0,0,0.0
114,Ted Nichol,C,KGN,40.393,136,25,30,17,55,72,271,18.81,0.36,0.44000000000000006,0.25,0.81,1.06,3.9799999999999995,29.64,0.43,10,43,44.96,3,42,14.59,12,186,14.44,705,1361,103.36
115,Andrei Svechnikov,RW,BAR,17.473,44,40,24,8,64,72,174,22.99,0.91,0.55,0.18,1.45,1.64,3.95,21.45,0.49,7,22,31.82,9,33,27.27,24,119,20.17,15,36,41.67
116,Franco Sproviero,C,SAR,37.227000000000004,132,24,33,15,57,72,201,25.61,0.37,0.51,0.22,0.86,1.0899999999999999,3.07,26.490000000000002,0.41000000000000003,5,30,40.0,11,54,45.629999999999995,8,117,14.28,588,1186,99.30000000000001
117,Brady Gilmour,C,SAG,35.825,106,35,21,16,56,72,219,30.31,0.62,0.4,0.31000000000000005,1.02,1.33,4.21,28.35,0.55,5,27,37.65,10,47,35.28,20,145,26.91,624,1370,90.99000000000001
118,Eemeli Rasanen,D,KGN,36.061,127,11,23,38,34,72,190,11.67,0.16999999999999998,0.36,0.6,0.53,1.13,3.0,10.0,0.16,0,3,0.0,2,6,75.0,9,181,10.01,0,0,0.0
119,Greg Meireles,RW,KIT,36.411,121,30,19,23,49,72,218,27.69,0.5,0.31,0.38,0.8,1.19,3.6399999999999997,30.169999999999998,0.51,10,44,45.14,7,56,30.56,13,118,21.759999999999998,733,1576,93.24000000000001
120,JJ Piccinich,RW,LDN,20.261,66,26,31,14,57,71,169,15.38,0.39,0.47,0.21,0.86,1.08,2.56,26.08,0.4,8,34,23.53,6,35,17.14,12,100,12.0,41,78,52.56
121,Michael Pezzetta,C,SBY/SAR/SBY,38.021,116,33,22,16,55,71,304,20.83,0.56,0.37,0.27,0.9299999999999999,1.19,5.18,36.58,0.62,13,67,35.81,12,56,40.73,8,181,9.040000000000001,946,1696,112.47
122,Liam Hawel,C,GUE/SSM/GUE,35.825,128,23,27,19,50,69,201,22.61,0.37,0.42,0.3,0.79,1.08,3.1500000000000004,22.189999999999998,0.35,9,25,66.67,6,33,36.76,8,143,11.02,743,1495,96.46000000000001
123,Luke Boka,RW,WSR,35.525,132,28,19,21,47,68,228,24.81,0.42000000000000004,0.29000000000000004,0.32,0.71,1.03,3.4699999999999998,28.87,0.44000000000000006,11,61,33.879999999999995,4,40,19.43,13,127,19.17,106,300,68.66
124,Brett Neumann,C,ER/KGN/KGN,36.165,136,31,21,16,52,68,400,15.399999999999999,0.45,0.31,0.23,0.77,1.0,5.890000000000001,41.25,0.6100000000000001,8,49,32.99,11,72,29.97,12,279,8.55,799,1470,108.13
125,Damien Giroux,C,SAG,34.07299999999999,121,27,19,22,46,68,201,26.049999999999997,0.43000000000000005,0.3,0.37,0.73,1.1,3.24,25.78,0.42000000000000004,8,42,33.88,6,34,32.14,13,125,24.169999999999998,591,1235,94.05
126,Riley Stillman,D,OSH/HAM/OSH,38.043000000000006,124,16,30,21,46,67,243,13.07,0.26,0.48,0.33999999999999997,0.74,1.08,3.92,15.8,0.25,0,7,0.0,1,11,14.29,15,225,13.309999999999999,2,3,66.67
127,Oliver Castleman,LW,NIAG,35.004,130,30,24,13,54,67,222,26.759999999999998,0.46,0.36,0.2,0.8300000000000001,1.03,3.41,24.66,0.38,4,29,22.22,9,36,50.0,17,157,21.82,41,115,71.56
128,Hayden Hodgson,RW,SAG,20.54,67,38,18,11,56,67,237,16.03,0.57,0.27,0.16,0.84,1.0,3.54,29.04,0.43,7,39,17.95,13,42,30.95,18,156,11.54,49,93,52.69
129,Cole Purboo,RW,WSR,35.491,136,32,23,11,55,66,230,31.18,0.47,0.32999999999999996,0.16,0.8099999999999999,0.97,3.38,30.590000000000003,0.44999999999999996,11,47,62.86,10,42,58.75,11,141,15.530000000000001,3,15,39.29
130,Brady Hinz,RW,SAR/SAR/PBO,33.739000000000004,129,23,30,13,53,66,162,26.12,0.34,0.47,0.2,0.81,1.01,2.49,19.67,0.3,9,26,83.46000000000001,7,32,38.89,7,104,12.059999999999999,281,632,89.44999999999999
131,Steve Harland,RW,NB,20.351,68,27,28,10,55,65,163,16.56,0.4,0.41,0.15,0.81,0.96,2.4,21.84,0.32,11,26,42.31,6,28,21.43,10,109,9.17,3,14,21.43
132,Zachary Senyshyn,RW,SSM,19.464000000000002,59,42,16,7,58,65,261,16.09,0.71,0.27,0.12,0.98,1.1,4.42,40.74,0.69,17,67,25.37,11,38,28.95,14,156,8.97,3,12,25.0
133,Anthony Cirelli,C,ER/OSH,19.171,51,25,21,18,46,64,160,15.62,0.49,0.41,0.35,0.9,1.25,3.14,22.02,0.43,8,40,20.0,6,24,25.0,11,96,11.46,579,1010,57.33
134,Matthew Struthers,C,OS/OS/NB,34.445,128,33,17,14,50,64,271,23.369999999999997,0.52,0.27,0.22999999999999998,0.79,1.02,4.2700000000000005,33.47,0.53,7,54,24.67,9,45,36.87,17,172,19.34,697,1479,95.2
135,Jacob Cascagnette,C,KIT/MISS/MISS/OTT,39.971000000000004,127,36,19,9,55,64,225,32.03,0.5700000000000001,0.3,0.14,0.86,1.01,3.54,25.95,0.41000000000000003,8,24,68.75,8,35,45.43,20,166,23.869999999999997,538,1072,100.67
136,Warren Foegele,C,ER/KGN,20.458,61,27,22,14,49,63,228,11.84,0.44,0.36,0.23,0.8,1.03,3.74,29.42,0.48,10,52,19.23,3,27,11.11,14,149,9.4,529,880,60.11
137,Joey Keane,D,BAR,35.415,129,13,24,26,37,63,251,8.82,0.2,0.37,0.4,0.59,0.99,3.9299999999999997,13.850000000000001,0.22,0,3,0.0,0,8,0.0,13,240,9.24,1,2,50.0
138,Justin Lemcke,D,HAM,40.173,125,18,17,28,35,63,246,14.879999999999999,0.29000000000000004,0.27,0.45,0.55,1.0,3.92,12.65,0.2,4,11,70.0,1,5,25.0,13,230,11.69,0,0,0.0
139,MacKenzie Entwistle,RW,HAM,35.349000000000004,103,25,25,13,50,63,235,21.35,0.49,0.5,0.26,0.98,1.24,4.59,29.54,0.5800000000000001,13,44,58.32,5,45,25.919999999999998,7,146,9.56,325,732,88.65
140,Janne Kuokkanen,C,LDN,18.311,60,26,17,19,43,62,158,16.46,0.43,0.28,0.32,0.72,1.03,2.63,20.47,0.34,10,31,32.26,4,21,19.05,12,106,11.32,30,62,48.39
141,Steven Lorentz,C,PBO,20.425,66,30,18,14,48,62,251,11.95,0.45,0.27,0.21,0.73,0.94,3.8,34.71,0.53,6,33,18.18,6,46,13.04,18,172,10.47,544,991,54.89
142,Renars Krastenbergs,LW,OSH,36.472,124,30,14,18,44,62,279,20.630000000000003,0.48000000000000004,0.22999999999999998,0.29000000000000004,0.71,1.0,4.52,30.68,0.49,10,39,46.3,7,47,25.88,13,193,13.52,21,54,78.34
143,Noah Carroll,D,GUE/SSM/SSM,38.575,127,12,21,29,33,62,206,11.84,0.19,0.33,0.44999999999999996,0.52,0.97,3.25,14.55,0.23,1,10,20.0,1,10,14.29,10,186,10.9,1,3,100.0
