,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Vitalii Abramov,RW,GAT/GAT/VIC,37.715,122,91,89,28,180,208,460,39.71,1.5,1.48,0.44999999999999996,2.9699999999999998,3.4400000000000004,7.55,83.17,1.3599999999999999,2687.11,44.07,4.09,4.02,1.24,8.11,9.35,20.560000000000002,3.71,38.36,36.34,114.0,100.52,52.230000000000004,138.3,255,117,25,84,62.6,21,91,47.78,45,285,31.549999999999997,594,1030,117.25
1,Alex Barre-Boulet,C,BLB/DRU/BLB,39.641999999999996,130,82,68,47,150,197,533,30.15,1.27,1.0499999999999998,0.72,2.3,3.0300000000000002,8.2,73.4,1.12,2794.42,43.0,3.46,2.92,2.02,6.38,8.4,22.82,3.17,38.54,36.65,116.82,100.02000000000001,38.52,134.94,233,111,15,68,45.54,17,84,40.480000000000004,50,381,24.799999999999997,1150,2198,104.9
2,Maxime Fortier,RW,HAL,38.503,129,64,65,33,129,162,515,24.880000000000003,0.99,1.01,0.5,2.01,2.51,8.02,72.3,1.13,2754.26,42.620000000000005,2.81,2.8600000000000003,1.4,5.66,7.07,22.67,3.1900000000000004,37.129999999999995,36.209999999999994,106.91,100.88,23.39,115.82,216,159,24,87,56.05,15,77,40.47,25,351,14.290000000000001,95,253,73.78
3,Antoine Morand,C,BAT,36.149,133,54,61,35,115,150,363,29.83,0.81,0.9099999999999999,0.52,1.73,2.25,5.46,54.93,0.8300000000000001,2482.8199999999997,37.34,2.6100000000000003,2.94,1.69,5.56,7.25,17.54,2.65,37.95,35.39,121.14,96.95,26.340000000000003,130.13,223,120,17,74,45.94,17,67,50.71,20,222,18.13,1123,2103,107.1
4,Ivan Kosorenkov,RW,VIC,38.295,131,70,40,35,110,145,325,43.18,1.0699999999999998,0.62,0.54,1.69,2.23,4.99,51.61,0.79,2319.14,35.45,3.63,2.0700000000000003,1.81,5.7,7.5200000000000005,16.83,2.67,38.58,36.120000000000005,115.41,98.63,57.0,147.86,207,73,15,46,64.57,14,58,44.2,41,221,36.15,3,13,45.24
5,Alexandre Alain,C,BLB,40.075,119,73,38,28,111,139,460,31.410000000000004,1.2200000000000002,0.63,0.45999999999999996,1.84,2.3,7.73,59.38,0.99,2503.08,41.94,3.46,1.7999999999999998,1.29,5.26,6.550000000000001,22.15,2.84,38.34,36.82,121.38,101.36,30.38,132.28,198,99,12,56,44.92,22,84,51.28,39,320,24.18,777,1283,121.12
6,Maxime Comtois,LW,VIC,36.373000000000005,118,66,35,35,101,136,353,36.88,1.1500000000000001,0.61,0.6,1.77,2.37,6.050000000000001,52.849999999999994,0.91,2369.0299999999997,40.33,3.38,1.79,1.77,5.18,6.95,17.93,2.69,38.06,36.56,115.92,102.24000000000001,31.630000000000003,126.25,202,118,22,62,67.93,14,59,48.13,30,232,25.78,420,831,98.59
7,Drake Batherson,C,CAP/CAP/BLB,37.775,112,51,53,31,104,135,264,39.92,0.9299999999999999,0.97,0.5599999999999999,1.9,2.46,4.86,37.36,0.69,2076.57,37.54,2.9400000000000004,3.05,1.78,5.98,7.77,15.100000000000001,2.13,37.5,35.93,110.9,100.78999999999999,36.2,134.17000000000002,190,94,10,37,54.66,11,43,56.400000000000006,30,184,33.480000000000004,385,759,99.85
8,Thomas Gregoire,D,SHE,37.342,133,22,72,39,94,133,419,10.69,0.32999999999999996,1.08,0.59,1.4100000000000001,2.0,6.29,21.9,0.32999999999999996,3317.02,49.87,0.79,2.5999999999999996,1.42,3.39,4.8100000000000005,15.09,0.78,34.769999999999996,36.2,101.64,104.52000000000001,23.310000000000002,107.27,215,186,2,7,116.67,1,17,11.11,19,395,9.85,0,0,0.0
9,James Phelan,C,VIC/VIC/MON,40.146,132,59,43,31,102,133,334,35.53,0.9,0.66,0.48,1.55,2.03,5.0600000000000005,55.43,0.84,2468.33,37.41,2.87,2.1,1.51,4.97,6.47,16.23,2.7,37.67,36.269999999999996,108.65,102.61,25.869999999999997,115.49,188,138,14,63,43.55,15,67,44.739999999999995,30,204,29.3,1636,2703,121.1
