,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Sault Ste. Marie Greyhounds,191,134,59.21,841,576,265,53.547,6581,5690,891,12.183,0.901,102.323,56.633,237.87,180.187,57.683,10.84,0.905,101.33,27.466,0.403,-5.815,-0.105,206,136,70,59.567,844,705,139,54.443,23.25,0.81,159,122,37,56.67,835,659,176,55.73,18.717,0.818,476,318,158,59.86,4902,4326,576,53.043,9.217,0.929
1,London Knights,192,117,57.427,770,570,200,50.657,6267,6126,141,11.713,0.91,102.687,53.427,222.73,194.04,28.69,10.7,0.905,101.17,20.937,0.304,10.708,0.152,197,142,55,57.963,844,648,196,56.693,22.393,0.791,171,134,37,56.757,871,807,64,51.893,19.177,0.837,402,294,108,57.997,4552,4671,-119,49.54,8.317,0.94
2,Owen Sound Attack,193,108,54.473,766,630,136,56.847,7217,5437,1780,10.08,0.887,98.813,57.41,239.607,174.147,65.46,9.897,0.904,100.263,4.729,0.055,-29.522,-0.491,152,143,9,50.977,712,628,84,52.14,20.827,0.775,180,137,43,55.817,925,717,208,56.223,18.947,0.81,434,350,84,55.363,5580,4092,1488,57.563,7.313,0.918
3,Oshawa Generals,194,103,52.607,713,645,68,49.687,6267,6370,-103,10.917,0.902,101.113,52.047,208.71,194.913,13.797,10.057,0.908,100.91,16.957,0.258,-12.42,-0.197,198,163,35,54.887,781,620,161,55.92,24.357,0.745,162,135,27,54.453,858,781,77,52.577,18.203,0.83,353,347,6,50.46,4628,4969,-341,48.237,7.227,0.933
4,Kitchener Rangers,192,102,49.99,680,678,2,48.747,5920,6226,-306,11.263,0.895,100.75,49.767,207.21,207.51,-0.3,10.437,0.9,100.437,14.454,0.248,-8.49,-0.153,164,177,-13,47.89,760,776,-16,49.393,21.307,0.775,165,150,15,52.383,909,763,146,54.167,18.443,0.806,351,351,0,49.847,4251,4687,-436,47.603,7.933,0.929
5,Ottawa 67's,192,95,51.093,695,682,13,50.113,5960,5997,-37,11.367,0.891,100.423,50.167,205.517,209.62,-4.103,10.35,0.897,100.0,17.482,0.305,-10.71,-0.177,158,151,7,52.503,743,681,62,53.373,20.873,0.787,157,144,13,53.673,910,997,-87,47.793,17.197,0.858,380,387,-7,49.627,4307,4319,-12,50.14,8.507,0.913
6,Windsor Spitfires,194,94,50.83,632,611,21,49.193,5776,5963,-187,10.72,0.903,101.013,48.813,195.81,205.43,-9.62,10.15,0.896,99.797,10.188,0.171,13.765,0.194,159,148,11,51.903,753,796,-43,48.933,20.723,0.824,137,142,-5,49.597,809,898,-89,47.83,16.843,0.845,336,321,15,51.083,4214,4269,-55,49.66,7.77,0.93
7,Hamilton Bulldogs,194,94,51.2,695,662,33,52.937,6501,5758,743,10.45,0.887,99.18,54.643,228.54,188.037,40.503,10.52,0.902,100.71,-3.205,-0.022,-26.965,-0.435,205,175,30,53.813,906,679,227,56.883,22.18,0.747,153,140,13,52.043,930,740,190,55.293,16.537,0.813,337,347,-10,49.317,4665,4339,326,51.773,6.987,0.923
8,Sarnia Sting,194,90,51.34,778,737,41,48.533,6292,6704,-412,12.183,0.892,101.327,50.17,226.757,223.637,3.117,10.747,0.899,100.723,28.911,0.432,-14.363,-0.251,206,180,26,52.323,820,772,48,51.13,24.54,0.771,160,165,-5,48.883,942,915,27,50.54,16.927,0.82,412,392,20,51.457,4530,5017,-487,47.773,8.917,0.924
9,Mississauga Steelheads,193,89,51.08,690,661,29,52.733,6721,6035,686,9.94,0.894,99.31,52.2,224.96,205.85,19.11,10.04,0.897,99.797,-2.627,-0.031,-6.815,-0.115,181,175,6,51.45,789,805,-16,49.603,22.56,0.79,137,151,-14,46.887,896,860,36,50.827,14.96,0.827,372,335,37,52.8,5036,4370,666,53.587,7.083,0.926
10,Niagara IceDogs,192,86,50.893,695,678,17,48.8,6487,6897,-410,10.36,0.905,100.827,47.583,204.057,230.133,-26.073,9.48,0.9,99.52,18.276,0.263,11.798,0.129,175,186,-11,48.837,724,855,-131,45.853,23.347,0.789,152,155,-3,51.027,803,915,-112,47.063,18.727,0.838,368,337,31,52.143,4960,5127,-167,49.56,7.153,0.935
11,Saginaw Spirit,192,86,48.733,631,667,-36,50.8,6271,6097,174,9.71,0.894,99.083,49.073,201.16,211.537,-10.37,9.66,0.896,99.293,-0.16,0.016,-4.467,-0.078,136,167,-31,45.983,735,748,-13,49.803,17.973,0.78,153,155,-2,49.587,883,827,56,51.787,16.993,0.817,342,345,-3,49.75,4653,4522,131,50.79,6.993,0.926
12,Erie Otters,192,84,50.673,720,690,30,52.22,6142,5583,559,11.35,0.879,99.29,52.823,217.3,190.17,27.13,10.507,0.898,100.3,17.033,0.254,-34.497,-0.556,171,163,8,51.16,784,648,136,54.683,21.623,0.754,155,162,-7,49.153,892,912,-20,49.767,17.197,0.824,394,365,29,51.06,4466,4023,443,52.31,8.35,0.912
13,Peterborough Petes,192,82,47.443,645,717,-72,47.143,6090,6840,-750,10.253,0.898,100.05,44.623,190.69,235.033,-44.34,9.337,0.897,99.037,16.643,0.274,4.366,0.029,139,196,-57,41.253,611,907,-296,39.89,21.95,0.79,126,173,-47,42.803,758,985,-227,43.59,16.807,0.83,380,348,32,52.187,4721,4948,-227,48.923,7.717,0.931
