,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
389,Philip Alftberg,RD,FGO/TC,19.655,56,5,5,13,10,23,94,5.32,0.09,0.09,0.23,0.18,0.41,1.68
390,Mike Hardman,RW,DM,18.61,56,10,6,7,16,23,76,13.16,0.18,0.11,0.12,0.29,0.41,1.36
391,Matt Hudie,C,DM/CR,20.575,51,10,5,8,15,23,97,10.31,0.2,0.1,0.16,0.29,0.45,1.9
392,Collin Rutherford,C,DM,18.714,54,11,4,8,15,23,104,10.58,0.2,0.07,0.15,0.28,0.43,1.93
393,Ryan Sullivan,F,SF,18.525,43,8,6,9,14,23,66,12.12,0.19,0.14,0.21,0.33,0.53,1.53
394,Alec Mahalak,RD,YNG,18.004,58,5,7,11,12,23,62,8.06,0.09,0.12,0.19,0.21,0.4,1.07
395,Dylan Jackson,RW,DBQ,17.024,44,9,8,6,17,23,69,13.04,0.2,0.18,0.14,0.39,0.52,1.57
396,Cole Krygier,LD/D,LIN,16.864,95,6,10,7,16,23,109,7.385,0.065,0.095,0.065,0.165,0.225,1.07
397,Erik Urbank,RW,CHI/DM,18.47,54,11,8,4,19,23,90,12.22,0.2,0.15,0.07,0.35,0.43,1.67
398,K'Andre Miller,LD,USA,17.152,56,4,15,4,19,23,95,4.165,0.09,0.31,0.07,0.4,0.47,1.78
399,Wyatt Schingoethe,F,WAT,16.118,45,7,10,5,17,22,89,7.87,0.16,0.22,0.11,0.38,0.49,1.98
400,Jared Kucharek,LD,MAD/OMA,19.316,45,5,6,11,11,22,89,5.62,0.11,0.13,0.24,0.24,0.49,1.98
401,Marshall Warren,LD,USA,16.906,49,6,9,7,15,22,103,5.105,0.11,0.17,0.125,0.275,0.4,2.055
402,Brady Smith,RD,BLM/CIL/SC,17.082,120,7,7,8,14,22,99,7.7,0.057,0.053,0.07,0.11,0.18,0.813
403,Mike Gillespie,C,LIN,20.397,42,8,9,5,17,22,86,9.3,0.19,0.21,0.12,0.4,0.52,2.05
404,Koby Bender,LW,MUS,19.171,55,6,12,4,18,22,81,7.41,0.11,0.22,0.07,0.33,0.4,1.47
405,Evan Dougherty,F,FGO/FGO/WAT,17.916,100,14,7,1,21,22,101,10.82,0.13,0.065,0.01,0.2,0.21,0.98
406,Bradley Marek,F,BLM/CIL/CIL,16.838,77,14,6,2,20,22,93,10.02,0.13,0.057,0.017,0.19,0.203,0.847
