"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO","xGF%","xGF","xGA","xGD","xSh%","xSv%","xPDO","GFAX","GFAX/30","GSAX","GSAX/30","HD GF","HD GA","HD GD","HD GF%","HD SF","HD SA","HD SD","HD SF%","HD Sh%","HD Sv%","MD GF","MD GA","MD GD","MD GF%","MD SF","MD SA","MD SD","MD SF%","MD Sh%","MD Sv%","LD GF","LD GA","LD GD","LD GF%","LD SF","LD SA","LD SD","LD SF%","LD Sh%","LD Sv%"
"","Ottawa 67's","56","42","61.92","252","155","97","53.78","1830","1573","257","13.3","0.903","103.56","54.84","168.78","139.0","29.78","9.27","0.912","100.43","73.22","1.207","-13.998","-0.267","52","31","21","62.65","208","146","62","58.76","23.9","0.793","45","27","18","62.5","241","258","-17","48.3","18.33","0.895","155","97","58","61.51","1381","1169","212","54.16","10.84","0.918"
"","London Knights","56","35","59.62","251","170","81","53.19","2003","1763","240","11.92","0.907","102.63","53.75","193.99","166.92","27.07","9.75","0.905","100.25","43.011","0.649","3.923","0.067","78","52","26","60.0","274","237","37","53.62","26.59","0.791","58","46","12","55.77","300","259","41","53.67","18.24","0.822","115","72","43","61.5","1429","1267","162","53.0","7.85","0.946"
"","Niagara IceDogs","56","32","58.88","252","176","76","52.74","2069","1854","215","11.71","0.906","102.27","54.27","196.33","165.41","30.92","9.54","0.911","100.61","44.672","0.651","-9.592","-0.155","64","48","16","57.14","263","251","12","51.17","23.75","0.812","53","31","22","63.1","272","240","32","53.12","19.19","0.871","135","97","38","58.19","1534","1363","171","52.95","8.32","0.929"
"","Sault Ste. Marie Greyhounds","55","36","56.54","242","186","56","52.13","1863","1711","152","12.14","0.895","101.69","53.91","181.78","155.41","26.37","9.85","0.909","100.73","42.222","0.687","-22.595","-0.398","49","51","-2","49.0","258","233","25","52.55","18.36","0.784","45","37","8","54.88","227","199","28","53.29","19.11","0.818","148","98","50","60.16","1378","1279","99","51.86","9.82","0.928"
"","Saginaw Spirit","56","35","56.32","236","183","53","52.82","1969","1759","210","11.54","0.899","101.44","53.54","187.51","162.73","24.79","9.57","0.907","100.29","38.488","0.589","-14.275","-0.244","49","35","14","58.33","241","212","29","53.2","20.33","0.835","63","39","24","61.76","295","232","63","55.98","21.09","0.839","124","109","15","53.22","1433","1315","118","52.15","8.08","0.92"
"","Oshawa Generals","58","34","56.15","242","189","53","51.53","1939","1824","115","11.98","0.902","102.16","56.54","193.11","148.42","44.69","10.02","0.918","101.83","37.893","0.59","-29.584","-0.49","69","42","27","62.16","271","167","104","61.87","24.91","0.758","58","38","20","60.42","285","208","77","57.81","19.79","0.825","115","109","6","51.34","1383","1449","-66","48.83","7.85","0.929"
"","Guelph Storm","56","30","55.32","239","193","46","51.36","1922","1820","102","12.16","0.894","101.56","55.21","197.05","159.89","37.16","10.28","0.912","101.5","35.946","0.563","-33.11","-0.546","56","41","15","57.73","308","231","77","57.14","17.11","0.823","60","33","27","64.52","275","230","45","54.46","21.53","0.857","123","119","4","50.83","1339","1359","-20","49.63","9.12","0.912"
"","Sudbury Wolves","56","32","54.28","203","171","32","50.62","1802","1758","44","11.07","0.906","101.7","50.65","156.39","152.36","4.03","8.7","0.913","100.0","42.61","0.711","-11.638","-0.199","46","43","3","51.69","206","184","22","52.82","21.95","0.779","53","39","14","57.61","264","219","45","54.66","19.47","0.822","104","89","15","53.89","1332","1355","-23","49.57","7.74","0.937"
"","Mississauga Steelheads","57","26","50.25","203","201","2","53.69","2072","1787","285","9.45","0.892","98.6","52.05","188.57","173.71","14.86","9.14","0.902","99.37","6.43","0.093","-19.29","-0.325","59","41","18","59.0","281","229","52","55.1","20.71","0.828","32","49","-17","39.51","245","270","-25","47.57","13.06","0.822","112","111","1","50.22","1546","1288","258","54.55","6.82","0.917"
"","Barrie Colts","56","23","49.18","181","187","-6","47.05","1700","1913","-213","10.49","0.906","101.09","47.42","155.81","172.76","-16.95","9.18","0.909","100.11","22.191","0.392","-6.237","-0.098","50","44","6","53.19","217","227","-10","48.87","23.04","0.81","36","38","-2","48.65","211","222","-11","48.73","17.06","0.829","95","105","-10","47.5","1272","1464","-192","46.49","7.25","0.933"
