"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Daniel Carr","LW","CHI","26.873","45","27","17","17","44","61","135","20.0","0.6","0.38","0.38","0.98","1.36","3.0"
"","Jeremy Bracco","RW","TOR","21.498","52","15","28","10","43","53","92","16.3","0.29","0.54","0.19","0.83","1.02","1.77"
"","Peter Holland","C","HFD","27.669","52","20","23","6","43","49","154","12.99","0.38","0.44","0.12","0.83","0.94","2.96"
"","Chris Terry","LW","GR","29.441","48","24","17","7","41","48","148","16.22","0.5","0.35","0.15","0.85","1.0","3.08"
"","Sam Carrick","C","SD","26.612","44","25","15","5","40","45","122","20.49","0.57","0.34","0.11","0.91","1.02","2.77"
"","Chris Mueller","C","TOR","32.529","47","24","15","12","39","51","114","21.05","0.51","0.32","0.26","0.83","1.09","2.43"
"","Andrew Agozzino","LW","COL","27.699","48","22","17","11","39","50","147","14.97","0.46","0.35","0.23","0.81","1.04","3.06"
"","Reid Boucher","LW","UTI","25.019","42","24","15","10","39","49","178","13.48","0.57","0.36","0.24","0.93","1.17","4.24"
"","Greg Carey","LW","LV","28.447","52","23","16","10","39","49","137","16.79","0.44","0.31","0.19","0.75","0.94","2.63"
"","Mike Sgarbossa","C","HER","26.142","52","23","16","5","39","44","120","19.17","0.44","0.31","0.1","0.75","0.85","2.31"
"","Cory Conacher","RW","SYR","28.753","46","17","21","11","38","49","123","13.82","0.37","0.46","0.24","0.83","1.07","2.67"
"","Andrew Poturalski","C","CHA","24.669","55","18","19","12","37","49","128","14.06","0.33","0.35","0.22","0.67","0.89","2.33"
"","Drake Batherson","RW","BEL","20.386","41","18","19","12","37","49","96","18.75","0.44","0.46","0.29","0.9","1.2","2.34"
"","Brooks Macek","RW","CHI","26.336","51","20","16","12","36","48","87","22.99","0.39","0.31","0.24","0.71","0.94","1.71"
"","Alan Quine","C","STK","25.553","35","17","19","8","36","44","81","20.99","0.49","0.54","0.23","1.03","1.26","2.31"
"","Alex Barre-Boulet","C","SYR","21.32","50","22","14","7","36","43","156","14.1","0.44","0.28","0.14","0.72","0.86","3.12"
"","Riley Barber","RW","HER","24.603","46","21","14","9","35","44","168","12.5","0.46","0.3","0.2","0.76","0.96","3.65"
"","Troy Terry","RW","SD","21.013","41","16","19","6","35","41","92","17.39","0.39","0.46","0.15","0.85","1.0","2.24"
"","Joel L'Esperance","C","TEX","23.078","49","27","7","9","34","43","136","19.85","0.55","0.14","0.18","0.69","0.88","2.78"
"","Brandon Pirri","C","CHI","27.434","29","18","16","8","34","42","115","15.65","0.62","0.55","0.28","1.17","1.45","3.97"
"","Tanner Kero","C","UTI","26.144","52","20","14","8","34","42","101","19.8","0.38","0.27","0.15","0.65","0.81","1.94"
"","C.J. Smith","LW","ROC","23.79","41","17","17","6","34","40","127","13.39","0.41","0.41","0.15","0.83","0.98","3.1"
"","Carter Verhaeghe","C","SYR","23.089","50","23","10","22","33","55","133","17.29","0.46","0.2","0.44","0.66","1.1","2.66"
"","Matt Moulson","LW","ONT","34.873","46","22","11","9","33","42","96","22.92","0.48","0.24","0.2","0.72","0.91","2.09"
"","Matt Puempel","RW","GR","25.64","48","18","15","7","33","40","175","10.29","0.38","0.31","0.15","0.69","0.83","3.65"
"","Cooper Marody","C","BAK","21.736","39","12","21","7","33","40","90","13.33","0.31","0.54","0.18","0.85","1.03","2.31"
"","Joe Gambardella","LW","BAK","24.775","40","23","10","5","33","38","75","30.67","0.57","0.25","0.12","0.82","0.95","1.88"
"","Aleksi Saarela","C","CHA","21.687","52","17","16","3","33","36","140","12.14","0.33","0.31","0.06","0.63","0.69","2.69"
"","Victor Olofsson","RW","ROC","23.163","49","20","12","12","32","44","135","14.81","0.41","0.24","0.24","0.65","0.9","2.76"
"","Zack MacEwen","RW","UTI","22.188","49","17","15","9","32","41","116","14.66","0.35","0.31","0.18","0.65","0.84","2.37"
"","Trevor Moore","LW","TOR","23.461","43","21","11","5","32","37","119","17.65","0.49","0.26","0.12","0.74","0.86","2.77"
"","Tyler Benson","LW","BAK","20.504","49","8","23","13","31","44","130","6.15","0.16","0.47","0.27","0.63","0.9","2.65"
"","Paul Thompson","RW","SPR","29.791","54","22","9","7","31","38","145","15.17","0.41","0.17","0.13","0.57","0.7","2.69"
"","Logan Shaw","C","MB/SD","25.944","46","23","8","7","31","38","113","20.35","0.5","0.17","0.15","0.67","0.83","2.46"
"","Josh Currie","C","BAK","25.879","49","24","7","5","31","36","128","18.75","0.49","0.14","0.1","0.63","0.73","2.61"
"","Tyler Graovac","C","STK","25.386","47","17","13","10","30","40","83","20.48","0.36","0.28","0.21","0.64","0.85","1.77"
"","Seth Griffith","RW","MB","25.695","45","8","22","9","30","39","76","10.53","0.18","0.49","0.2","0.67","0.87","1.69"
