"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Adam Brooks","C","REG","20.362","66","43","63","24","106","130","0.65","0.95","0.36","1.61","1.97"
"","Sam Steel","C","REG","18.615","66","50","46","35","96","131","0.76","0.7","0.53","1.45","1.98"
"","Tyler Wong","RW","LET","20.548","69","51","31","26","82","108","0.74","0.45","0.38","1.19","1.57"
"","Matthew Phillips","C","VIC","18.445","70","50","31","10","81","91","0.71","0.44","0.14","1.16","1.3"
"","Tyler Steenbergen","C","SC","18.689","72","51","29","10","80","90","0.71","0.4","0.14","1.11","1.25"
"","Chad Butcher","RW","MH","20.641","68","27","49","26","76","102","0.4","0.72","0.38","1.12","1.5"
"","Jayden Halbgewachs","C","MJ","19.486","71","50","26","25","76","101","0.7","0.37","0.35","1.07","1.42"
"","Kailer Yamamoto","RW","SPO","17.963","65","42","34","23","76","99","0.65","0.52","0.35","1.17","1.52"
"","Morgan Geekie","C","TC","18.158","72","35","36","20","71","91","0.49","0.5","0.28","0.99","1.26"
"","Mason Shaw","C","MH","17.868","71","27","43","23","70","93","0.38","0.61","0.32","0.99","1.31"
"","Cody Glass","C","POR","17.46","69","32","36","27","68","95","0.46","0.52","0.39","0.99","1.38"
"","Aleksi Heponiemi","C","SC","17.684","72","28","38","20","66","86","0.39","0.53","0.28","0.92","1.19"
"","Connor Hobbs","D","REG","19.697","67","31","35","19","66","85","0.46","0.52","0.28","0.99","1.27"
"","Dawson Leedahl","LW","REG","20.493","71","35","30","24","65","89","0.49","0.42","0.34","0.92","1.25"
"","Giorgio Estephan","C","LET","19.614","68","35","28","26","63","89","0.51","0.41","0.38","0.93","1.31"
"","Skyler McKenzie","LW","POR","18.653","72","42","21","21","63","84","0.58","0.29","0.29","0.88","1.17"
"","Ryan Gropp","LW","SEA","19.998","66","35","28","21","63","84","0.53","0.42","0.32","0.95","1.27"
"","Matteo Gennaro","C","CGY","19.464","69","43","20","17","63","80","0.62","0.29","0.25","0.91","1.16"
"","Zak Zborosky","RW","LET/KTN","19.918","66","41","22","11","63","74","0.62","0.33","0.17","0.95","1.12"
"","Jaret Anderson-Dolan","C","SPO","17.011","72","39","23","13","62","75","0.54","0.32","0.18","0.86","1.04"
"","Reid Duke","C","BDN","20.633","59","37","25","9","62","71","0.63","0.42","0.15","1.05","1.2"
"","Michael Spacek","C","RD","19.436","59","30","31","24","61","85","0.51","0.53","0.41","1.03","1.44"
"","Brett Howden","C","MJ","18.467","58","38","23","20","61","81","0.66","0.4","0.34","1.05","1.4"
"","Rudolfs Balcers","RW","KAM","19.439","66","40","21","16","61","77","0.61","0.32","0.24","0.92","1.17"
"","Jack Walker","LW","VIC","20.129","70","31","30","10","61","71","0.44","0.43","0.14","0.87","1.01"
"","Kole Lind","RW","KEL","17.917","70","30","30","27","60","87","0.43","0.43","0.39","0.86","1.24"
"","Deven Sideroff","RW","KAM","19.423","67","36","24","18","60","78","0.54","0.36","0.27","0.9","1.16"
"","Nikita Popugaev","LW","MJ/PG","17.821","71","29","30","10","59","69","0.41","0.42","0.14","0.83","0.97"
"","Matt Bradley","C","MH","19.647","70","34","24","19","58","77","0.49","0.34","0.27","0.83","1.1"
"","Patrick Bajkov","RW","EVT","18.801","71","29","29","19","58","77","0.41","0.41","0.27","0.82","1.08"
"","Brayden Burke","LW","LET/MJ","19.705","61","19","38","25","57","82","0.31","0.62","0.41","0.93","1.34"
"","Tyler Sandhu","RW","TC","20.69","72","23","34","24","57","81","0.32","0.47","0.33","0.79","1.12"
"","Braylon Shmyr","LW","SAS","19.335","66","35","22","9","57","66","0.53","0.33","0.14","0.86","1.0"
"","Jesse Gabrielle","LW","PG","19.247","61","35","22","7","57","64","0.57","0.36","0.11","0.93","1.05"
"","Lane Bauer","C","KAM/EDM","20.373","71","36","20","15","56","71","0.51","0.28","0.21","0.79","1.0"
