,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Regina Pats,144,91,113.75,597,444,153,111.52,5566,4408,1158,20.560000000000002,1.805,201.07999999999998
1,Moose Jaw Warriors,144,91,114.13,578,431,147,102.91999999999999,4810,4544,266,23.3,1.814,204.67000000000002
2,Everett Silvertips,144,87,117.56,471,330,141,106.47,4824,4234,590,18.93,1.8490000000000002,203.8
3,Kelowna Rockets,144,83,110.56,558,453,105,106.28999999999999,4848,4276,572,22.46,1.793,201.73000000000002
4,Medicine Hat Tigers,144,83,108.98,606,500,106,111.57,5541,4385,1156,21.1,1.7810000000000001,199.13
5,Swift Current Broncos,144,82,108.39,526,444,82,97.4,4553,4796,-243,22.32,1.817,204.07
6,Portland Winterhawks,144,80,108.72,548,462,86,107.48,5472,4717,755,19.1,1.811,200.22
7,Lethbridge Hurricanes,144,73,100.86,520,510,10,97.41,4603,4849,-246,21.8,1.798,201.6
8,Victoria Royals,144,72,104.19,522,480,42,94.7,4443,4944,-501,23.130000000000003,1.8130000000000002,204.39999999999998
9,Tri-City Americans,144,71,101.84,519,500,19,94.46000000000001,4446,4959,-513,22.85,1.804,203.3
10,Seattle Thunderbirds,144,69,103.66,492,460,32,101.74,4593,4451,142,20.78,1.8010000000000002,200.88
11,Kamloops Blazers,144,68,102.8,451,427,24,100.28,4770,4747,23,18.32,1.826,200.97
12,Spokane Chiefs,144,66,100.86,515,505,10,105.75999999999999,4813,4287,526,20.77,1.7690000000000001,197.68
13,Brandon Wheat Kings,144,65,99.13,491,497,-6,92.14,4302,5035,-733,22.16,1.809,203.07
14,Prince George Cougars,144,63,98.27000000000001,464,488,-24,100.19,4722,4706,16,19.27,1.8010000000000002,199.31
15,Saskatoon Blades,144,59,89.4,423,521,-98,96.53999999999999,4344,4650,-306,18.66,1.785,197.15
16,Red Deer Rebels,144,53,93.84,444,501,-57,96.08,4423,4775,-352,19.32,1.798,199.05
17,Vancouver Giants,144,51,85.68,411,547,-136,92.22,4259,4963,-704,18.67,1.784,197.07
18,Prince Albert Raiders,144,49,90.80000000000001,439,527,-88,97.56,4506,4743,-237,19.14,1.786,197.69
19,Calgary Hitmen,144,46,87.72999999999999,433,554,-121,99.09,4409,4493,-84,19.16,1.758,194.95999999999998
20,Edmonton Oil Kings,144,41,78.86,393,604,-211,95.6,4298,4687,-389,18.04,1.7469999999999999,192.79
21,Kootenay ICE,144,39,78.51,390,606,-216,90.64,4178,5074,-896,18.189999999999998,1.767,194.9
