"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Bryan Laureigh","LW","KGN","18.248","13","0","0","1","0","1","12","0.0","0.0","0.0","0.08","0.0","0.08","0.92","0.83","0.06","127.49","9.81","0.0","0.0","0.47","0.0","0.47","5.65","0.39","15.02","14.67","42.17","57.16","-17.78","22.22","2","7","0","1","0.0","0","1","0.0","0","10","0.0","0","1","0.0"
"","William Sirman","LW","OTT","18.867","2","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.09","0.05","26.49","13.24","0.0","0.0","0.0","0.0","0.0","4.53","0.21","13.63","12.91","59.73","46.13","-32.14","25.0","1","3","0","0","0.0","0","0","0.0","0","2","0.0","0","0","0.0"
"","Sam Meisenheimer","RW","MISS","20.679","2","0","0","0","0","0","3","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.23","0.11","19.73","9.86","0.0","0.0","0.0","0.0","0.0","9.12","0.7","13.59","14.89","45.15","64.53","-50.0","0.0","0","2","0","0","0.0","0","1","0.0","0","2","0.0","0","1","0.0"
"","Kyle Potts","C","NB","20.307","5","0","0","0","0","0","9","0.0","0.0","0.0","0.0","0.0","0.0","1.8","0.76","0.15","52.65","10.53","0.0","0.0","0.0","0.0","0.0","10.26","0.86","12.77","13.54","36.29","56.99","-36.67","0.0","0","6","0","2","0.0","0","0","0.0","0","7","0.0","37","66","56.06"
"","Carter Tresoor","C","KIT","17.58","26","0","0","0","0","0","14","0.0","0.0","0.0","0.0","0.0","0.0","0.54","1.23","0.05","228.21","8.78","0.0","0.0","0.0","0.0","0.0","3.68","0.32","14.05","13.41","39.29","49.13","-24.83","20.0","3","12","0","1","0.0","0","1","0.0","0","12","0.0","15","31","48.39"
"","Matt Gordon","C","KIT","17.547","6","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.44","6.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.52","13.42","34.01","37.04","-62.07","0.0","0","1","0","0","0.0","0","0","0.0","0","0","0.0","0","1","0.0"
"","Connor LePage","LW","BAR","16.989","1","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-80.0","0.0","0","0","0","0","0.0","0","0","0.0","0","0","0.0","0","1","0.0"
"","Kyle Heitzner","C","MISS","19.165","5","0","0","0","0","0","10","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.68","0.14","40.91","8.18","0.0","0.0","0.0","0.0","0.0","14.67","0.99","12.25","15.46","46.8","51.44","-72.22","0.0","0","1","0","3","0.0","0","0","0.0","0","7","0.0","2","4","50.0"
"","Dustin Hutton","LW","PBO","16.98","7","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.07","0.01","54.01","7.72","0.0","0.0","0.0","0.0","0.0","1.11","0.08","13.58","12.39","43.93","41.56","22.67","66.67","2","1","0","0","0.0","0","0","0.0","0","1","0.0","2","4","50.0"
"","Joseph Serpa","C","KIT","16.482","6","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.06","0.01","48.26","8.04","0.0","0.0","0.0","0.0","0.0","1.24","0.07","13.31","14.25","34.06","59.81","-52.63","0.0","0","2","0","0","0.0","0","0","0.0","0","1","0.0","4","19","21.05"
