,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1151,Trevor Owens,D,LAV,23.809,6,0,0,2,0,2,3,0.0,0.0,0.0,0.33,0.0,0.33,0.5
1152,Brad McClure,RW,TEX,25.09,8,1,0,1,1,2,22,4.55,0.12,0.0,0.12,0.12,0.25,2.75
1153,Otto Somppi,C,SYR,20.674,21,1,0,1,1,2,6,16.67,0.05,0.0,0.05,0.05,0.1,0.29
1154,Simon Despres,D,LAV,27.138,5,1,0,1,1,2,3,33.33,0.2,0.0,0.2,0.2,0.4,0.6
1155,Micheal Haley,LW,SPR,32.463,2,1,0,1,1,2,3,33.33,0.5,0.0,0.5,0.5,1.0,1.5
1156,Robby Fabbri,C,SA,22.648,3,1,0,1,1,2,10,10.0,0.33,0.0,0.33,0.33,0.67,3.33
1157,Michael Rasmussen,C,GR,19.414,3,2,0,0,2,2,5,40.0,0.67,0.0,0.0,0.67,0.67,1.67
1158,Mathieu Brodeur,D,UTI/SYR/SPR,27.237,15,0,0,2,0,2,10,0.0,0.0,0.0,0.13,0.0,0.13,0.67
1159,Justin Falk,D,COL/BEL,29.928,11,1,1,0,2,2,16,6.25,0.09,0.09,0.0,0.18,0.18,1.45
1160,Sam Lofquist,D,SA,28.504,9,1,1,0,2,2,9,11.11,0.11,0.11,0.0,0.22,0.22,1.0
1161,Kevin Morris,LW,BNG,24.775,12,0,1,1,1,2,12,0.0,0.0,0.08,0.08,0.08,0.17,1.0
1162,Jonathan Racine,D,ONT/BEL,24.801,14,1,1,0,2,2,11,12.5,0.06,0.06,0.0,0.125,0.125,0.835
1163,Matt Caito,D,IA,24.091,9,0,1,1,1,2,14,0.0,0.0,0.11,0.11,0.11,0.22,1.56
1164,Paul Martin,D,SJ,36.532,18,0,1,1,1,2,9,0.0,0.0,0.06,0.06,0.06,0.11,0.5
1165,Kayle Doetzel,D,STK/CLE/STK,22.742,12,0,1,1,1,2,7,0.0,0.0,0.05,0.05,0.05,0.1,0.55
1166,Kevin Spinozzi,D,WBS,21.815,21,0,0,2,0,2,15,0.0,0.0,0.0,0.06,0.0,0.06,1.02
1167,Blake Hillman,D,RFD,22.637,38,0,1,1,1,2,44,0.0,0.0,0.03,0.03,0.03,0.05,1.16
