,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.341,182,96,110,61,206,267,550,17.143,0.547,0.623,0.34,1.17,1.513,3.147,22.373,0.383,23,67,34.2,14,68,19.377,59,415,13.703,1707,3308,51.633
1,Nick Suzuki,C,OS/GUE/OS,18.1,176,114,87,60,201,261,764,14.783,0.64,0.493,0.343,1.133,1.473,4.377,33.52,0.57,20,98,18.927,26,114,22.07,68,552,12.343,1116,2118,52.777
2,Jason Robertson,RW,KGN/KGN/NIAG,18.152,186,125,82,53,207,260,857,14.733,0.687,0.46,0.29,1.15,1.437,4.64,38.893,0.633,25,106,23.677,27,161,16.26,73,590,12.667,6,24,25.0
3,Kevin Hancock,LW/C,OS/LDN/OS,19.54,179,99,99,47,198,245,747,13.127,0.557,0.56,0.257,1.117,1.373,4.237,27.067,0.457,19,70,27.557,24,111,22.107,56,566,9.903,1452,2620,55.503
4,Ben Jones,C,NIAG,18.552,187,78,88,45,166,211,530,14.247,0.423,0.48,0.237,0.903,1.137,2.847,22.657,0.367,32,125,24.187,19,71,25.713,27,334,8.183,1968,3735,52.627
5,Akil Thomas,RW/C,NIAG,17.703,180,72,74,65,146,211,505,14.5,0.41,0.42,0.363,0.833,1.197,2.82,19.223,0.323,19,70,27.423,16,82,19.827,37,353,10.393,1098,2064,51.49
6,Kyle Maksimovich,LW,ER/ER/OTT,19.519,186,82,75,51,157,208,506,15.99,0.447,0.403,0.277,0.853,1.13,2.727,20.59,0.333,9,60,14.833,27,90,28.02,46,356,12.927,127,320,40.563
7,Brandon Saigeon,C,HAM/HAM/OSH,19.256,189,92,66,46,158,204,636,14.317,0.493,0.353,0.247,0.847,1.097,3.397,23.143,0.37,17,67,25.27,22,87,25.787,53,482,11.087,1572,3040,51.203
8,Lucas Chiodo,LW,BAR/BAR/OTT,18.875,193,78,76,50,154,204,392,20.003,0.407,0.397,0.263,0.807,1.067,2.047,18.133,0.283,20,66,30.753,16,72,21.807,42,254,16.76,9,30,26.457
9,Jordan Kyrou,RW,SAR,18.865,122,69,75,59,144,203,389,18.47,0.575,0.62,0.49,1.195,1.685,3.17,28.975,0.475,20,66,30.425,13,69,19.68,36,254,15.375,198,395,49.725
