"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Sam Steel","C","REG","19.614","54","33","36","14","69","83","0.61","0.67","0.26","1.28","1.54"
"","Jaret Anderson-Dolan","C","SPO","18.01","70","40","28","23","68","91","0.57","0.4","0.33","0.97","1.3"
"","Cameron Hebig","C","REG/SAS","20.649","66","41","26","23","67","90","0.62","0.39","0.35","1.02","1.36"
"","Morgan Geekie","C","TC","19.157","68","30","35","19","65","84","0.44","0.51","0.28","0.96","1.24"
"","Dillon Dube","C","KEL","19.157","53","38","27","19","65","84","0.72","0.51","0.36","1.23","1.58"
"","Matteo Gennaro","C","SC/CGY","20.463","67","42","23","14","65","79","0.63","0.34","0.21","0.97","1.18"
"","Mason McCarty","RW","RD","20.636","69","38","26","10","64","74","0.55","0.38","0.14","0.93","1.07"
"","Hudson Elynuik","C","SPO","19.926","71","31","32","23","63","86","0.44","0.45","0.32","0.89","1.21"
"","Garrett Pilon","C","KAM/EVT","19.425","69","34","29","17","63","80","0.49","0.42","0.25","0.91","1.16"
"","Matt Bradley","C","REG","20.647","72","37","26","16","63","79","0.51","0.36","0.22","0.88","1.1"
"","Kieffer Bellows","LW","POR","19.267","56","41","22","11","63","74","0.73","0.39","0.2","1.12","1.32"
"","Zack Andrusiak","LW","SEA","19.185","72","36","26","12","62","74","0.5","0.36","0.17","0.86","1.03"
"","Matt Fonteyne","LW","EVT","19.792","72","35","26","27","61","88","0.49","0.36","0.38","0.85","1.22"
"","Jordan Topping","LW","TC","20.156","72","38","22","20","60","80","0.53","0.31","0.28","0.83","1.11"
"","Tanner Jeannot","LW","MJ","20.299","72","40","19","21","59","80","0.56","0.26","0.29","0.82","1.11"
"","Nolan Volcan","LW","SEA","19.201","70","32","27","17","59","76","0.46","0.39","0.24","0.84","1.09"
"","Carsen Twarynski","LW","KEL","19.809","68","45","14","13","59","72","0.66","0.21","0.19","0.87","1.06"
"","Brad Morrison","C","LET/VAN","20.696","74","27","31","17","58","75","0.36","0.42","0.23","0.78","1.01"
"","Giorgio Estephan","C","SC/LET","20.614","69","30","27","29","57","86","0.43","0.39","0.42","0.83","1.25"
"","David Quenneville","D","MH","19.51","70","26","30","24","56","80","0.37","0.43","0.34","0.8","1.14"
"","Dante Hannoun","C","VIC","19.122","66","25","31","23","56","79","0.38","0.47","0.35","0.85","1.2"
"","Brett Howden","C","MJ","19.467","49","24","31","20","55","75","0.49","0.63","0.41","1.12","1.53"
"","Tyler Benson","LW","VAN","19.505","58","27","28","14","55","69","0.47","0.48","0.24","0.95","1.19"
"","Connor Dewar","C","EVT","18.224","68","38","17","13","55","68","0.56","0.25","0.19","0.81","1.0"
"","Cole Fonstad","LW","PA","17.394","72","21","33","19","54","73","0.29","0.46","0.26","0.75","1.01"
"","Jakob Stukel","LW","CGY","20.529","71","37","17","10","54","64","0.52","0.24","0.14","0.76","0.9"
"","Kody McDonald","C","PA/PG","19.442","68","34","19","13","53","66","0.5","0.28","0.19","0.78","0.97"
"","Max Gerlach","RW","MH/SAS","19.45","65","35","17","18","52","70","0.54","0.26","0.28","0.8","1.08"
"","Jermaine Loewen","LW","KAM","19.658","66","36","16","12","52","64","0.55","0.24","0.18","0.79","0.97"
"","Parker Kelly","RW","PA","18.341","69","29","23","7","52","59","0.42","0.33","0.1","0.75","0.86"
"","Donovan Neuls","C","SEA","19.894","71","22","29","25","51","76","0.31","0.41","0.35","0.72","1.07"
"","James Malm","C","VAN","18.226","72","19","32","15","51","66","0.26","0.44","0.21","0.71","0.92"
"","Tanner Kaspick","C","BDN/VIC","19.631","60","25","26","13","51","64","0.42","0.43","0.22","0.85","1.07"
"","Brett Davis","RW","KTN","18.292","72","25","25","8","50","58","0.35","0.35","0.11","0.69","0.81"
"","Evan Weinger","RW","BDN/POR","20.411","65","31","19","7","50","57","0.48","0.29","0.11","0.77","0.88"
"","Colby Sissons","D","SC","19.666","72","13","36","22","49","71","0.18","0.5","0.31","0.68","0.99"
"","Michael Rasmussen","C","TC","18.415","47","31","18","10","49","59","0.66","0.38","0.21","1.04","1.26"
"","Josh Mahura","D","REG","19.365","60","22","26","21","48","69","0.37","0.43","0.35","0.8","1.15"
"","Kailer Yamamoto","RW","SPO","18.963","40","21","27","16","48","64","0.53","0.68","0.4","1.2","1.6"
"","Brandon Hagel","LW","RD","19.053","56","18","30","11","48","59","0.32","0.54","0.2","0.86","1.05"
"","Noah Gregor","C","MJ/VIC","19.135","60","29","18","18","47","65","0.48","0.3","0.3","0.78","1.08"
"","Curtis Miske","LW","PA","20.66","72","27","20","17","47","64","0.38","0.28","0.24","0.65","0.89"
"","Alec Baer","C","KTN","20.058","72","30","17","14","47","61","0.42","0.24","0.19","0.65","0.85"
"","Cal Foote","D","KEL","18.757","60","19","27","24","46","70","0.32","0.45","0.4","0.77","1.17"
"","Tomas Soustal","C","KEL/EDM","20.581","69","22","24","16","46","62","0.32","0.35","0.23","0.67","0.9"
"","Colton Kroeker","C","KTN","20.649","68","15","31","15","46","61","0.22","0.46","0.22","0.68","0.9"
"","Davis Koch","RW","VAN/EDM","19.258","68","22","24","12","46","58","0.32","0.35","0.18","0.68","0.85"
"","Colton Kehler","RW","EDM","20.219","71","32","14","5","46","51","0.45","0.2","0.07","0.65","0.72"
"","Ty Smith","D","SPO","17.479","69","14","31","28","45","73","0.2","0.45","0.41","0.65","1.06"
"","Henri Jokiharju","D","POR","18.248","63","12","33","26","45","71","0.19","0.52","0.41","0.71","1.13"
"","Jared Bethune","LW","PG","20.652","71","21","24","24","45","69","0.3","0.34","0.34","0.63","0.97"
"","James Hamblin","C","MH","18.388","70","21","24","19","45","64","0.3","0.34","0.27","0.64","0.91"
"","Riley Woods","LW","SPO","19.226","72","25","20","12","45","57","0.35","0.28","0.17","0.62","0.79"
"","Jake Kryski","C","CGY","19.524","71","16","29","11","45","56","0.23","0.41","0.15","0.63","0.79"
"","Leif Mattson","RW","KEL","18.15","63","25","19","16","44","60","0.4","0.3","0.25","0.7","0.95"
"","Kristian Reichel","C","RD","19.264","63","34","10","13","44","57","0.54","0.16","0.21","0.7","0.9"
"","Connor Gutenberg","C","BDN","18.032","72","18","26","9","44","53","0.25","0.36","0.12","0.61","0.74"
"","Austin Strand","D","SEA","20.575","69","25","18","21","43","64","0.36","0.26","0.3","0.62","0.93"
"","Dylan Coghlan","RD","TC","19.571","69","17","26","20","43","63","0.25","0.38","0.29","0.62","0.91"
