"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Marc-Andre LeCouffe","C","BAT","19.253","54","6","6","5","12","17","68","8.82","0.11","0.11","0.09","0.22","0.31","1.26","5.06","0.09","706.18","13.08","0.51","0.51","0.42","1.02","1.44","5.78","0.43","14.25","14.04","33.12","52.64","4.52","31.25","25","55","2","11","18.18","2","12","16.67","2","45","4.44","199","410","48.54"
"","Bailey Peach","RW","SHE","17.523","42","5","7","5","12","17","82","6.1","0.12","0.17","0.12","0.29","0.4","1.95","6.47","0.15","499.63","11.9","0.6","0.84","0.6","1.44","2.04","9.85","0.78","14.21","14.0","51.75","49.43","4.3","54.9","28","23","0","6","0.0","3","18","16.67","2","58","3.45","2","5","40.0"
"","Nathael Roy","RW","SHE","18.276","55","7","5","5","12","17","80","8.75","0.13","0.09","0.09","0.22","0.31","1.45","6.15","0.11","591.14","10.75","0.71","0.51","0.51","1.22","1.73","8.12","0.62","13.57","13.43","52.15","48.44","-3.96","49.06","26","27","4","12","33.33","1","13","7.69","2","55","3.64","5","20","25.0"
"","Josh Lawrence","C","SNB","16.63","42","8","4","4","12","16","59","13.56","0.19","0.1","0.1","0.29","0.38","1.4","4.71","0.11","560.75","13.35","0.86","0.43","0.43","1.28","1.71","6.31","0.5","14.66","13.99","35.07","52.27","6.42","37.33","28","47","4","11","36.36","2","11","18.18","2","37","5.41","223","417","53.48"
"","Mathieu Desgagnes","LW","BAT/CHI","18.423","39","10","2","4","12","16","53","18.87","0.26","0.05","0.1","0.31","0.41","1.36","4.05","0.1","504.72","12.94","1.19","0.24","0.48","1.43","1.9","6.3","0.48","13.96","13.77","36.74","54.99","9.47","38.46","20","32","4","5","80.0","4","14","28.57","2","34","5.88","14","34","41.18"
"","Anthony Poulin","C","BLB/VIC","19.056","56","6","6","4","12","16","61","9.84","0.11","0.11","0.07","0.21","0.29","1.09","5.83","0.1","682.52","12.19","0.53","0.53","0.35","1.05","1.41","5.36","0.51","14.04","13.95","43.54","52.9","8.26","52.63","30","27","2","11","18.18","2","10","20.0","2","40","5.0","169","350","48.29"
"","Simon Pinard","LW","BLB","17.306","53","12","0","4","12","16","45","26.67","0.23","0.0","0.08","0.23","0.3","0.85","4.97","0.09","544.07","10.27","1.32","0.0","0.44","1.32","1.76","4.96","0.55","13.33","13.72","38.89","51.89","8.07","44.68","21","26","8","14","57.14","3","8","37.5","1","23","4.35","110","227","48.46"
"","Filip Prikryl","C","SNB","17.454","55","7","5","2","12","14","66","10.61","0.13","0.09","0.04","0.22","0.25","1.2","7.6","0.14","651.87","11.85","0.64","0.46","0.18","1.1","1.29","6.07","0.7","14.13","14.0","33.3","56.53","-6.11","27.5","22","58","3","15","20.0","3","17","17.65","1","34","2.94","170","353","48.16"
"","Alex Drover","C","CAP/SNB","16.2","38","4","8","2","12","14","51","7.84","0.11","0.21","0.05","0.32","0.37","1.34","5.26","0.14","401.58","10.57","0.6","1.2","0.3","1.79","2.09","7.62","0.79","13.99","13.37","47.85","42.37","-3.84","54.29","19","16","1","11","9.09","0","7","0.0","3","33","9.09","85","172","49.42"
"","Benjamin Corbeil","C","BLB/DRU","17.501","52","7","5","2","12","14","67","10.45","0.13","0.1","0.04","0.23","0.27","1.29","4.56","0.09","522.47","10.05","0.8","0.57","0.23","1.38","1.61","7.69","0.52","12.97","13.75","50.69","50.36","-5.74","46.94","23","26","2","8","25.0","0","4","0.0","5","55","9.09","53","117","45.3"
"","Ivan Kozlov","LW","VDO","19.475","52","5","6","7","11","18","79","6.33","0.1","0.12","0.13","0.21","0.35","1.52","6.83","0.13","717.42","13.8","0.42","0.5","0.59","0.92","1.51","6.61","0.57","14.84","13.87","37.04","51.87","9.47","41.77","33","46","4","18","22.22","1","11","9.09","0","50","0.0","5","10","50.0"
"","Olivier Bourret","RW","CAP","18.659","56","8","3","6","11","17","54","14.81","0.14","0.05","0.11","0.2","0.3","0.96","5.39","0.1","621.66","11.1","0.77","0.29","0.58","1.06","1.64","5.21","0.52","13.86","13.69","56.48","48.08","-10.32","50.85","30","29","3","11","27.27","2","7","28.57","3","36","8.33","3","5","60.0"
"","William Sirman","LW","CHA","18.867","46","3","8","4","11","15","67","4.48","0.07","0.17","0.09","0.24","0.33","1.46","6.05","0.13","517.87","11.26","0.35","0.93","0.46","1.27","1.74","7.76","0.7","13.79","13.95","55.53","50.07","-14.87","44.9","22","27","0","10","0.0","1","9","11.11","2","48","4.17","173","319","54.23"
"","Yan Dion","RW","VDO","20.365","51","7","4","3","11","14","65","10.77","0.14","0.08","0.06","0.22","0.27","1.27","5.81","0.11","648.71","12.72","0.65","0.37","0.28","1.02","1.29","6.01","0.54","14.84","13.94","37.71","51.21","7.08","40.62","26","38","1","7","14.29","3","10","30.0","3","48","6.25","13","31","41.94"
"","Pierrick Dube","RW","QUE","17.687","51","9","2","3","11","14","84","10.71","0.18","0.04","0.06","0.22","0.27","1.65","9.35","0.18","617.47","12.11","0.87","0.19","0.29","1.07","1.36","8.16","0.91","14.09","14.04","46.61","53.36","-2.4","44.9","22","27","5","21","23.81","1","18","5.56","3","45","6.67","5","13","38.46"
"","Mikael Robidoux","RW","QUE/SHA","19.414","39","7","4","3","11","14","50","14.0","0.18","0.1","0.08","0.28","0.36","1.28","6.58","0.17","476.95","12.23","0.88","0.5","0.38","1.38","1.76","6.29","0.83","13.67","13.74","39.14","47.36","4.62","45.45","20","24","3","13","23.08","2","9","22.22","2","28","7.14","8","26","30.77"
"","Feliks Morozov","RW","VIC","18.525","45","6","5","2","11","13","50","12.0","0.13","0.11","0.04","0.24","0.29","1.11","4.37","0.1","528.77","11.75","0.68","0.57","0.23","1.25","1.48","5.67","0.5","14.46","13.96","47.07","49.71","0.74","50.0","22","22","3","6","50.0","0","9","0.0","3","35","8.57","0","2","0.0"
"","Ryan Francis","RW","CAP","16.786","53","6","4","8","10","18","69","8.7","0.11","0.08","0.15","0.19","0.34","1.3","6.27","0.12","558.05","10.53","0.65","0.43","0.86","1.08","1.94","7.42","0.67","14.27","13.7","57.14","51.99","1.21","58.7","27","19","2","11","18.18","3","11","27.27","1","47","2.13","4","12","33.33"
