"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Ben Meyers","F","FGO","19.833","40","27","20","6","47","53","149","18.12","0.68","0.5","0.15","1.18","1.32","3.73"
"","Brett Murray","F","YNG","20.156","43","28","15","9","43","52","108","25.93","0.65","0.35","0.21","1.0","1.21","2.51"
"","Nick Abruzzese","F","CHI","19.283","43","19","23","15","42","57","76","25.0","0.44","0.53","0.35","0.98","1.33","1.77"
"","Matias Maccelli","LW","DBQ","17.92","44","22","16","15","38","53","130","16.92","0.5","0.36","0.34","0.86","1.2","2.95"
"","Matej Blumel","F","WAT","18.292","41","24","14","10","38","48","171","14.04","0.59","0.34","0.24","0.93","1.17","4.17"
"","Egor Afanasyev","F","MUS","17.643","42","21","17","7","38","45","148","14.19","0.5","0.4","0.17","0.9","1.07","3.52"
"","Vladislav Firstov","F","WAT","17.241","45","20","18","5","38","43","103","19.42","0.44","0.4","0.11","0.84","0.96","2.29"
"","Matt Brown","LW","DM","19.102","40","22","15","5","37","42","106","20.75","0.55","0.38","0.12","0.93","1.05","2.65"
"","Hank Crone","F","FGO","20.57","43","15","20","17","35","52","115","13.04","0.35","0.47","0.4","0.81","1.21","2.67"
"","Emil Ohrvall","F","WAT","20.266","42","23","10","11","33","44","122","18.85","0.55","0.24","0.26","0.79","1.05","2.9"
"","Brendan Furry","LW","TC/OMA","20.189","35","15","18","7","33","40","118","12.71","0.43","0.51","0.2","0.94","1.14","3.37"
"","Robert Mastrosimone","LW","CHI","17.64","35","20","13","5","33","38","103","19.42","0.57","0.37","0.14","0.94","1.09","2.94"
"","Artem Ivanyuzhenkov","F","SF","20.48","40","21","12","3","33","36","96","21.88","0.53","0.3","0.07","0.82","0.9","2.4"
"","Jack Malone","RW","YNG","17.922","38","15","17","12","32","44","73","20.55","0.39","0.45","0.32","0.84","1.16","1.92"
"","Bobby Lynch","F","MUS","20.25","45","15","17","9","32","41","126","11.9","0.33","0.38","0.2","0.71","0.91","2.8"
"","Martin Pospisil","C","SC","18.823","33","12","20","8","32","40","123","9.76","0.36","0.61","0.24","0.97","1.21","3.73"
"","Shane Pinto","RW","TC/LIN","17.84","39","20","12","5","32","37","119","16.81","0.51","0.31","0.13","0.82","0.95","3.05"
"","Bobby Brink","C","SC","17.189","25","19","12","10","31","41","78","24.36","0.76","0.48","0.4","1.24","1.64","3.12"
"","Willie Knierim","F","DBQ","20.647","43","14","17","2","31","33","78","17.95","0.33","0.4","0.05","0.72","0.77","1.81"
"","Alex Yakovenko","D","MUS","20.545","42","17","13","16","30","46","113","15.04","0.4","0.31","0.38","0.71","1.1","2.69"
"","Josh Nodler","RW","FGO","17.386","38","15","15","8","30","38","66","22.73","0.39","0.39","0.21","0.79","1.0","1.74"
"","Josiah Slavin","LW","LIN/CHI","19.707","40","14","15","4","29","33","111","12.61","0.35","0.38","0.1","0.72","0.82","2.77"
"","Ronnie Attard","LD","TC","19.491","33","20","8","14","28","42","89","22.47","0.61","0.24","0.42","0.85","1.27","2.7"
"","Connor MacEachern","F","YNG","19.13","43","19","9","10","28","38","114","16.67","0.44","0.21","0.23","0.65","0.88","2.65"
"","Reed Lebster","RW","DM","19.532","45","20","8","9","28","37","100","20.0","0.44","0.18","0.2","0.62","0.82","2.22"
"","Mikael Hakkarainen","C","MUS","20.636","30","14","14","9","28","37","116","12.07","0.47","0.47","0.3","0.93","1.23","3.87"
"","Filip Forsmark","LW","TC","20.23","45","10","18","5","28","33","74","13.51","0.22","0.4","0.11","0.62","0.73","1.64"
"","Gunnarwolfe Fontaine","F","CHI","17.996","43","16","12","5","28","33","80","20.0","0.37","0.28","0.12","0.65","0.77","1.86"
"","Jason Polin","C","CR","19.247","43","19","9","2","28","30","97","19.59","0.44","0.21","0.05","0.65","0.7","2.26"
"","Mac Welsher","C","DM","19.395","38","12","15","8","27","35","69","17.39","0.32","0.39","0.21","0.71","0.92","1.82"
"","Jami Krannila","F","SF","17.95","42","13","14","8","27","35","92","14.13","0.31","0.33","0.19","0.64","0.83","2.19"
"","Nathan Smith","C","CR","19.907","42","13","13","9","26","35","89","14.61","0.31","0.31","0.21","0.62","0.83","2.12"
"","Marcus Kallionkieli","LW","SC","17.49","39","21","5","6","26","32","109","19.27","0.54","0.13","0.15","0.67","0.82","2.79"
"","James Sanchez","F","DBQ","20.553","42","12","13","11","25","36","100","12.0","0.29","0.31","0.26","0.6","0.86","2.38"
"","Cade Borchardt","F","SF","20.195","40","9","16","7","25","32","70","12.86","0.23","0.4","0.17","0.62","0.8","1.75"
"","Jeremy Davidson","RW","CIL/FGO","18.547","44","16","9","5","25","30","124","12.9","0.36","0.2","0.11","0.57","0.68","2.82"
"","Grant Silianoff","F","CR","17.695","38","13","12","4","25","29","66","19.7","0.34","0.32","0.11","0.66","0.76","1.74"
"","Austen Swankler","F","SF/WAT","17.068","40","7","18","4","25","29","66","10.61","0.17","0.45","0.1","0.62","0.72","1.65"
"","Riese Gaber","RW","DBQ","18.933","44","12","13","4","25","29","95","12.63","0.27","0.3","0.09","0.57","0.66","2.16"
"","Parker Ford","C","SC","18.155","37","15","10","3","25","28","97","15.46","0.41","0.27","0.08","0.68","0.76","2.62"
"","TJ Walsh","LW","DM","18.38","37","12","12","11","24","35","70","17.14","0.32","0.32","0.3","0.65","0.95","1.89"
"","Adam Robbins","F","CHI","18.426","41","10","14","8","24","32","54","18.52","0.24","0.34","0.2","0.59","0.78","1.32"
"","Cal Kiefiuk","F","CIL","18.547","35","11","13","7","24","31","76","14.47","0.31","0.37","0.2","0.69","0.89","2.17"
"","Anthony Romano","F","SF","17.939","41","16","8","7","24","31","80","20.0","0.39","0.2","0.17","0.59","0.76","1.95"
"","Brian Chambers","F","SF","20.146","41","14","10","7","24","31","42","33.33","0.34","0.24","0.17","0.59","0.76","1.02"
"","Connor McMenamin","LW","TC","19.554","39","18","6","5","24","29","98","18.37","0.46","0.15","0.13","0.62","0.74","2.51"
"","Neil Shea","F","CHI","19.141","37","12","12","4","24","28","87","13.79","0.32","0.32","0.11","0.65","0.76","2.35"
"","Liam Walsh","LW","CR","19.174","43","14","10","2","24","26","95","14.74","0.33","0.23","0.05","0.56","0.6","2.21"
"","Jesse Tucker","F","GB","15.707","43","9","14","4","23","27","94","9.57","0.21","0.33","0.09","0.53","0.63","2.19"
"","Joseph Abate","F","YNG","19.97","41","9","14","2","23","25","91","9.89","0.22","0.34","0.05","0.56","0.61","2.22"
"","Jackson Perbix","F","GB","18.004","43","9","13","12","22","34","87","10.34","0.21","0.3","0.28","0.51","0.79","2.02"
"","Jared Westcott","F","SF","19.256","40","10","12","6","22","28","80","12.5","0.25","0.3","0.15","0.55","0.7","2.0"
"","Travis Treloar","F","CHI","17.345","41","13","9","4","22","26","70","18.57","0.32","0.22","0.1","0.54","0.63","1.71"
"","Stephen Halliday","F","CIL","16.603","37","8","14","3","22","25","52","15.38","0.22","0.38","0.08","0.59","0.68","1.41"
"","Logan Pietila","RW","DBQ","18.634","44","13","9","3","22","25","85","15.29","0.3","0.2","0.07","0.5","0.57","1.93"
"","Andre Lee","F","SF","18.139","42","16","6","1","22","23","56","28.57","0.38","0.14","0.02","0.52","0.55","1.33"
"","Zac Jones","D","TC","17.909","40","6","15","14","21","35","104","5.77","0.15","0.38","0.35","0.53","0.88","2.6"
"","Trevor Janicke","F","CIL","17.722","39","15","6","13","21","34","107","14.02","0.38","0.15","0.33","0.54","0.87","2.74"
"","Tate Singleton","F","CIL","20.028","42","17","4","8","21","29","96","17.71","0.4","0.1","0.19","0.5","0.69","2.29"
"","Colby Bukes","D","MUS","19.62","45","4","17","8","21","29","90","4.44","0.09","0.38","0.18","0.47","0.64","2.0"
"","Chase Brand","LW","MAD","19.554","43","11","10","6","21","27","81","13.58","0.26","0.23","0.14","0.49","0.63","1.88"
"","Joseph Molenaar","LW","TC","18.916","44","13","8","6","21","27","82","15.85","0.3","0.18","0.14","0.48","0.61","1.86"
"","Joe Cassetti","F","WAT","19.546","45","13","8","6","21","27","91","14.29","0.29","0.18","0.13","0.47","0.6","2.02"
"","Aidan McDonough","LW","CR","18.859","37","17","4","6","21","27","87","19.54","0.46","0.11","0.16","0.57","0.73","2.35"
"","Trevor Kuntar","LW","YNG","17.238","42","13","8","5","21","26","70","18.57","0.31","0.19","0.12","0.5","0.62","1.67"
"","Matt Koopman","F","WAT","20.376","24","8","13","4","21","25","59","13.56","0.33","0.54","0.17","0.88","1.04","2.46"
"","Brock Bremer","F","MUS/LIN","19.056","42","12","9","4","21","25","60","20.0","0.29","0.21","0.1","0.5","0.6","1.43"
"","Rylee St. Onge","LW","DM","20.4","41","17","4","4","21","25","91","18.68","0.41","0.1","0.1","0.51","0.61","2.22"
"","Ethan Phillips","F","SF","17.358","31","10","10","10","20","30","63","15.87","0.32","0.32","0.32","0.65","0.97","2.03"
"","Philippe Lapointe","RW","CIL/LIN","18.544","41","8","12","7","20","27","77","10.39","0.2","0.29","0.17","0.49","0.66","1.88"
"","Mathieu De St Phalle","F","CHI/OMA","18.489","41","8","11","13","19","32","62","12.9","0.2","0.27","0.32","0.46","0.78","1.51"
"","Daniil Gushchin","F","MUS","16.288","40","13","6","11","19","30","86","15.12","0.33","0.15","0.28","0.47","0.75","2.15"
"","Gianfranco Cassaro","D","YNG","19.464","35","8","11","7","19","26","94","8.51","0.23","0.31","0.2","0.54","0.74","2.69"
"","Nolan Sullivan","F","MUS","19.308","45","15","4","1","19","20","94","15.96","0.33","0.09","0.02","0.42","0.44","2.09"
"","Jaxon Nelson","F","OMA","18.462","35","10","8","7","18","25","100","10.0","0.29","0.23","0.2","0.51","0.71","2.86"
"","Scooter Brickey","RD","DM","19.305","45","6","12","6","18","24","68","8.82","0.13","0.27","0.13","0.4","0.53","1.51"
"","Matthew Miller","RW","SC","19.031","39","11","7","6","18","24","66","16.67","0.28","0.18","0.15","0.46","0.62","1.69"
"","Max Ellis","RW","MUS/CIL/LIN","18.659","46","11","7","6","18","24","121","9.09","0.24","0.15","0.13","0.39","0.52","2.63"
"","Griffin Ness","F","WAT","18.766","41","9","9","4","18","22","79","11.39","0.22","0.22","0.1","0.44","0.54","1.93"
"","Gleb Murtazin","F","GB","17.887","38","10","8","4","18","22","70","14.29","0.26","0.21","0.11","0.47","0.58","1.84"
"","Matteo Pietroniro","D","CHI","19.905","43","13","4","17","17","34","81","16.05","0.3","0.09","0.4","0.4","0.79","1.88"
"","Kalle Eriksson","D","MAD/OMA","19.001","44","3","14","10","17","27","61","4.92","0.07","0.32","0.23","0.39","0.61","1.39"
"","Ryan Siedem","D","CIL","17.553","41","3","14","9","17","26","48","6.25","0.07","0.34","0.22","0.41","0.63","1.17"
"","Ty Jackson","C","DBQ","17.024","44","11","6","7","17","24","63","17.46","0.25","0.14","0.16","0.39","0.55","1.43"
"","Dylan Jackson","RW","DBQ","17.024","44","9","8","6","17","23","69","13.04","0.2","0.18","0.14","0.39","0.52","1.57"
"","Wyatt Schingoethe","F","WAT","16.118","45","7","10","5","17","22","89","7.87","0.16","0.22","0.11","0.38","0.49","1.98"
"","Matthew Boldy","LW","USA","17.446","17","9","8","5","17","22","58","15.52","0.53","0.47","0.29","1.0","1.29","3.41"
"","Luke Manning","C","DM","19.425","45","10","7","4","17","21","101","9.9","0.22","0.16","0.09","0.38","0.47","2.24"
