"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Zach Solow","C","DBQ","17.859","56","18","40","11","58","69","136","13.24","0.32","0.71","0.2","1.04","1.23","2.43"
"","Jack Adams","C","FGO","19.609","56","37","15","8","52","60","176","21.02","0.66","0.27","0.14","0.93","1.07","3.14"
"","Andrei Svechnikov","RW","MUS","16.474","48","29","18","11","47","58","159","18.24","0.6","0.38","0.23","0.98","1.21","3.31"
"","Colin Theisen","LW","DBQ","19.395","57","35","10","17","45","62","190","18.42","0.61","0.18","0.3","0.79","1.09","3.33"
"","Shane Bowers","C","WAT","17.131","60","22","23","6","45","51","162","13.58","0.37","0.38","0.1","0.75","0.85","2.7"
"","Hank Crone","LW","FGO","18.571","56","24","20","18","44","62","205","11.71","0.43","0.36","0.32","0.79","1.11","3.66"
"","Eeli Tolvanen","RW","SC","17.402","52","30","14","10","44","54","246","12.2","0.58","0.27","0.19","0.85","1.04","4.73"
"","Blake Lizotte","C","FGO","18.757","56","19","24","22","43","65","130","14.62","0.34","0.43","0.39","0.77","1.16","2.32"
"","Alex Limoges","C","WAT/TC","18.998","55","22","21","13","43","56","138","15.94","0.4","0.38","0.24","0.78","1.02","2.51"
"","Nick Swaney","F","WAT","19.018","47","26","17","8","43","51","140","18.57","0.55","0.36","0.17","0.91","1.09","2.98"
"","Cole Guttman","C","DBQ","17.446","53","27","15","12","42","54","115","23.48","0.51","0.28","0.23","0.79","1.02","2.17"
"","Collin Adams","LW","MUS","18.396","57","24","16","11","40","51","147","16.33","0.42","0.28","0.19","0.7","0.89","2.58"
"","Linus Weissbach","LW","TC","18.41","49","19","21","7","40","47","123","15.45","0.39","0.43","0.14","0.82","0.96","2.51"
"","David Keefer","LW","DM","18.903","59","19","20","7","39","46","185","10.27","0.32","0.34","0.12","0.66","0.78","3.14"
"","Jake Jaremko","C","CHI","20.061","59","17","21","8","38","46","133","12.78","0.29","0.36","0.14","0.64","0.78","2.25"
"","Charlie Kelleher","RW","TC/SC","19.612","61","17","19","15","36","51","122","13.93","0.28","0.31","0.25","0.59","0.84","2.0"
