"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO"
"","Wilkes-Barre/Scranton Penguins","76","50","59.42","246","168","78","53.43","2475","2157","318","9.72","0.924","102.15"
"","San Jose Barracuda","68","42","57.46","231","171","60","54.92","2288","1878","410","9.58","0.912","100.77"
"","Grand Rapids Griffins","76","44","57.27","248","185","63","53.12","2534","2236","298","9.32","0.921","101.38"
"","Chicago Wolves","76","42","56.08","249","195","54","49.28","2224","2289","-65","10.47","0.916","102.11"
"","San Diego Gulls","68","39","55.22","217","176","41","52.56","2197","1983","214","9.55","0.914","101.0"
"","Providence Bruins","76","40","55.12","226","184","42","52.38","2441","2219","222","8.89","0.92","100.88"
"","Hershey Bears","76","43","54.78","252","208","44","48.24","2006","2152","-146","12.08","0.905","102.63"
"","Toronto Marlies","76","39","54.02","242","206","36","51.88","2332","2163","169","9.95","0.909","100.81"
"","Lehigh Valley Phantoms","76","45","53.99","257","219","38","49.44","2388","2442","-54","10.31","0.913","101.61"
"","Stockton Heat","68","33","52.62","211","190","21","48.64","2027","2140","-113","9.92","0.915","101.38"
"","Bakersfield Condors","68","32","51.55","199","187","12","48.31","1971","2109","-138","9.55","0.915","101.07"
"","Milwaukee Admirals","76","40","51.26","223","212","11","50.26","2258","2235","23","9.56","0.911","100.64"
"","Syracuse Crunch","76","36","51.11","230","220","10","52.71","2305","2068","237","9.59","0.897","99.29"
"","Ontario Reign","68","34","51.04","197","189","8","50.52","2021","1979","42","9.43","0.907","100.11"
"","Bridgeport Sound Tigers","76","39","50.47","215","211","4","50.19","2190","2173","17","9.49","0.906","100.07"
"","Charlotte Checkers","76","36","50.24","209","207","2","51.17","2310","2204","106","8.53","0.911","99.6"
"","Albany Devils","76","36","49.75","201","203","-2","52.67","2297","2064","233","8.47","0.905","98.99"
"","St. John's IceCaps","76","33","49.42","213","218","-5","48.05","2119","2291","-172","9.71","0.909","100.63"
"","Cleveland Monsters","76","32","49.21","188","194","-6","48.91","2237","2337","-100","7.95","0.922","100.12"
"","Springfield Thunderbirds","76","30","48.87","195","204","-9","49.84","2189","2203","-14","8.49","0.912","99.69"
"","Iowa Wild","76","33","47.99","179","194","-15","47.11","2130","2391","-261","8.06","0.923","100.37"
"","Utica Comets","76","33","46.96","193","218","-25","50.49","2258","2214","44","8.22","0.907","98.91"
"","Rochester Americans","76","31","46.26","204","237","-33","45.93","2021","2379","-358","9.69","0.904","100.07"
"","Texas Stars","76","31","45.85","221","261","-40","50.53","2297","2249","48","9.38","0.889","98.33"
"","Manitoba Moose","76","27","45.14","195","237","-42","49.2","2365","2442","-77","7.93","0.909","98.79"
"","Tucson Roadrunners","68","26","43.71","184","237","-53","44.93","1878","2302","-424","9.46","0.9","99.44"
"","San Antonio Rampage","76","25","43.33","182","238","-56","48.52","2135","2265","-130","8.18","0.901","98.27"
"","Binghamton Senators","76","25","41.46","187","264","-77","47.96","2199","2386","-187","8.17","0.893","97.44"
"","Rockford IceHogs","76","19","41.02","169","243","-74","51.52","2458","2313","145","6.57","0.9","96.61"
"","Hartford Wolf Pack","76","21","40.72","191","278","-87","46.79","2089","2376","-287","9.01","0.887","97.72"
