"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Vitalii Abramov","RW","GAT/VIC","19.357","56","30","33","8","63","71","159","18.87","0.54","0.59","0.14","1.12","1.27","2.84","24.92","0.44","919.62","16.42","1.96","2.15","0.52","4.11","4.63","10.37","1.63","14.4","13.71","60.17","50.72","21.88","73.68","84","30","8","24","33.33","7","28","25.0","15","107","14.02","410","726","56.47"
"","Alexis Lafreniere","LW","RIM","15.929","60","35","18","3","53","56","148","23.65","0.58","0.3","0.05","0.88","0.93","2.47","19.88","0.33","922.97","15.38","2.28","1.17","0.2","3.45","3.64","9.62","1.29","14.62","13.38","60.76","48.99","17.5","71.29","72","29","9","29","31.03","12","31","38.71","14","88","15.91","5","8","62.5"
"","Alex Barre-Boulet","C","BLB","20.321","65","28","19","12","47","59","212","13.21","0.43","0.29","0.18","0.72","0.91","3.26","20.62","0.32","1064.99","16.38","1.58","1.07","0.68","2.65","3.32","11.94","1.16","14.63","13.61","59.2","51.19","4.9","60.95","64","41","7","25","28.0","5","32","15.62","16","155","10.32","364","703","51.78"
"","Filip Zadina","RW","HAL","17.802","57","33","14","9","47","56","182","18.13","0.58","0.25","0.16","0.82","0.98","3.19","24.66","0.43","914.53","16.04","2.17","0.92","0.59","3.08","3.67","11.94","1.62","14.22","13.54","54.66","51.32","11.23","60.0","72","48","9","29","31.03","7","27","25.93","17","126","13.49","15","28","53.57"
"","Maxime Fortier","RW","HAL","19.751","61","20","23","7","43","50","185","10.81","0.33","0.38","0.11","0.7","0.82","3.03","23.85","0.39","869.63","14.26","1.38","1.59","0.48","2.97","3.45","12.76","1.65","14.05","13.27","54.44","48.03","4.73","59.18","58","40","11","39","28.21","2","28","7.14","7","118","5.93","21","80","26.25"
"","Maxime Comtois","LW","VIC","18.686","54","30","12","13","42","55","123","24.39","0.56","0.22","0.24","0.78","1.02","2.28","16.63","0.31","806.61","14.94","2.23","0.89","0.97","3.12","4.09","9.15","1.24","14.5","13.64","60.79","50.35","22.22","70.19","73","31","13","27","48.15","4","21","19.05","13","75","17.33","54","104","51.92"
"","Samuel Dove-McFalls","C","RIM","20.433","64","18","24","9","42","51","179","10.06","0.28","0.38","0.14","0.66","0.8","2.8","14.67","0.23","958.12","14.97","1.13","1.5","0.56","2.63","3.19","11.21","0.92","14.9","13.5","61.51","48.68","6.47","66.34","67","34","5","18","27.78","4","26","15.38","9","135","6.67","677","1085","62.4"
"","Alexandre Alain","C","BLB","20.537","65","22","18","11","40","51","187","11.76","0.34","0.28","0.17","0.62","0.78","2.88","20.16","0.31","999.26","15.37","1.32","1.08","0.66","2.4","3.06","11.23","1.21","14.83","13.5","58.49","50.49","10.36","64.58","62","34","4","23","17.39","9","33","27.27","9","131","6.87","236","396","59.6"
"","Nicolas Poulin","LW","SHE","20.146","64","25","15","10","40","50","203","12.32","0.39","0.23","0.16","0.62","0.78","3.17","21.24","0.33","1005.47","15.71","1.49","0.9","0.6","2.39","2.98","12.11","1.27","13.85","13.31","53.59","49.84","9.09","59.09","65","45","4","19","21.05","9","41","21.95","12","143","8.39","9","22","40.91"
"","Peter Abbandonato","C","ROU","19.477","68","15","25","5","40","45","115","13.04","0.22","0.37","0.07","0.59","0.66","1.69","13.53","0.2","944.3","13.89","0.95","1.59","0.32","2.54","2.86","7.31","0.86","13.54","13.48","55.32","47.82","0.64","56.12","55","43","3","16","18.75","1","15","6.67","11","84","13.1","443","881","50.28"
"","Ivan Kosorenkov","RW","VIC","19.647","63","22","17","15","39","54","127","17.32","0.35","0.27","0.24","0.62","0.86","2.02","16.49","0.26","850.3","13.5","1.55","1.2","1.06","2.75","3.81","8.96","1.16","14.68","13.63","59.79","50.41","19.42","70.53","67","28","6","18","33.33","1","18","5.56","15","91","16.48","2","4","50.0"
"","Jordan Martel","LW","BAC","19.557","66","26","12","8","38","46","166","15.66","0.39","0.18","0.12","0.58","0.7","2.52","15.86","0.24","934.03","14.15","1.67","0.77","0.51","2.44","2.95","10.66","1.02","13.79","13.32","48.76","50.47","13.55","57.14","60","45","5","15","33.33","8","23","34.78","13","128","10.16","3","9","33.33"
"","Jeffrey Truchon-Viel","LW","BAT","20.63","58","26","12","7","38","45","180","14.44","0.45","0.21","0.12","0.66","0.78","3.1","23.49","0.41","804.56","13.87","1.94","0.89","0.52","2.83","3.36","13.42","1.75","14.38","13.48","60.22","48.02","8.44","64.37","56","31","7","37","18.92","8","32","25.0","11","111","9.91","7","16","43.75"
"","D'Artagnan Joly","C","BAC","18.443","55","16","22","5","38","43","110","14.55","0.29","0.4","0.09","0.69","0.78","2.0","10.3","0.19","787.36","14.32","1.22","1.68","0.38","2.9","3.28","8.38","0.79","13.84","13.34","49.11","49.9","11.34","54.74","52","43","4","14","28.57","3","16","18.75","9","80","11.25","266","573","46.42"
"","Otto Somppi","C","HAL","19.675","59","14","23","18","37","55","93","15.05","0.24","0.39","0.31","0.63","0.93","1.58","14.09","0.24","844.33","14.31","0.99","1.63","1.28","2.63","3.91","6.61","1.0","14.72","13.55","54.71","49.8","10.62","62.07","72","44","5","25","20.0","1","13","7.69","8","55","14.55","560","981","57.08"
"","Antoine Morand","C","BAT","18.574","66","16","21","10","37","47","141","11.35","0.24","0.32","0.15","0.56","0.71","2.14","19.7","0.3","928.52","14.07","1.03","1.36","0.65","2.39","3.04","9.11","1.27","14.17","13.36","60.76","47.97","-4.36","57.94","62","45","6","32","18.75","6","25","24.0","4","84","4.76","389","711","54.71"
"","Kevin Klima","C","CHI","20.28","68","20","17","10","37","47","139","14.39","0.29","0.25","0.15","0.54","0.69","2.04","12.31","0.18","938.33","13.8","1.28","1.09","0.64","2.37","3.01","8.89","0.79","13.52","13.59","49.66","51.02","16.34","58.95","56","39","4","13","30.77","5","16","31.25","11","110","10.0","486","932","52.15"
"","Robert Lynch","C","DRU","19.25","67","20","17","7","37","44","159","12.58","0.3","0.25","0.1","0.55","0.66","2.37","12.68","0.19","890.95","13.3","1.35","1.14","0.47","2.49","2.96","10.71","0.85","13.71","13.5","58.29","49.3","0.3","59.18","58","40","5","14","35.71","6","22","27.27","9","123","7.32","9","38","23.68"
"","Morgan Adams-Moisan","RW","DRU","20.605","68","20","17","5","37","42","146","13.7","0.29","0.25","0.07","0.54","0.62","2.15","18.32","0.27","831.46","12.23","1.44","1.23","0.36","2.67","3.03","10.54","1.32","13.23","13.22","59.46","48.85","4.84","62.35","53","32","6","23","26.09","7","28","25.0","7","95","7.37","7","17","41.18"
"","Rafael Harvey-Pinard","LW","ROU","18.692","67","17","19","6","36","42","123","13.82","0.25","0.28","0.09","0.54","0.63","1.84","14.5","0.22","849.49","12.68","1.2","1.34","0.42","2.54","2.97","8.69","1.02","13.16","13.48","57.79","47.61","20.89","70.89","56","23","4","17","23.53","8","22","36.36","5","84","5.95","9","20","45.0"
"","Mitchell Balmas","LW","BAT/GAT","19.494","68","26","9","5","35","40","180","14.44","0.38","0.13","0.07","0.51","0.59","2.65","19.81","0.29","1030.81","15.16","1.51","0.52","0.29","2.04","2.33","10.48","1.15","14.39","13.78","58.92","48.26","0.91","61.17","63","40","4","16","25.0","3","19","15.79","19","145","13.1","35","76","46.05"
"","Jeremy McKenna","RW","MON","18.407","68","22","11","13","33","46","197","11.17","0.32","0.16","0.19","0.49","0.68","2.9","22.39","0.33","941.34","13.84","1.4","0.7","0.83","2.1","2.93","12.56","1.43","13.46","13.41","44.78","50.78","16.29","52.78","57","51","4","27","14.81","8","31","25.81","10","139","7.19","63","150","42.0"
"","Mathieu Nadeau","RW","VDO/RIM","20.699","59","14","19","9","33","42","130","10.77","0.24","0.32","0.15","0.56","0.71","2.2","10.92","0.19","865.55","14.67","0.97","1.32","0.62","2.29","2.91","9.01","0.76","14.57","13.49","52.78","50.09","-3.6","52.69","49","44","5","16","31.25","2","19","10.53","7","95","7.37","95","222","42.79"
"","Arnaud Durandeau","LW","HAL","18.67","67","15","18","9","33","42","119","12.61","0.22","0.27","0.13","0.49","0.63","1.78","15.68","0.23","924.96","13.81","0.97","1.17","0.58","2.14","2.72","7.72","1.02","14.07","13.2","54.72","50.33","-7.0","50.0","60","60","6","18","33.33","1","18","5.56","8","83","9.64","6","20","30.0"
"","Raphael Lavoie","C","HAL","16.972","68","20","13","7","33","40","152","13.16","0.29","0.19","0.1","0.49","0.59","2.24","20.89","0.31","932.57","13.71","1.29","0.84","0.45","2.12","2.57","9.78","1.34","14.49","13.27","55.43","49.72","-2.25","53.1","60","53","7","30","23.33","5","27","18.52","8","95","8.42","157","318","49.37"
"","Mathieu Boucher","LW","ROU","20.408","66","21","10","10","31","41","125","16.8","0.32","0.15","0.15","0.47","0.62","1.89","13.42","0.2","929.8","14.09","1.36","0.65","0.65","2.0","2.65","8.07","0.87","13.43","13.5","55.75","48.1","-4.13","52.63","50","45","8","16","50.0","1","17","5.88","12","92","13.04","27","52","51.92"
"","Derek Gentile","RW","QUE/CHA","18.437","67","15","16","10","31","41","149","10.07","0.22","0.24","0.15","0.46","0.61","2.22","16.73","0.25","968.28","14.45","0.93","0.99","0.62","1.92","2.54","9.23","1.04","13.73","13.4","50.84","50.17","5.65","52.43","54","49","7","24","29.17","3","25","12.0","5","100","5.0","66","156","42.31"
