,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
87,Liam Foudy,C,LDN,36.225,114,38,14,12,52,64,213,35.65,0.7,0.25,0.22,0.95,1.1800000000000002,3.81,26.36,0.47000000000000003,1446.15,25.46,3.26,1.2,1.05,4.449999999999999,5.5,17.93,2.2199999999999998,29.1,28.32,111.58,99.86,2.4399999999999995,113.92,85,64,10,46,43.480000000000004,12,38,62.739999999999995,16,129,24.9,176,356,100.24000000000001
88,Dmitry Sokolov,RW,BAR/SBY,19.423,64,31,20,12,51,63,183,16.94,0.48,0.31,0.19,0.8,0.98,2.86,27.12,0.42,1046.38,16.35,1.78,1.15,0.69,2.92,3.61,10.49,1.56,14.93,14.31,51.55,50.1,2.82,54.61,77,64,8,17,47.06,12,38,31.58,11,128,8.59,2,7,28.57
89,Dmitry Zavgorodniy,C/LW,RIM,8.798,119,31,16,16,47,63,230,6.77,0.132,0.068,0.07,0.198,0.267,0.972,5.795,0.1,371.615,6.255,0.628,0.322,0.325,0.95,1.272,4.65,0.468,7.085,6.828,30.718,24.662,2.202,32.948,92,48,13,41,15.64,7,40,8.712,11,149,3.815,154,346,22.77
90,Benjamin Tardif,LW,SHE,9.071,124,25,27,11,52,63,202,6.305,0.103,0.115,0.045,0.215,0.258,0.828,4.145,0.068,385.225,6.25,0.485,0.535,0.215,1.02,1.235,3.952,0.325,6.918,6.762,25.8,25.245,-1.96,24.695,79,81,3,22,9.375,5,27,9.722,17,153,5.565,34,71,23.252
91,Jordan Kyrou,RW,SAR,19.365,56,23,27,13,50,63,110,20.91,0.41,0.48,0.23,0.89,1.12,1.96,17.18,0.31,763.45,13.63,1.81,2.12,1.02,3.93,4.95,8.65,1.35,14.27,14.45,56.25,50.31,3.28,61.9,65,40,7,29,24.14,5,18,27.78,11,63,17.46,21,43,48.84
92,Felix Lauzon,C,VIC/DRU,9.939,94,20,25,18,45,63,170,5.522,0.1,0.128,0.092,0.227,0.322,0.878,4.158,0.085,281.03,5.955,0.5,0.645,0.468,1.145,1.61,4.408,0.43,6.912,6.71,30.798,23.255,-1.05,32.555,81,40,9,26,17.082,5,34,7.275,6,110,2.655,590,950,31.0
93,Egor Sokolov,RW/LW,CAP,8.886,120,32,19,12,51,63,248,6.505,0.138,0.08,0.048,0.217,0.265,1.035,8.33,0.14,406.32,6.795,0.592,0.35,0.22,0.945,1.165,4.578,0.615,6.95,6.845,25.602,24.742,-0.94,24.662,88,91,12,69,8.522,12,53,10.668,8,126,3.125,4,11,16.965
94,Ryan McGregor,C,SAR,38.257000000000005,101,18,24,20,42,62,173,20.810000000000002,0.36,0.47,0.39,0.83,1.23,3.4299999999999997,20.85,0.41000000000000003,1248.62,24.71,1.73,2.2800000000000002,1.9,4.01,5.91,16.68,2.0300000000000002,28.11,28.48,102.87,100.24000000000001,5.21,107.1,85,74,5,21,48.08,5,45,20.04,8,107,14.030000000000001,765,1413,108.22999999999999
95,Riley Damiani,C,KIT,35.979,109,27,25,10,52,62,247,22.09,0.52,0.5,0.19,1.02,1.22,4.63,27.07,0.5,1477.28,27.43,2.25,2.14,0.8400000000000001,4.39,5.22,20.17,2.2,29.66,29.02,99.11,101.14,20.689999999999998,113.69,86,67,7,35,39.87,10,44,44.3,10,168,11.78,507,1105,91.52000000000001
96,Keith Getson,LW/C,CHA/CHA/HAL,9.983,124,26,22,14,48,62,244,5.358,0.108,0.088,0.058,0.195,0.255,0.99,6.688,0.11,390.39,6.325,0.508,0.42,0.272,0.928,1.2,4.695,0.512,7.035,6.908,28.118,24.66,-0.648,27.768,88,70,10,52,9.545,9,43,10.552,7,149,2.438,887,1626,27.358
