,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,37.681999999999995,115,76,85,44,161,205,408,37.35,1.3399999999999999,1.5,0.77,2.84,3.61,7.32,50.46,0.9,17,50,67.31,10,45,40.739999999999995,49,313,31.310000000000002,1246,2434,102.15
1,Jason Robertson,RW,KGN/KGN/NIAG,37.304,118,83,59,37,142,179,556,30.25,1.44,1.04,0.63,2.49,3.12,9.49,75.53999999999999,1.29,16,66,48.53,18,106,32.42,49,384,26.35,5,20,50.0
2,Nick Suzuki,C,OS/GUE/OS,37.2,111,69,56,40,125,165,503,27.11,1.23,1.0,0.72,2.23,2.94,9.11,64.49,1.16,11,62,31.779999999999998,21,80,51.5,37,361,20.8,722,1345,107.36
3,Justin Brazeau,RW,NB,40.233000000000004,124,87,55,23,142,165,512,34.15,1.43,0.8899999999999999,0.39,2.33,2.71,8.31,69.48,1.12,27,95,57.56,20,97,42.72,40,320,25.25,39,101,64.44
4,Tye Felhaber,LW/RW,OTT,39.226,124,82,52,30,134,164,486,34.01,1.37,0.85,0.49,2.2199999999999998,2.71,7.890000000000001,57.83,0.94,15,58,51.9,20,78,53.33,47,350,26.86,74,145,101.58
5,Akil Thomas,RW/C,NIAG,36.406,119,51,61,51,112,163,359,29.12,0.8899999999999999,1.05,0.86,1.94,2.8,6.07,43.07,0.73,13,53,46.98,9,56,32.56,29,250,23.41,1028,1915,107.49000000000001
6,Ben Jones,C,NIAG,38.102999999999994,124,65,65,31,130,161,403,32.5,1.06,1.07,0.49,2.14,2.62,6.52,53.980000000000004,0.88,28,98,57.75,16,56,57.14,21,249,17.49,1335,2474,107.68
7,Kevin Hancock,LW/C,OS/LDN/OS,40.08,111,69,66,25,135,160,522,26.05,1.23,1.19,0.45,2.42,2.87,9.4,53.769999999999996,0.97,15,44,67.28999999999999,16,68,47.72,38,410,18.17,985,1721,114.56
8,Brandon Saigeon,C,HAM/HAM/OSH,39.510999999999996,123,71,50,34,121,155,476,29.83,1.1600000000000001,0.8200000000000001,0.56,1.98,2.55,7.77,53.14,0.86,14,49,59.14,18,62,61.36,39,365,21.29,1263,2424,103.45
9,Lucas Chiodo,LW,BAR/BAR/OTT,38.749,125,56,56,39,112,151,258,43.59,0.9,0.8999999999999999,0.63,1.7999999999999998,2.42,4.17,38.7,0.62,14,40,69.18,11,51,41.61,31,167,37.64,8,23,65.08
10,Kirill Maksimov,RW,NIAG,37.583,115,66,45,37,111,148,429,30.82,1.15,0.78,0.64,1.93,2.5700000000000003,7.470000000000001,49.3,0.86,10,45,45.24,11,53,41.64,45,331,27.3,8,30,68.18
11,Kyle Maksimovich,LW,ER/ER/OTT,40.037000000000006,122,66,46,32,112,144,361,36.94,1.0899999999999999,0.76,0.53,1.8599999999999999,2.39,5.91,44.18,0.73,7,45,31.17,24,71,68.27,35,245,28.869999999999997,97,259,72.50999999999999
12,Sasha Chmelevski,C,OTT,37.539,112,64,45,31,109,140,448,29.76,1.17,0.8600000000000001,0.54,2.02,2.5700000000000003,7.9399999999999995,52.900000000000006,0.94,12,62,39.25,14,75,37.6,38,311,25.94,1019,1737,117.94
13,Matthew Strome,LW,HAM,38.382999999999996,123,64,45,31,109,140,352,36.17,1.04,0.74,0.51,1.78,2.29,5.73,56.59,0.91,30,93,63.4,11,60,37.79,23,199,23.200000000000003,207,439,96.6
14,Arthur Kaliyev,RW,HAM,33.443,125,78,27,34,105,139,477,32.39,1.28,0.46,0.56,1.74,2.31,7.78,65.68,1.07,19,68,55.209999999999994,19,96,38.2,40,313,24.200000000000003,2,10,28.57
15,Anthony Salinitri,LW,SAR/OSH/SAR,40.06399999999999,125,67,35,32,102,134,420,31.61,1.0899999999999999,0.56,0.52,1.6600000000000001,2.18,6.8,56.32,0.9099999999999999,18,69,51.769999999999996,17,83,40.07,32,268,23.12,365,727,100.37
