"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Chris Terry","LW","LAV","28.441","62","32","27","12","59","71","217","14.75","0.52","0.44","0.19","0.95","1.15","3.5"
"","Teemu Pulkkinen","LW","CHI","25.703","75","29","25","11","54","65","212","13.68","0.39","0.33","0.15","0.72","0.87","2.83"
"","Daniel Sprong","RW","WBS","20.499","65","32","21","12","53","65","214","14.95","0.49","0.32","0.18","0.82","1.0","3.29"
"","Austin Czarnik","C","PRO","24.759","64","25","27","17","52","69","165","15.15","0.39","0.42","0.27","0.81","1.08","2.58"
"","Eric Tangradi","LW","GR","28.595","74","31","21","12","52","64","237","13.08","0.42","0.28","0.16","0.7","0.86","3.2"
"","Mason Appleton","C","MB","21.668","76","22","28","16","50","66","190","11.58","0.29","0.37","0.21","0.66","0.87","2.5"
"","Ben Smith","RW","TOR","29.181","73","27","23","9","50","59","147","18.37","0.37","0.32","0.12","0.68","0.81","2.01"
"","Phil Varone","C","LV","26.782","74","23","25","22","48","70","154","14.94","0.31","0.34","0.3","0.65","0.95","2.08"
"","Carter Camper","C","TUC/CLE","29.194","68","16","30","15","46","61","142","11.27","0.24","0.44","0.22","0.68","0.9","2.09"
"","Sam Anas","RW","IA","24.291","70","26","20","15","46","61","148","17.57","0.37","0.29","0.21","0.66","0.87","2.11"
"","T.J. Tynan","C","CHI","25.556","70","15","31","14","46","60","113","13.27","0.21","0.44","0.2","0.66","0.86","1.61"
"","Buddy Robinson","RW","MB","25.961","74","25","21","7","46","53","204","12.25","0.34","0.28","0.09","0.62","0.72","2.76"
"","Andrew Miller","RW","CHA","28.992","55","15","31","6","46","52","90","16.67","0.27","0.56","0.11","0.84","0.95","1.64"
"","Nick Lappin","RW","BNG","24.871","65","31","14","8","45","53","197","15.74","0.48","0.22","0.12","0.69","0.82","3.03"
"","Lucas Wallmark","C","CHA","22.029","45","17","27","11","44","55","95","17.89","0.38","0.6","0.24","0.98","1.22","2.11"
"","Greg Carey","LW","LV","27.448","72","31","13","9","44","53","189","16.4","0.43","0.18","0.12","0.61","0.74","2.62"
"","Andreas Johnsson","LW","TOR","22.818","54","26","17","11","43","54","132","19.7","0.48","0.31","0.2","0.8","1.0","2.44"
"","Adam Cracknell","RW","LAV/HFD","32.17","69","29","14","8","43","51","155","18.71","0.42","0.2","0.12","0.62","0.74","2.25"
"","Ben Street","C","GR","30.588","73","21","21","23","42","65","207","10.14","0.29","0.29","0.32","0.58","0.89","2.84"
"","Brandon Pirri","C","CHI","26.434","57","29","13","10","42","52","185","15.68","0.51","0.23","0.18","0.74","0.91","3.25"
"","Warren Foegele","F","CHA","21.457","73","28","14","4","42","46","160","17.5","0.38","0.19","0.05","0.58","0.63","2.19"
"","Reid Boucher","LW","UTI","24.02","45","25","17","4","42","46","181","13.81","0.56","0.38","0.09","0.93","1.02","4.02"
"","Cal O'Reilly","C","IA","30.96","75","15","26","23","41","64","94","15.96","0.2","0.35","0.31","0.55","0.85","1.25"
