,Unnamed: 0,#,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
491,606,,John Kurtz,LW,SYR,27.335,17,5,1,0,6,6,25,20.0,0.29,0.06,0.0,0.35,0.35,1.47
103,635,,Blake Siebenaler,D,CLE,20.551,43,3,2,1,5,6,62,4.84,0.07,0.05,0.02,0.12,0.14,1.44
932,638,,Stephen MacAulay,C,SPR,24.406,39,2,3,1,5,6,37,5.41,0.05,0.08,0.03,0.13,0.15,0.95
649,678,,Mark Fraser,D,BAK,29.964,65,3,1,2,4,6,58,5.17,0.05,0.02,0.03,0.06,0.09,0.89
219,669,,Clark Bishop,C,CHA,20.466,42,2,2,2,4,6,44,4.55,0.05,0.05,0.05,0.1,0.14,1.05
758,677,,Nick  Saracino,LW,IA,24.57,33,2,2,2,4,6,39,5.13,0.06,0.06,0.06,0.12,0.18,1.18
641,676,,Marco Roy,LW,UTI,21.862,23,1,3,2,4,6,24,4.17,0.04,0.13,0.09,0.17,0.26,1.04
881,637,,Ryan Rupert,C,BNG,22.289,33,3,2,1,5,6,39,7.69,0.09,0.06,0.03,0.15,0.18,1.18
637,604,,Malte Stromwall,RW,HFD,22.062,44,2,4,0,6,6,56,3.57,0.05,0.09,0.0,0.14,0.14,1.27
312,673,,Dominik Masin,D,SYR,20.622,69,3,1,2,4,6,57,5.26,0.04,0.01,0.03,0.06,0.09,0.83
942,708,,Stu Bickel,D,SD,29.955,26,2,1,3,3,6,28,7.14,0.08,0.04,0.12,0.12,0.23,1.08
43,760,,Alexx Privitera,D,ONT,23.658,19,0,2,4,2,6,25,0.0,0.0,0.11,0.21,0.11,0.32,1.32
367,709,,Gabriel Gagne,RW,BNG,19.844,41,2,1,3,3,6,50,4.0,0.05,0.02,0.07,0.07,0.15,1.22
1030,671,,Viktor Loov,D,TOR/ALB,23.831,51,2,2,2,4,6,50,4.0,0.04,0.04,0.04,0.08,0.12,0.98
136,670,,Brendan Woods,C,CHA,24.263,24,3,1,2,4,6,29,10.34,0.12,0.04,0.08,0.17,0.25,1.21
760,668,,Nick Jensen,D,GR,25.985,27,1,3,2,4,6,44,2.27,0.04,0.11,0.07,0.15,0.22,1.63
816,757,,Petter Granberg,D,MIL,24.053,50,1,1,4,2,6,25,4.0,0.02,0.02,0.08,0.04,0.12,0.5
400,717,,Hunter Fejes,LW,TUC,22.295,19,1,2,2,3,5,16,6.25,0.05,0.11,0.11,0.16,0.26,0.84
720,716,,Mike Aviani,C,RCH,23.442,13,2,1,2,3,5,11,18.18,0.15,0.08,0.15,0.23,0.38,0.85
722,714,,Mike Borkowski,C,GR,24.397,51,3,0,2,3,5,46,6.52,0.06,0.0,0.04,0.06,0.1,0.9
487,689,,Joey Benik,LW,BAK,24.638,21,4,0,1,4,5,37,10.81,0.19,0.0,0.05,0.19,0.24,1.76
766,814,,Nick Seeler,D,IA,23.286,57,0,1,4,1,5,46,0.0,0.0,0.02,0.07,0.02,0.09,0.81
204,690,,Chris DeSousa,C,RFD,25.909,36,4,0,1,4,5,53,7.55,0.11,0.0,0.03,0.11,0.14,1.47
782,686,,Nolan Zajac,D,HER/IA/MB,24.124,11,1,3,1,4,5,11,9.09,0.09,0.27,0.09,0.36,0.45,1.0
141,679,,Brett Gallant,LW,CLE,27.716,50,3,1,1,4,5,40,7.5,0.06,0.02,0.02,0.08,0.1,0.8
499,642,,Jon Martin,RW,SJ,21.065,26,2,3,0,5,5,21,9.52,0.08,0.12,0.0,0.19,0.19,0.81
494,711,,John Negrin,D,UTI,27.478,22,0,3,2,3,5,19,0.0,0.0,0.14,0.09,0.14,0.23,0.86
981,913,,Tommy Hughes,D,HFD,24.441,53,0,0,5,0,5,39,0.0,0.0,0.0,0.09,0.0,0.09,0.74
51,761,,Andrew Copp,C,MB,22.191,8,0,2,3,2,5,13,0.0,0.0,0.25,0.38,0.25,0.62,1.62
933,683,,Stephen Perfetto,C,MIL/SA,25.126,13,3,1,1,4,5,16,18.75,0.23,0.08,0.08,0.31,0.38,1.23
86,645,,Austin Ortega,RW,SD,22.429,6,4,1,0,5,5,13,30.77,0.67,0.17,0.0,0.83,0.83,2.17
754,640,,Nic Petan,C,MB,21.487,9,4,1,0,5,5,20,20.0,0.44,0.11,0.0,0.56,0.56,2.22
621,719,,Luc Snuggerud,D,RFD,20.994,13,1,2,2,3,5,18,5.56,0.08,0.15,0.15,0.23,0.38,1.38
630,721,,Luke Witkowski,D,SYR,26.424,19,0,3,2,3,5,24,0.0,0.0,0.16,0.11,0.16,0.26,1.26
835,684,,Reid Boucher,LW,MIL,23.02,5,4,0,1,4,5,13,30.77,0.8,0.0,0.2,0.8,1.0,2.6
16,681,,Adam Pelech,D,BRI,22.084,13,1,3,1,4,5,27,3.7,0.08,0.23,0.08,0.31,0.38,2.08
300,641,,Derek Hulak,LW,UTI,27.037,17,4,1,0,5,5,16,25.0,0.24,0.06,0.0,0.29,0.29,0.94
826,713,,Pierre-Luc Letourneau-Leblond,LW,SYR/TOR,31.283,38,1,2,2,3,5,21,4.76,0.03,0.05,0.05,0.08,0.13,0.55
21,687,,Akim Aliu,RW,CLE,27.395,13,3,1,1,4,5,20,15.0,0.23,0.08,0.08,0.31,0.38,1.54
162,762,,Bryce Aneloski,D,BAK,26.388,35,1,1,3,2,5,25,4.0,0.03,0.03,0.09,0.06,0.14,0.71
1047,680,,William Carrier,LW,RCH,21.739,8,3,1,1,4,5,13,23.08,0.38,0.12,0.12,0.5,0.62,1.62
738,722,,Milan Michalek,LW,TOR,31.773000000000003,16,2,1,2,3,5,25,8.0,0.12,0.06,0.12,0.19,0.31,1.56
271,685,,Daniel Ciampini,LW,ONT,25.808000000000003,23,1,3,1,4,5,27,3.7,0.04,0.13,0.04,0.17,0.22,1.17
355,646,,Francis Beauvillier,LW,MB,22.9,9,4,1,0,5,5,11,36.36,0.44,0.11,0.0,0.56,0.56,1.22
811,643,,Pavel Buchnevich,RW,HFD,21.416,4,3,2,0,5,5,10,30.0,0.75,0.5,0.0,1.25,1.25,2.5
1034,720,,Vince Pedrie,D,HFD,22.662,9,0,3,2,3,5,23,0.0,0.0,0.33,0.22,0.33,0.56,2.56
53,813,,Andrew MacWilliam,D,ALB,26.478,63,0,1,4,1,5,61,0.0,0.0,0.02,0.06,0.02,0.08,0.97
889,712,,Sam Jardine,D,SA,23.094,27,3,0,2,3,5,32,9.38,0.11,0.0,0.07,0.11,0.19,1.19
682,682,,Matt Leitner,C,SPR,25.802,17,0,4,1,4,5,14,0.0,0.0,0.24,0.06,0.24,0.29,0.82
891,644,,Sam Vigneault,C,CLE,21.024,16,1,4,0,5,5,20,5.0,0.06,0.25,0.0,0.31,0.31,1.25
375,718,,Gavin Bayreuther,D,TEX,22.347,15,2,1,2,3,5,17,11.76,0.13,0.07,0.13,0.2,0.33,1.13
80,914,,Ashton Sautner,D,UTI,22.306,47,0,0,5,0,5,48,0.0,0.0,0.0,0.11,0.0,0.11,1.02
796,715,,Patrick Cullity,D,BRI,29.638,36,0,3,2,3,5,29,0.0,0.0,0.08,0.06,0.08,0.14,0.81
1007,688,,Ty Ronning,RW,HFD,18.905,12,2,2,1,4,5,23,8.7,0.17,0.17,0.08,0.33,0.42,1.92
1006,691,,Ty Rattie,RW,CHI,23.609,22,2,2,1,4,5,51,3.92,0.09,0.09,0.05,0.18,0.23,2.32
616,729,,Lindsay Sparks,F,TUC,26.106,22,1,2,1,3,4,15,6.67,0.05,0.09,0.05,0.14,0.18,0.68
799,699,,Patrick McGrath,RW,WBS,23.499,30,1,3,0,4,4,20,5.0,0.03,0.1,0.0,0.13,0.13,0.67
928,764,,Stefan Fournier,RW,SYR/TUC,24.378,32,2,0,2,2,4,29,6.9,0.06,0.0,0.06,0.06,0.12,0.91
909,767,,Sergey Kalinin,C,TOR,25.501,19,2,0,2,2,4,17,11.76,0.11,0.0,0.11,0.11,0.21,0.89
221,727,,Cody Bass,RW,MIL,29.69,13,2,1,1,3,4,19,10.53,0.15,0.08,0.08,0.23,0.31,1.46
389,769,,Gus Young,D,CHI/SA,25.186,29,1,1,2,2,4,22,4.55,0.03,0.03,0.07,0.07,0.14,0.76
383,695,,Greg McKegg,C,SPR,24.247,7,2,2,0,4,4,9,22.22,0.29,0.29,0.0,0.57,0.57,1.29
443,735,,Jansen Harkins,C,MB,19.316,4,2,1,1,3,4,6,33.33,0.5,0.25,0.25,0.75,1.0,1.5
369,723,,Garret Ross,LW,TUC,24.307,27,1,2,1,3,4,33,3.03,0.04,0.07,0.04,0.11,0.15,1.22
257,693,,Curtis  Lazar,C,BNG,21.619,13,3,1,0,4,4,30,10.0,0.23,0.08,0.0,0.31,0.31,2.31
285,737,,Darren Kramer,LW,MB,24.825,42,3,0,1,3,4,35,8.57,0.07,0.0,0.02,0.07,0.1,0.83
286,732,,Darren Nowick,C,BRI,24.901,13,3,0,1,3,4,16,18.75,0.23,0.0,0.08,0.23,0.31,1.23
824,698,,Philippe Maillet,C,ONT,23.855,8,2,2,0,4,4,16,12.5,0.25,0.25,0.0,0.5,0.5,2.0
328,694,,Emerson Clark,LW,CHI/UTI,23.746,12,2,2,0,4,4,5,40.0,0.17,0.17,0.0,0.33,0.33,0.42
326,739,,Ed Wittchow,D,SPR,23.875,38,2,1,1,3,4,42,4.76,0.05,0.03,0.03,0.08,0.11,1.11
745,815,,Mitchell Heard,C,CHA,24.512,36,0,1,3,1,4,37,0.0,0.0,0.03,0.08,0.03,0.11,1.03
474,728,,Joe Diamond,F,SPR,27.25,7,1,2,1,3,4,6,16.67,0.14,0.29,0.14,0.43,0.57,0.86
743,817,,Mitch Hults,C,SD,21.84,6,1,0,3,1,4,6,16.67,0.17,0.0,0.5,0.17,0.67,1.0
554,692,,Justin Kea,C,RCH,22.604,12,2,2,0,4,4,9,22.22,0.17,0.17,0.0,0.33,0.33,0.75
994,730,,Trevor Cheek,LW,TUC,23.713,23,0,3,1,3,4,18,0.0,0.0,0.13,0.04,0.13,0.17,0.78
160,731,,Bryan Bickell,LW,CHA,30.522,10,1,2,1,3,4,3,33.33,0.1,0.2,0.1,0.3,0.4,0.3
1019,768,,Tyler Moy,RW,MIL,21.164,3,1,1,2,2,4,8,12.5,0.33,0.33,0.67,0.67,1.33,2.67
44,765,,Allan McPherson,C,TEX/HFD,25.441,29,1,1,2,2,4,18,5.56,0.03,0.03,0.07,0.07,0.14,0.62
667,733,,Matheson Iacopelli,LW,RFD,22.339,8,1,2,1,3,4,20,5.0,0.12,0.25,0.12,0.38,0.5,2.5
662,738,,Mason Geertsen,D,SA,21.41,36,0,3,1,3,4,25,0.0,0.0,0.08,0.03,0.08,0.11,0.69
1039,736,,Vitaly Abramov,RW,CLE,18.358,4,1,2,1,3,4,5,20.0,0.25,0.5,0.25,0.75,1.0,1.25
963,724,,Thomas Schemitsch,D,SPR,19.888,37,1,2,1,3,4,30,3.33,0.03,0.05,0.03,0.08,0.11,0.81
34,816,,Alex Schoenborn,RW,SJ,20.762,29,1,0,3,1,4,24,4.17,0.03,0.0,0.1,0.03,0.14,0.83
20,696,,Ahti Oksanen,LW,HFD,23.519,15,2,2,0,4,4,21,9.52,0.13,0.13,0.0,0.27,0.27,1.4
1058,697,,Zac Lynch,LW,SPR,24.504,21,3,1,0,4,4,16,18.75,0.14,0.05,0.0,0.19,0.19,0.76
603,763,,Kyle Hagel,LW,CHA,31.65,24,1,1,2,2,4,13,7.69,0.04,0.04,0.08,0.08,0.17,0.54
6,766,,Adam Chapie,RW,HFD,25.197,24,0,2,2,2,4,7,0.0,0.0,0.08,0.08,0.08,0.17,0.29
1071,725,,Zack Stortini,RW,SJ/BNG,31.012,48,3,0,1,3,4,34,8.82,0.06,0.0,0.02,0.06,0.08,0.71
502,726,,Jonathan Diaby,D,MIL,21.832,21,2,1,1,3,4,15,13.33,0.1,0.05,0.05,0.14,0.19,0.71
81,740,,Austen Brassard,RW,SD,23.669,20,2,1,1,3,4,15,13.33,0.1,0.05,0.05,0.15,0.2,0.75
142,734,,Brett Howden,C,SYR,18.467,5,3,0,1,3,4,14,21.43,0.6,0.0,0.2,0.6,0.8,2.8
931,747,,Stephen Johns,D,TEX,24.411,2,3,0,0,3,3,5,60.0,1.5,0.0,0.0,1.5,1.5,2.5
575,777,,Kenny Ryan,RW,SD,25.186,8,2,0,1,2,3,15,13.33,0.25,0.0,0.12,0.25,0.38,1.88
70,825,,Anthony Louis,C,RFD,21.597,13,1,0,2,1,3,28,3.57,0.08,0.0,0.15,0.08,0.23,2.15
372,829,,Garrett Noonan,D,HFD,25.632,26,0,1,2,1,3,19,0.0,0.0,0.04,0.08,0.04,0.12,0.73
64,822,,Anthony Bitetto,D,MIL,26.172,3,1,0,2,1,3,8,12.5,0.33,0.0,0.67,0.33,1.0,2.67
423,782,,Jake Bischoff,D,BRI,22.144,6,2,0,1,2,3,9,22.22,0.33,0.0,0.17,0.33,0.5,1.5
804,823,,Patrik Nemeth,D,TEX,24.603,4,1,0,2,1,3,7,14.29,0.25,0.0,0.5,0.25,0.75,1.75
930,748,,Stephen Gionta,C,BRI,32.937,7,1,2,0,3,3,11,9.09,0.14,0.29,0.0,0.43,0.43,1.57
806,915,,Paul Bittner,LW,CLE,19.864,31,0,0,3,0,3,32,0.0,0.0,0.0,0.1,0.0,0.1,1.03
756,784,,Nicholas Caamano,RW,TEX,18.024,6,0,2,1,2,3,7,0.0,0.0,0.33,0.17,0.33,0.5,1.17
261,775,,Damir Sharipzianov,D,ONT,20.578000000000007,38,0,2,1,2,3,27,0.0,0.0,0.05,0.03,0.05,0.08,0.71
552,741,,Justin Hickman,RW,PRO,22.497,25,2,1,0,3,3,24,8.33,0.08,0.04,0.0,0.12,0.12,0.96
432,754,,Jake Walman,D,CHI,20.57,7,2,1,0,3,3,12,16.67,0.29,0.14,0.0,0.43,0.43,1.71
31,752,,Alex Kile,LW,RCH,22.188,11,2,1,0,3,3,12,16.67,0.18,0.09,0.0,0.27,0.27,1.09
1051,827,,Yakov Trenin,C,MIL,19.672,5,1,0,2,1,3,8,12.5,0.2,0.0,0.4,0.2,0.6,1.6
240,753,,Colin White,C,BNG,19.625,3,1,2,0,3,3,5,20.0,0.33,0.67,0.0,1.0,1.0,1.67
335,778,,Eric Faille,RW,TOR,27.138,11,1,1,1,2,3,14,7.14,0.09,0.09,0.09,0.18,0.27,1.27
578,783,,Kevin Connauton,D,TUC,26.56,2,1,1,1,2,3,6,16.67,0.5,0.5,0.5,1.0,1.5,3.0
863,781,,Ryan Carter,LW,IA,33.12,18,1,1,1,2,3,28,3.57,0.06,0.06,0.06,0.11,0.17,1.56
640,818,,Marc-Andre Cliche,C,TOR,29.485,16,1,0,2,1,3,18,5.56,0.06,0.0,0.12,0.06,0.19,1.12
304,824,,Devin Setoguchi,RW,ONT,29.706,9,0,1,2,1,3,10,0.0,0.0,0.11,0.22,0.11,0.33,1.11
310,776,,Domenic Monardo,LW,HER,27.943,11,0,2,1,2,3,8,0.0,0.0,0.18,0.09,0.18,0.27,0.73
590,770,,Kevin Tansey,D,CHI,23.562,19,1,1,1,2,3,18,5.56,0.05,0.05,0.05,0.11,0.16,0.95
453,744,,Jayson Megna,RW,UTI,26.621,4,1,2,0,3,3,3,33.33,0.25,0.5,0.0,0.75,0.75,0.75
325,742,,Dysin Mayo,D,TUC,20.08,25,1,2,0,3,3,26,3.85,0.04,0.08,0.0,0.12,0.12,1.04
313,826,,Dominik Shine,RW,GR,23.412,8,0,1,2,1,3,16,0.0,0.0,0.12,0.25,0.12,0.38,2.0
315,750,,Drew Miller,LW,GR,32.578,7,2,1,0,3,3,8,25.0,0.29,0.14,0.0,0.43,0.43,1.14
843,771,,Rihards Bukarts,LW,SPR,20.71,14,0,2,1,2,3,15,0.0,0.0,0.14,0.07,0.14,0.21,1.07
619,773,,Loic Leduc,D,BRI,22.256,33,1,1,1,2,3,40,2.5,0.03,0.03,0.03,0.06,0.09,1.21
171,819,,Calle Andersson,D,HFD,22.336,4,0,1,2,1,3,7,0.0,0.0,0.25,0.5,0.25,0.75,1.75
805,916,,Paul Bissonnette,LW,ONT,31.516,18,0,0,3,0,3,16,0.0,0.0,0.0,0.17,0.0,0.17,0.89
849,746,,Rob Scuderi,D,ONT,37.712,15,0,3,0,3,3,4,0.0,0.0,0.2,0.0,0.2,0.2,0.27
388,774,,Guillaume Lepine,D,BNG,29.528,54,1,1,1,2,3,63,1.59,0.02,0.02,0.02,0.04,0.06,1.17
1004,772,,Turner Elson,LW,SA,24.006,13,1,1,1,2,3,21,4.76,0.08,0.08,0.08,0.15,0.23,1.62
489,820,,Joey Leach,D,HER,24.63,18,0,1,2,1,3,8,0.0,0.0,0.06,0.11,0.06,0.17,0.44
775,743,,Nikita Soshnikov,RW,TOR,22.922,6,1,2,0,3,3,11,9.09,0.17,0.33,0.0,0.5,0.5,1.83
397,745,,Henrik Samuelsson,LW,BAK/TUC,22.604,25,2,1,0,3,3,20,10.0,0.08,0.04,0.0,0.12,0.12,0.8
975,821,,Tom Nilsson,D,UTI,23.075,17,0,1,2,1,3,10,0.0,0.0,0.06,0.12,0.06,0.18,0.59
198,828,,Chris Breen,D,PRO,27.215,37,1,0,2,1,3,40,2.5,0.03,0.0,0.05,0.03,0.08,1.08
117,917,,Brandon Anselmini,D,TEX,23.434,10,0,0,3,0,3,18,0.0,0.0,0.0,0.3,0.0,0.3,1.8
476,785,,Joe Gambardella,C,BAK,22.777,6,1,1,1,2,3,7,14.29,0.17,0.17,0.17,0.33,0.5,1.17
703,779,,Michael Brodzinski,D,SJ,21.304,9,0,2,1,2,3,13,0.0,0.0,0.22,0.11,0.22,0.33,1.44
385,751,,Greger Hanson,RW,SD/CHI/CHA/BNG,28.578000000000007,12,1,2,0,3,3,24,4.17,0.08,0.17,0.0,0.25,0.25,2.0
129,749,,Brendan Gaunce,LW,UTI,23.478,4,2,1,0,3,3,15,13.33,0.5,0.25,0.0,0.75,0.75,3.75
207,780,,Chris McCarthy,C,LV,25.131,17,1,1,1,2,3,11,9.09,0.06,0.06,0.06,0.12,0.18,0.65
289,846,,David Pacan,RW,SYR,25.463,6,0,1,1,1,2,4,0.0,0.0,0.17,0.17,0.17,0.33,0.67
925,923,,Spiro Goulakos,D,HFD,26.58,8,0,0,2,0,2,8,0.0,0.0,0.0,0.25,0.0,0.25,1.0
1065,851,,Zach Pochiro,C,BAK,22.53,4,0,1,1,1,2,3,0.0,0.0,0.25,0.25,0.25,0.5,0.75
13,800,,Adam Ollas Mattsson,D,STK,20.129,9,1,1,0,2,2,8,12.5,0.11,0.11,0.0,0.22,0.22,0.89
970,854,,Tim Wallace,RW,BRI,32.11,7,1,0,1,1,2,7,14.29,0.14,0.0,0.14,0.14,0.29,1.0
948,796,,Tage Thompson,C,CHI,18.878,16,1,1,0,2,2,21,4.76,0.06,0.06,0.0,0.12,0.12,1.31
191,804,,Charlie McAvoy,D,PRO,18.735,4,0,2,0,2,2,5,0.0,0.0,0.5,0.0,0.5,0.5,1.25
1069,837,,Zach Trotman,D,ONT,26.057,9,0,1,1,1,2,8,0.0,0.0,0.11,0.11,0.11,0.22,0.89
161,847,,Bryan Moore,LW,SJ/MB,22.311,4,1,0,1,1,2,7,14.29,0.25,0.0,0.25,0.25,0.5,1.75
164,834,,Bryce Van Brabant,LW,TEX,24.844,21,1,0,1,1,2,20,5.0,0.05,0.0,0.05,0.05,0.1,0.95
2,918,,A.J. White,LW,PRO,24.408,12,0,0,2,0,2,8,0.0,0.0,0.0,0.17,0.0,0.17,0.67
867,801,,Ryan Fitzgerald,C,PRO,21.909,8,0,2,0,2,2,4,0.0,0.0,0.25,0.0,0.25,0.25,0.5
130,806,,Brendan Guhle,D,RCH,19.132,6,1,1,0,2,2,16,6.25,0.17,0.17,0.0,0.33,0.33,2.67
954,859,,Taylor Doherty,D,PRO,25.542,10,0,1,1,1,2,9,0.0,0.0,0.1,0.1,0.1,0.2,0.9
190,924,,Charles-David Beaudoin,D,BNG,22.681,6,0,0,2,0,2,7,0.0,0.0,0.0,0.33,0.0,0.33,1.17
82,803,,Austin Cangelosi,F,ALB,22.054,8,0,2,0,2,2,7,0.0,0.0,0.25,0.0,0.25,0.25,0.88
116,849,,Brandon Alderson,RW,SYR/TEX/HFD,24.649,13,0,1,1,1,2,11,0.0,0.0,0.08,0.08,0.08,0.15,0.85
114,839,,Brady Vail,C,RCH,22.517,18,1,0,1,1,2,9,11.11,0.06,0.0,0.06,0.06,0.11,0.5
72,832,,Anthony Peluso,RW,MB,27.412,22,0,1,1,1,2,26,0.0,0.0,0.05,0.05,0.05,0.09,1.18
1015,797,,Tyler Kelleher,RW,MIL,21.703000000000007,6,0,2,0,2,2,7,0.0,0.0,0.33,0.0,0.33,0.33,1.17
1002,798,,Troy Josephs,C,WBS,22.355,13,1,1,0,2,2,20,5.0,0.08,0.08,0.0,0.15,0.15,1.54
897,786,,Scott Czarnowczan,D,IA,25.301,11,0,2,0,2,2,4,0.0,0.0,0.18,0.0,0.18,0.18,0.36
88,805,,Axel Holmstrom,C,GR,20.214,7,1,1,0,2,2,9,11.11,0.14,0.14,0.0,0.29,0.29,1.29
227,808,,Colby McAuley,RW,SJ,20.302,4,0,2,0,2,2,1,0.0,0.0,0.5,0.0,0.5,0.5,0.25
961,812,,Thomas DiPauli,C,WBS,22.382,21,2,0,0,2,2,22,9.09,0.1,0.0,0.0,0.1,0.1,1.05
992,836,,Trent Vogelhuber,RW,SA,28.176,15,0,1,1,1,2,18,0.0,0.0,0.07,0.07,0.07,0.13,1.2
101,843,,Blake Kessel,D,MIL,27.426,8,0,1,1,1,2,5,0.0,0.0,0.12,0.12,0.12,0.25,0.62
260,844,,Dalton Prout,D,CLE,26.511,7,0,1,1,1,2,9,0.0,0.0,0.14,0.14,0.14,0.29,1.29
1035,855,,Vincent Dunn,LW,BNG,21.005,8,0,1,1,1,2,3,0.0,0.0,0.12,0.12,0.12,0.25,0.38
937,848,,Steve Weinstein,D,HER,26.092,5,0,1,1,1,2,1,0.0,0.0,0.2,0.2,0.2,0.4,0.2
146,922,,Brett Stern,D,WBS,24.54,17,0,0,2,0,2,25,0.0,0.0,0.0,0.12,0.0,0.12,1.47
268,792,,Daniel  Maggio,RW,TOR,25.536,4,1,1,0,2,2,5,20.0,0.25,0.25,0.0,0.5,0.5,1.25
41,841,,Alexandre Ranger,RW,STJ/SA,21.079,15,1,0,1,1,2,11,9.09,0.07,0.0,0.07,0.07,0.13,0.73
940,857,,Steven Santini,D,ALB,21.528,20,0,1,1,1,2,23,0.0,0.0,0.05,0.05,0.05,0.1,1.15
282,811,,Darcy Murphy,LW,MB,24.061,8,1,1,0,2,2,12,8.33,0.12,0.12,0.0,0.25,0.25,1.5
984,795,,Tony Turgeon,LW,SPR,26.985,12,2,0,0,2,2,9,22.22,0.17,0.0,0.0,0.17,0.17,0.75
28,838,,Alex Gallant,LW,SJ,23.771,29,0,1,1,1,2,14,0.0,0.0,0.03,0.03,0.03,0.07,0.48
978,791,,Tomas Jurco,LW,GR,23.716,2,1,1,0,2,2,7,14.29,0.5,0.5,0.0,1.0,1.0,3.5
321,845,,Dylan Labbe,D,IA,21.684,16,0,1,1,1,2,7,0.0,0.0,0.06,0.06,0.06,0.12,0.44
359,793,,Frank Vatrano,C,PRO,22.508000000000006,2,2,0,0,2,2,8,25.0,1.0,0.0,0.0,1.0,1.0,4.0
675,810,,Matt Caito,D,GR,23.092,13,1,1,0,2,2,20,5.0,0.08,0.08,0.0,0.15,0.15,1.54
657,833,,Marko Dano,LW,MB,21.794,6,0,1,1,1,2,12,0.0,0.0,0.17,0.17,0.17,0.33,2.0
429,853,,Jake Kulevich,D,MB,23.587,11,0,1,1,1,2,6,0.0,0.0,0.09,0.09,0.09,0.18,0.55
558,790,,Justin Selman,C,CHI,22.955,17,1,1,0,2,2,13,7.69,0.06,0.06,0.0,0.12,0.12,0.76
392,852,,Hampus Gustafsson,C,HER,22.889,10,0,1,1,1,2,9,0.0,0.0,0.1,0.1,0.1,0.2,0.9
550,835,,Justin Hache,D,TUC/TEX,22.681,17,0,1,1,1,2,16,0.0,0.0,0.06,0.06,0.06,0.12,0.94
673,856,,Matt Benning,D,BAK,22.311,2,1,0,1,1,2,8,12.5,0.5,0.0,0.5,0.5,1.0,4.0
545,802,,Justin Danforth,C,BRI/RCH,23.505,6,2,0,0,2,2,11,18.18,0.33,0.0,0.0,0.33,0.33,1.83
567,919,,Keegan Kanzig,D,STK,21.553,6,0,0,2,0,2,3,0.0,0.0,0.0,0.33,0.0,0.33,0.5
354,799,,Filip Hronek,D,GR,18.87,10,1,1,0,2,2,11,9.09,0.1,0.1,0.0,0.2,0.2,1.1
737,787,,Mikko Rantanen,LW,SA,19.88,4,0,2,0,2,2,7,0.0,0.0,0.5,0.0,0.5,0.5,1.75
473,842,,Joe Devin,LW,CLE/SA,28.948,20,1,0,1,1,2,16,6.25,0.05,0.0,0.05,0.05,0.1,0.8
692,830,,Matthew Lane,C,RCH,22.506,15,0,1,1,1,2,10,0.0,0.0,0.07,0.07,0.07,0.13,0.67
384,794,,Greg Wolfe,C,ALB,26.393,11,1,1,0,2,2,11,9.09,0.09,0.09,0.0,0.18,0.18,1.0
511,807,,Jordan Murray,D,BNG,23.746,5,1,1,0,2,2,8,12.5,0.2,0.2,0.0,0.4,0.4,1.6
565,840,,Kayle Doetzel,D,STK,21.243,56,0,1,1,1,2,29,0.0,0.0,0.02,0.02,0.02,0.04,0.52
435,809,,Jalen Smereck,D,TUC,19.666,2,1,1,0,2,2,6,16.67,0.5,0.5,0.0,1.0,1.0,3.0
654,831,,Mark Naclerio,C,PRO,24.45,10,1,0,1,1,2,8,12.5,0.1,0.0,0.1,0.1,0.2,0.8
647,920,,Mark Cooper,F,TUC,24.307,10,0,0,2,0,2,9,0.0,0.0,0.0,0.2,0.0,0.2,0.9
581,788,,Kevin Gravel,D,ONT,24.529,6,0,2,0,2,2,6,0.0,0.0,0.33,0.0,0.33,0.33,1.0
608,850,,Kyle Thomas,RW,CLE,26.623,12,1,0,1,1,2,14,7.14,0.08,0.0,0.08,0.08,0.17,1.17
634,921,,Macoy Erkamps,D,BNG,21.619,11,0,0,2,0,2,9,0.0,0.0,0.0,0.18,0.0,0.18,0.82
842,858,,Rick Pinkston,D,MIL,25.95,20,0,1,1,1,2,9,0.0,0.0,0.05,0.05,0.05,0.1,0.45
416,926,,Jacob Larsson,D,SD,19.382,4,0,0,2,0,2,9,0.0,0.0,0.0,0.5,0.0,0.5,2.25
839,925,,Reid Sturos,RW,TEX,24.105,9,0,0,2,0,2,11,0.0,0.0,0.0,0.22,0.0,0.22,1.22
415,789,,Jacob Graves,D,CLE,21.471,19,1,1,0,2,2,12,8.33,0.05,0.05,0.0,0.11,0.11,0.63
184,872,,Cason Hohmann,RW,CHA,23.68,2,0,1,0,1,1,3,0.0,0.0,0.5,0.0,0.5,0.5,1.5
406,877,,Iiro Pakarinen,RW,BAK,25.06,5,0,1,0,1,1,10,0.0,0.0,0.2,0.0,0.2,0.2,2.0
716,873,,Miikka Salomaki,LW,MIL,23.521,4,1,0,0,1,1,5,20.0,0.25,0.0,0.0,0.25,0.25,1.25
482,867,,Joel Eriksson Ek,C,IA,23.628,1,1,0,0,1,1,2,50.0,1.0,0.0,0.0,1.0,1.0,2.0
479,882,,Joe Morrow,D,PRO,23.768,3,1,0,0,1,1,8,12.5,0.33,0.0,0.0,0.33,0.33,2.67
846,887,,Rob Flick,LW,MB,25.471,5,1,0,0,1,1,6,16.67,0.2,0.0,0.0,0.2,0.2,1.2
137,880,,Brenden  Miller,D,TOR,22.467,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
