,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Sault Ste. Marie Greyhounds,136,98,121.09,599,390,209,108.50999999999999,4718,3979,739,24.41,1.8089999999999997,205.28,115.99000000000001,531.8299999999999,385.15,146.68,22.67,1.806,203.26,40.177,0.5219999999999999,5.149,0.08399999999999999,157,85,72,129.7,586,472,114,110.78,51.39,1.6460000000000001,114,85,29,115.13,608,460,148,113.9,37.04,1.637,328,220,108,119.42,3524,3047,477,107.27,17.83,1.8599999999999999
1,London Knights,136,82,112.66,519,400,119,98.78,4264,4363,-99,23.22,1.822,205.43,106.53,474.2,415.20000000000005,59.0,22.35,1.8089999999999997,203.26,19.801,0.262,28.200000000000003,0.388,119,90,29,113.88999999999999,570,411,159,116.46,40.59,1.581,113,88,25,114.5,571,548,23,102.00999999999999,39.29,1.689,287,222,65,112.49,3123,3404,-281,95.62,17.1,1.873
2,Owen Sound Attack,136,82,116.94,581,417,164,117.33,5209,3671,1538,21.62,1.78,199.57999999999998,119.56,546.98,368.03,178.95,21.08,1.799,200.95,14.023,0.163,-35.972,-0.5770000000000001,116,102,14,106.18,562,425,137,113.93,40.03,1.523,142,85,57,125.22999999999999,666,495,171,114.82,42.17,1.657,323,230,93,118.04,3981,2751,1230,118.30000000000001,15.580000000000002,1.8409999999999997
3,Kitchener Rangers,136,76,102.32,487,466,21,97.17,4196,4437,-241,22.85,1.798,202.67,101.19,467.78999999999996,456.63,11.16,22.36,1.794,201.69,9.205000000000002,0.14800000000000002,10.626000000000001,0.14900000000000002,118,121,-3,98.57,543,539,4,100.38,43.09,1.5590000000000002,111,102,9,104.21000000000001,643,537,106,108.43,35.03,1.6230000000000002,258,243,15,103.27,3010,3361,-351,94.47,16.61,1.865
4,Windsor Spitfires,136,71,104.9,444,404,40,98.47,3988,4110,-122,21.7,1.812,202.92000000000002,98.41,420.23,435.34000000000003,-15.11,21.09,1.788,199.89,10.769000000000002,0.18,50.342,0.731,114,100,14,107.32,512,523,-11,99.91,43.5,1.6360000000000001,95,89,6,104.58,535,591,-56,96.33,35.2,1.704,235,215,20,104.46000000000001,2941,2996,-55,98.98,15.45,1.865
5,Hamilton Bulldogs,136,70,106.5,484,425,59,107.66999999999999,4591,3933,658,20.630000000000003,1.7879999999999998,199.38,111.43,499.87,396.04,103.83,21.8,1.798,201.62,-27.868000000000002,-0.354,-20.966,-0.31499999999999995,152,103,49,119.03999999999999,645,446,199,117.82,46.849999999999994,1.548,110,92,18,108.88,683,505,178,114.64,32.2,1.639,222,230,-8,98.38,3263,2982,281,104.5,13.09,1.8490000000000002
6,Oshawa Generals,136,69,101.66999999999999,471,456,15,97.53,4328,4546,-218,20.77,1.804,201.18,99.6,433.02,436.32,-3.3000000000000007,20.15,1.807,200.89999999999998,12.977,0.185,-7.675999999999998,-0.10199999999999998,129,121,8,102.5,510,453,57,105.89,48.16,1.476,104,97,7,102.94,573,573,0,99.92,34.82,1.665,238,238,0,100.03999999999999,3245,3520,-275,95.88,13.829999999999998,1.8689999999999998
7,Sarnia Sting,136,68,105.9,547,488,59,95.03,4388,4843,-455,24.65,1.806,205.18,101.59,505.22,488.16,17.060000000000002,23.020000000000003,1.7969999999999997,202.8,35.78,0.49,17.157999999999994,0.222,164,111,53,119.13,603,520,83,107.12,54.269999999999996,1.583,113,106,7,102.31,680,605,75,105.82,32.84,1.6510000000000002,270,271,-1,100.38,3105,3718,-613,91.01,17.1,1.8609999999999998
8,Erie Otters,136,66,108.3,532,448,84,107.93,4440,3792,648,23.27,1.769,200.26,110.47,498.7,404.58000000000004,94.13000000000001,22.490000000000002,1.786,201.17000000000002,21.297,0.23600000000000004,-34.425,-0.507,127,114,13,106.17,571,453,118,111.84,44.21,1.51,109,97,12,106.02000000000001,617,628,-11,100.11,34.86,1.697,296,237,59,109.82,3252,2711,541,108.87,17.36,1.83
9,Kingston Frontenacs,136,64,102.12,417,395,22,101.49000000000001,4294,4175,119,18.83,1.8159999999999998,200.45999999999998,104.62,442.1,403.22,38.879999999999995,20.64,1.806,201.26,-38.101,-0.542,22.216,0.3,105,117,-12,94.82,469,442,27,103.08,44.099999999999994,1.478,102,75,27,112.57,615,591,24,101.78999999999999,32.06,1.75,210,203,7,101.25999999999999,3210,3142,68,101.16,12.49,1.8760000000000001
10,Mississauga Steelheads,136,63,102.99000000000001,487,460,27,104.50999999999999,4649,4248,401,20.369999999999997,1.79,199.32999999999998,104.55000000000001,486.31,443.84000000000003,42.47,20.98,1.79,200.02,-14.311,-0.186,-1.1549999999999994,-0.01999999999999999,122,134,-12,95.35,508,576,-68,93.71000000000001,46.97,1.542,105,102,3,101.15,651,590,61,104.91,31.82,1.658,260,224,36,108.18,3490,3082,408,106.21000000000001,14.43,1.8610000000000002
11,Peterborough Petes,136,59,95.88,455,498,-43,93.41,4299,4901,-602,20.6,1.802,200.82999999999998,90.7,429.82,517.88,-88.05,20.03,1.7879999999999998,198.82999999999998,11.175,0.17100000000000004,34.879,0.42700000000000005,103,133,-30,87.4,451,619,-168,83.96000000000001,45.34,1.581,84,129,-45,79.57,551,729,-178,86.06,30.130000000000003,1.655,268,236,32,106.56,3297,3553,-256,96.25999999999999,15.61,1.871
12,Barrie Colts,136,55,95.95,485,518,-33,98.94,4360,4449,-89,21.14,1.775,198.62,94.13999999999999,439.4,490.20000000000005,-50.79,20.18,1.778,198.05,22.603,0.28800000000000003,-9.805,-0.11299999999999999,107,121,-14,93.97,507,585,-78,92.69999999999999,40.82,1.593,100,123,-23,89.77000000000001,554,654,-100,91.53999999999999,34.44,1.634,278,274,4,99.19999999999999,3299,3210,89,101.35,15.920000000000002,1.837
13,Niagara IceDogs,136,54,93.8,443,502,-59,93.66,4418,5043,-625,19.369999999999997,1.8079999999999998,200.20999999999998,88.48,415.84000000000003,524.99,-109.14,18.9,1.79,197.95,10.157,0.139,44.985,0.5409999999999999,111,138,-27,89.37,461,604,-143,86.39,46.29,1.5539999999999998,99,124,-25,89.98,531,675,-144,88.07,36.989999999999995,1.644,233,240,-7,98.24000000000001,3426,3764,-338,95.72999999999999,13.14,1.8769999999999998
14,Ottawa 67's,136,53,91.36,443,527,-84,96.56,4130,4424,-294,20.799999999999997,1.7690000000000001,197.71,95.66,447.77,489.86,-42.089999999999996,21.78,1.778,199.57,-20.773,-0.29300000000000004,-18.133,-0.26399999999999996,106,120,-14,94.86,535,535,0,101.36,38.72,1.569,112,117,-5,98.52000000000001,669,739,-70,95.08,33.26,1.678,225,290,-65,87.37,2926,3150,-224,96.25999999999999,14.68,1.822
15,Saginaw Spirit,136,51,89.88,395,484,-89,99.58,4302,4338,-36,17.59,1.783,195.81,93.68,415.97,471.88,-55.9,19.409999999999997,1.782,197.59,-38.969,-0.542,0.875,0.010000000000000009,87,132,-45,79.62,494,536,-42,96.21000000000001,33.59,1.5060000000000002,90,116,-26,87.0,588,595,-7,99.38,29.89,1.611,218,236,-18,96.03,3220,3207,13,100.22,12.899999999999999,1.858
16,Guelph Storm,136,49,87.24000000000001,428,554,-126,93.8,4325,4897,-572,19.24,1.782,197.39999999999998,90.07,434.16,529.73,-95.58,20.13,1.783,198.4,-19.154,-0.268,-3.2669999999999995,-0.035,103,122,-19,91.91,491,626,-135,88.12,41.55,1.62,90,101,-11,93.30000000000001,573,591,-18,98.46000000000001,31.21,1.6660000000000001,235,331,-96,83.75,3261,3680,-419,94.00999999999999,13.73,1.828
17,North Bay Battalion,136,47,89.37,398,493,-95,99.47,4329,4374,-45,17.950000000000003,1.783,196.26999999999998,93.32,405.97,463.68,-57.709999999999994,18.79,1.787,197.49,-17.966,-0.252,-8.32,-0.11100000000000003,96,117,-21,90.18,444,503,-59,93.76,43.3,1.541,96,114,-18,91.21000000000001,593,583,10,100.69,31.96,1.615,206,262,-56,88.02000000000001,3292,3288,4,100.07,11.99,1.85
18,Flint Firebirds,136,47,86.74000000000001,418,551,-133,102.35,4587,4386,201,17.57,1.7570000000000001,193.17000000000002,92.33000000000001,442.82,518.75,-75.93,19.36,1.763,195.67000000000002,-40.818,-0.538,-17.250999999999998,-0.21100000000000002,84,136,-52,76.72,456,655,-199,82.32,35.09,1.594,118,128,-10,95.67,601,662,-61,95.22999999999999,38.230000000000004,1.617,216,287,-71,86.68,3530,3069,461,107.04,11.850000000000001,1.8199999999999998
19,Sudbury Wolves,136,41,83.87,401,556,-155,90.00999999999999,4006,4895,-889,19.43,1.7810000000000001,197.57,89.46000000000001,416.63,514.92,-98.28,20.869999999999997,1.7879999999999998,199.72,-28.631999999999998,-0.42900000000000005,-17.086,-0.217,119,122,-3,99.05000000000001,531,527,4,100.27000000000001,44.02,1.549,92,130,-38,83.18,540,690,-150,87.83,33.83,1.625,190,304,-114,76.92,2935,3678,-743,88.77000000000001,12.370000000000001,1.845
