,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Drummondville Voltigeurs,124,83,62.44,564,341,223,59.225,4435,3078,1357,12.37,0.893,101.605,58.735,212.9,151.845,61.06,9.605,0.902,99.815,59.599,0.828,-13.157,-0.293,147,95,52,60.525,527,404,123,56.485,27.515,0.769,156,93,63,62.675,699,459,240,60.495,22.345,0.796,261,153,108,63.59,3209,2215,994,59.425,7.655,0.935
1,Halifax Mooseheads,125,82,59.775,519,358,161,53.055,4183,3724,459,12.11,0.907,102.8,55.4,231.045,186.905,44.14,10.965,0.901,101.065,20.455,0.344,10.902,0.177,159,111,48,59.045,644,494,150,56.58,23.96,0.778,118,80,38,58.89,572,481,91,54.635,20.435,0.836,242,167,75,60.305,2967,2749,218,52.065,7.85,0.942
2,Rouyn-Noranda Huskies,125,82,63.245,492,290,202,55.525,4458,3609,849,10.595,0.922,102.88,59.585,216.23,153.25,62.98,9.765,0.917,101.465,18.771,0.248,13.252,0.176,150,77,73,65.115,539,383,156,57.935,26.545,0.806,141,71,70,65.8,610,389,221,61.645,22.76,0.808,201,142,59,59.24,3309,2837,472,54.085,5.645,0.953
3,Rimouski Oceanic,125,77,59.86,462,311,151,55.56,4114,3295,819,10.845,0.907,101.575,53.57,186.925,163.28,23.64,9.095,0.902,99.25,33.075,0.526,10.781,0.172,126,90,36,57.675,512,412,100,55.275,23.605,0.788,112,63,49,64.185,522,418,104,55.59,21.175,0.85,224,158,66,58.945,3080,2465,615,55.555,6.8,0.938
4,Sherbrooke Phoenix,124,66,50.99,442,426,16,54.575,4327,3597,730,9.765,0.886,98.34,52.225,205.24,186.895,18.345,9.46,0.896,99.08,4.265,0.091,-17.608,-0.312,120,120,0,50.21,491,451,40,52.165,24.385,0.74,83,77,6,52.31,646,600,46,51.905,12.46,0.874,239,229,10,51.325,3190,2546,644,55.62,6.93,0.915
5,Blainville-Boisbriand Armada,124,64,50.375,429,409,20,50.57,3728,3625,103,10.755,0.892,99.915,50.34,179.94,172.98,6.965,9.585,0.904,99.975,23.06,0.35,-23.022,-0.366,120,123,-3,49.56,477,423,54,53.475,24.685,0.708,89,104,-15,45.84,492,552,-60,47.145,17.1,0.812,220,182,38,52.365,2759,2650,109,50.81,7.155,0.936
6,Baie-Comeau Drakkar,124,62,53.785,471,414,57,50.715,4041,4071,-30,11.425,0.902,101.66,53.05,185.015,173.645,11.37,9.175,0.916,100.805,44.986,0.675,-21.859,-0.418,144,121,23,54.295,494,463,31,51.81,28.515,0.74,119,91,28,57.69,518,451,67,54.32,22.845,0.808,208,202,6,51.9,3029,3157,-128,49.94,6.71,0.942
7,Victoriaville Tigres,125,60,51.425,418,379,39,47.345,3608,3955,-347,11.15,0.908,101.94,47.16,170.265,178.275,-8.01,9.12,0.91,100.09,34.234,0.61,-2.726,-0.055,92,105,-13,46.03,358,455,-97,43.99,25.205,0.768,93,82,11,52.84,452,500,-48,47.245,20.465,0.838,233,192,41,53.445,2798,3000,-202,47.94,7.82,0.941
8,Charlottetown Islanders,124,60,50.185,398,397,1,53.07,4219,3743,476,9.145,0.898,98.925,52.53,213.12,192.295,20.825,10.08,0.897,99.8,-21.623,-0.282,2.296,0.021,149,142,7,51.195,668,521,147,56.19,21.93,0.729,87,77,10,53.05,613,498,115,55.16,13.915,0.848,162,178,-16,48.67,2938,2724,214,52.085,5.19,0.94
9,Quebec Remparts,123,59,49.235,378,383,-5,52.81,3809,3392,417,9.41,0.892,98.695,54.975,177.36,141.21,36.145,9.2,0.916,100.835,2.641,0.063,-38.788,-0.706,105,93,12,52.91,475,370,105,56.195,21.135,0.763,100,63,37,61.245,532,306,226,63.385,18.575,0.797,173,227,-54,43.005,2802,2716,86,50.755,5.685,0.923
10,Cape Breton Screaming Eagles,124,59,51.675,440,421,19,54.19,4030,3444,586,10.655,0.885,99.1,53.98,212.09,186.76,25.335,10.465,0.894,99.83,1.406,0.058,-13.238,-0.276,114,124,-10,48.39,566,536,30,51.48,19.865,0.778,102,104,-2,50.345,533,463,70,54.085,19.0,0.781,224,193,31,53.835,2931,2445,486,54.775,7.305,0.927
11,Moncton Wildcats,125,55,50.095,455,463,-8,50.835,4060,3943,117,10.86,0.887,99.56,51.12,218.9,213.635,5.26,10.79,0.893,100.06,0.602,0.021,-10.362,-0.17,140,132,8,51.325,595,508,87,53.86,23.23,0.743,100,125,-25,44.82,522,600,-78,46.9,19.005,0.794,215,206,9,52.31,2943,2835,108,51.01,6.86,0.932
12,Chicoutimi Sagueneens,124,52,48.41,366,395,-29,48.29,3558,3806,-248,10.02,0.9,100.005,49.245,166.51,172.37,-5.86,9.295,0.91,100.32,10.488,0.218,-18.628,-0.314,123,92,31,57.24,457,356,101,56.14,26.525,0.748,72,109,-37,39.71,428,519,-91,45.06,16.825,0.79,171,194,-23,47.1,2673,2931,-258,47.63,5.985,0.938
13,Gatineau Olympiques,122,50,48.005,374,402,-28,45.89,3290,3860,-570,10.775,0.9,100.775,45.98,155.49,183.93,-28.435,9.465,0.905,99.975,20.51,0.392,-8.073,-0.152,99,138,-39,41.975,320,502,-182,38.74,31.44,0.732,85,79,6,54.025,429,498,-69,46.06,19.85,0.84,190,185,5,49.565,2541,2860,-319,46.79,6.57,0.94
14,Acadie-Bathurst Titan,124,49,44.725,385,456,-71,46.15,3683,4131,-448,9.965,0.893,99.255,43.705,186.2,211.77,-25.57,9.475,0.896,99.095,1.803,0.146,-11.232,-0.099,120,162,-42,42.905,459,719,-260,38.315,26.965,0.782,97,119,-22,46.715,471,530,-59,46.685,21.06,0.786,168,175,-7,45.015,2753,2882,-129,47.78,5.375,0.941
