"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Alexander Katerinakis","RW","BLB","20.392","55","2","1","0","3","3","3","66.67","0.04","0.02","0.0","0.05","0.05","0.05","0.5","0.01","0","0","0.0","1","2","50.0","1","1","100.0","4","4","100.0"
"","Marc-Andre LeCouffe","C","BAT","19.253","54","2","0","0","2","2","2","100.0","0.04","0.0","0.0","0.04","0.04","0.04","0.52","0.01","1","1","100.0","0","0","0.0","1","1","100.0","6","9","66.67"
"","Mika Cyr","C","MON","19.174","56","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.19","0.0","1","1","100.0","0","0","0.0","0","0","0.0","18","25","72.0"
"","Raphael Lavoie","RW","HAL","17.972","54","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.36","0.01","0","0","0.0","1","1","100.0","0","0","0.0","4","5","80.0"
"","Dawson Mercer","RW","DRU","16.885","56","2","0","0","2","2","3","66.67","0.04","0.0","0.0","0.04","0.04","0.05","0.29","0.01","0","0","0.0","0","0","0.0","2","3","66.67","3","7","42.86"
"","Shawn Boudrias","RW","CAP/GAT","19.004","49","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.16","0.0","0","0","0.0","0","0","0.0","1","1","100.0","4","7","57.14"
"","Philipp Kurashev","C","QUE","18.927","47","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.04","0.04","0.06","0.2","0.0","0","0","0.0","0","0","0.0","1","3","33.33","7","16","43.75"
"","Maxim Trepanier","LW","HAL/GAT","19.338","35","1","0","1","1","2","2","50.0","0.03","0.0","0.03","0.03","0.06","0.06","0.51","0.01","0","0","0.0","0","1","0.0","1","1","100.0","0","1","0.0"
"","Joel Teasdale","LW","BLB/ROU","19.516","55","0","1","1","1","2","3","0.0","0.0","0.02","0.02","0.02","0.04","0.05","0.28","0.01","0","1","0.0","0","0","0.0","0","2","0.0","5","9","55.56"
"","Liam Leonard","C","BAT","18.467","53","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
