,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Toronto Marlies,205,117,164.99,678,551,127,157.62,6443,5834,609,30.099999999999998,2.723,302.29999999999995
1,Charlotte Checkers,207,115,158.76,645,571,74,155.85000000000002,6211,5751,460,29.46,2.714,300.85999999999996
2,Lehigh Valley Phantoms,205,113,160.01,686,595,91,145.67000000000002,6225,6567,-342,31.62,2.7359999999999998,305.19
3,Wilkes-Barre/Scranton Penguins,205,112,163.8,660,545,115,155.43,6539,6075,464,28.97,2.7359999999999998,302.62
4,Chicago Wolves,203,109,164.89999999999998,666,545,121,151.87,6040,5901,139,31.810000000000002,2.727,304.62
5,Grand Rapids Griffins,205,107,162.35,633,531,102,157.47,6619,5986,633,27.200000000000003,2.742,301.29
6,Syracuse Crunch,202,106,164.15,636,534,102,156.26999999999998,6050,5528,522,30.57,2.724,303.02
7,Providence Bruins,205,105,162.92000000000002,614,514,100,158.06,6441,5808,633,27.67,2.738,301.43
8,San Jose Barracuda,182,101,161.99,567,485,82,157.32999999999998,5786,5233,553,28.169999999999998,2.7329999999999997,301.45000000000005
9,Bridgeport Sound Tigers,207,98,149.65,588,591,-3,153.22,6124,5823,301,28.330000000000002,2.705,298.82
10,San Diego Gulls,185,96,157.55,590,533,57,148.31,5708,5866,-158,30.17,2.735,303.7
11,Hershey Bears,204,94,146.9,586,603,-17,146.18,5444,5739,-295,30.82,2.6959999999999997,300.46000000000004
12,Utica Comets,206,93,145.42000000000002,574,611,-37,147.41,6090,6285,-195,27.67,2.7190000000000003,299.57000000000005
13,Tucson Roadrunners,183,91,150.77,546,548,-2,150.55,5442,5474,-32,29.060000000000002,2.71,300.03999999999996
14,Manitoba Moose,204,91,147.85,581,587,-6,144.23000000000002,6174,6567,-393,26.85,2.7430000000000003,301.19
15,Rochester Americans,204,91,150.93,600,599,1,147.63,6012,6263,-251,28.709999999999997,2.723,301.05
16,Texas Stars,203,90,146.74,601,637,-36,153.02,6079,5910,169,28.910000000000004,2.692,298.21
17,Bakersfield Condors,185,89,155.43,555,524,31,151.84,5638,5585,53,28.02,2.726,300.62
18,Iowa Wild,204,88,150.36,578,581,-3,143.59,5770,6352,-582,28.91,2.739,302.82
19,Milwaukee Admirals,206,86,146.16,567,595,-28,147.54,5962,6177,-215,27.16,2.727,299.78
20,Stockton Heat,186,85,150.76,595,587,8,145.82999999999998,5508,5807,-299,31.08,2.708,301.85
21,Ontario Reign,182,83,144.84,538,570,-32,149.5,5672,5649,23,27.59,2.702,297.78
22,Springfield Thunderbirds,206,82,146.53,580,610,-30,144.89000000000001,5948,6366,-418,28.240000000000002,2.7239999999999998,300.65
23,San Antonio Rampage,204,76,136.72,507,609,-102,147.83,5861,6030,-169,25.200000000000003,2.711,296.37
24,Rockford IceHogs,206,76,138.8,533,618,-85,151.85,6558,6284,274,23.02,2.724,295.45
25,Cleveland Monsters,205,74,137.60000000000002,529,629,-100,152.72,6241,6076,165,24.41,2.701,294.48
26,Hartford Wolf Pack,206,66,130.01,543,715,-172,142.51999999999998,5909,6525,-616,27.21,2.6870000000000003,295.9
27,Belleville Senators,132,48,91.69,364,439,-75,92.59,3541,4144,-603,20.39,1.795,199.92000000000002
28,Binghamton Devils,131,45,88.09,340,432,-92,97.55,3647,3792,-145,18.28,1.783,196.57999999999998
29,Laval Rocket,129,43,89.88,344,432,-88,100.30000000000001,3646,3654,-8,18.369999999999997,1.7799999999999998,196.38
30,Albany Devils,76,36,49.75,201,203,-2,52.67,2297,2064,233,8.47,0.905,98.99
31,St. John's IceCaps,76,33,49.42,213,218,-5,48.05,2119,2291,-172,9.71,0.909,100.63
32,Binghamton Senators,76,25,41.46,187,264,-77,47.96,2199,2386,-187,8.17,0.893,97.44
33,Colorado Eagles,49,20,46.82,140,159,-19,47.65,1529,1680,-151,8.8,0.9079999999999999,99.55
