"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tye Felhaber","RW","OTT","20.113","55","50","28","15","78","93","231","21.65","0.91","0.51","0.27","1.42","1.69","4.2","26.61","0.48","8","26","30.77","11","32","34.38","31","173","17.92","23","48","47.92"
"","Kevin Hancock","C","LDN/OS","20.54","57","43","33","13","76","89","270","15.93","0.75","0.58","0.23","1.33","1.56","4.74","24.82","0.44","10","23","43.48","8","35","22.86","25","212","11.79","589","1036","56.85"
"","Justin Brazeau","RW","NB","20.616","55","48","27","15","75","90","246","19.51","0.87","0.49","0.27","1.36","1.64","4.47","31.77","0.58","13","51","25.49","12","41","29.27","23","154","14.94","34","72","47.22"
"","Morgan Frost","C","SSM","19.341","48","34","40","19","74","93","208","16.35","0.71","0.83","0.4","1.54","1.94","4.33","25.2","0.52","6","24","25.0","2","18","11.11","26","166","15.66","544","1088","50.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","49","41","33","17","74","91","243","16.87","0.84","0.67","0.35","1.51","1.86","4.96","31.5","0.64","8","31","25.81","5","44","11.36","28","168","16.67","2","7","28.57"
"","Ben Jones","C","NIAG","19.551","55","34","36","11","70","81","184","18.48","0.62","0.65","0.2","1.27","1.47","3.35","25.93","0.47","13","50","26.0","8","27","29.63","13","107","12.15","577","1093","52.79"
"","Arthur Kaliyev","RW","HAM","17.221","56","45","22","21","67","88","267","16.85","0.8","0.39","0.38","1.2","1.57","4.77","37.79","0.67","11","35","31.43","5","36","13.89","29","196","14.8","0","3","0.0"
"","Brandon Saigeon","C","HAM/OSH","20.255","57","36","29","19","65","84","235","15.32","0.63","0.51","0.33","1.14","1.47","4.12","24.15","0.42","6","18","33.33","8","22","36.36","22","195","11.28","518","1076","48.14"
"","Anthony Salinitri","LW","OSH/SAR","20.532","57","40","20","16","60","76","227","17.62","0.7","0.35","0.28","1.05","1.33","3.98","28.67","0.5","7","33","21.21","11","47","23.4","22","147","14.97","189","373","50.67"
"","Kyle Maksimovich","LW","ER/OTT","20.518","56","35","24","19","59","78","164","21.34","0.62","0.43","0.34","1.05","1.39","2.93","19.6","0.35","3","19","15.79","12","31","38.71","20","114","17.54","31","99","31.31"
"","Akil Thomas","C","NIAG","18.703","50","29","29","23","58","81","158","18.35","0.58","0.58","0.46","1.16","1.62","3.16","20.16","0.4","10","29","34.48","5","26","19.23","14","103","13.59","409","758","53.96"
