"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Brock MacLeod","C","SHE","17.44","24","2","1","1","3","4","26","7.69","0.08","0.04","0.04","0.12","0.17","1.08","3.62","0.15","264.34","11.01","0.45","0.23","0.23","0.68","0.91","5.9","0.82","16.42","16.95","39.83","49.87","-6.98","39.13","9","14","0","2","0.0","1","11","9.09","1","13","7.69","66","148","44.59"
"","Johnatan Legault","D","SHE/ROU","18.768","47","2","1","1","3","4","48","4.17","0.04","0.02","0.02","0.06","0.09","1.02","2.44","0.05","693.51","14.76","0.17","0.09","0.09","0.26","0.35","4.15","0.21","16.73","17.75","47.87","52.16","-19.17","33.33","16","32","1","2","50.0","1","3","33.33","0","43","0.0","0","0","0.0"
"","Carl Gervais","LW","CHA/GAT","17.454","27","1","2","0","3","3","22","4.55","0.04","0.07","0.0","0.11","0.11","0.81","2.82","0.1","313.86","11.62","0.19","0.38","0.0","0.57","0.57","4.21","0.54","17.15","16.89","54.53","51.18","-32.55","28.12","9","23","0","1","0.0","0","4","0.0","1","17","5.88","13","31","41.94"
"","Cedric Desruisseaux","LW","VIC","16.537","10","1","2","0","3","3","10","10.0","0.1","0.2","0.0","0.3","0.3","1.0","1.79","0.18","113.84","11.38","0.53","1.05","0.0","1.58","1.58","5.27","0.94","16.9","16.66","48.15","50.81","-15.56","44.44","4","5","0","1","0.0","0","1","0.0","1","8","12.5","29","54","53.7"
"","Daniil Sokolka","RW","CHI/BAT/BAC","17.646","18","1","2","0","3","3","12","8.33","0.06","0.11","0.0","0.17","0.17","0.67","2.35","0.13","203.74","11.32","0.29","0.59","0.0","0.88","0.88","3.53","0.69","19.14","17.65","55.75","49.64","34.74","80.0","12","3","1","2","50.0","0","4","0.0","0","6","0.0","0","1","0.0"
"","Jeremy Roy","D","BLB","19.341","10","2","1","0","3","3","28","7.14","0.2","0.1","0.0","0.3","0.3","2.8","1.25","0.12","185.52","18.55","0.65","0.32","0.0","0.97","0.97","9.06","0.4","17.41","18.21","58.22","51.7","19.39","80.0","8","2","0","0","0.0","0","1","0.0","2","27","7.41","0","0","0.0"
"","Logan Johnston","LW","MON","17.818","31","2","1","0","3","3","19","10.53","0.06","0.03","0.0","0.1","0.1","0.61","1.92","0.06","381.01","12.29","0.31","0.16","0.0","0.47","0.47","2.99","0.3","16.47","17.89","30.27","57.15","-23.11","6.52","3","43","1","4","25.0","1","2","50.0","0","13","0.0","0","7","0.0"
"","Vincent Lampron","D","SHE","17.769","61","0","2","6","2","8","70","0.0","0.0","0.03","0.1","0.03","0.13","1.15","2.59","0.04","1054.9","17.29","0.0","0.11","0.34","0.11","0.46","3.98","0.15","17.34","17.71","47.35","52.58","-9.86","37.74","40","66","0","0","0.0","0","2","0.0","0","68","0.0","0","0","0.0"
"","Jack Van Boekel","D","VDO","20.573","36","0","2","4","2","6","33","0.0","0.0","0.06","0.11","0.06","0.17","0.92","1.05","0.03","675.61","18.77","0.0","0.18","0.36","0.18","0.53","2.93","0.09","17.08","17.65","50.39","53.17","-7.76","40.26","31","46","0","0","0.0","0","1","0.0","0","32","0.0","0","0","0.0"
"","Francis Thibeault","D","BAT/MON","18.21","35","0","2","4","2","6","18","0.0","0.0","0.06","0.11","0.06","0.17","0.51","0.29","0.01","622.49","17.79","0.0","0.19","0.39","0.19","0.58","1.73","0.03","16.31","17.89","33.94","54.69","-11.6","20.0","17","68","0","0","0.0","0","0","0.0","0","18","0.0","0","1","0.0"
