"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Parker Bowman","LW","RIM","19.187","51","2","5","5","7","12","47","4.26","0.04","0.1","0.1","0.14","0.24","0.92","2.91","0.06","519.77","10.19","0.23","0.58","0.58","0.81","1.39","5.43","0.34","16.78","16.79","59.49","48.29","-1.44","62.07","18","11","1","7","14.29","0","4","0.0","1","36","2.78","79","162","48.77"
"","Julien Anctil","C","SHE","17.446","49","4","3","3","7","10","39","10.26","0.08","0.06","0.06","0.14","0.2","0.8","3.78","0.08","511.55","10.44","0.47","0.35","0.35","0.82","1.17","4.57","0.44","16.22","16.76","49.89","50.16","-10.62","38.89","14","22","4","11","36.36","0","7","0.0","0","21","0.0","221","455","48.57"
"","Jerome Gravel","D","VIC","19.053","54","1","6","3","7","10","47","2.13","0.02","0.11","0.06","0.13","0.19","0.87","1.45","0.03","1061.16","19.65","0.06","0.34","0.17","0.4","0.57","2.66","0.08","16.86","17.97","45.98","56.45","-13.59","35.92","37","66","0","1","0.0","1","2","50.0","0","44","0.0","0","0","0.0"
"","William Basque","C","GAT","19.434","48","2","5","2","7","9","50","4.0","0.04","0.1","0.04","0.15","0.19","1.04","3.8","0.08","721.73","15.04","0.17","0.42","0.17","0.58","0.75","4.16","0.32","18.91","17.83","46.63","52.93","-25.73","29.11","23","56","1","9","11.11","1","7","14.29","0","34","0.0","249","499","49.9"
"","Nathan Ouellet","RW","RIM","18.308","51","5","2","2","7","9","47","10.64","0.1","0.04","0.04","0.14","0.18","0.92","3.59","0.07","554.8","10.88","0.54","0.22","0.22","0.76","0.97","5.08","0.39","17.61","17.08","60.87","50.45","-22.69","43.24","16","21","2","16","12.5","1","5","20.0","2","26","7.69","3","8","37.5"
"","Frederic Abraham","RW","BLB/VDO","18.169","45","2","5","1","7","8","40","5.0","0.04","0.11","0.02","0.16","0.18","0.89","2.99","0.07","511.46","11.37","0.23","0.59","0.12","0.82","0.94","4.69","0.35","16.77","16.9","37.24","55.58","-14.63","27.27","12","32","1","8","12.5","0","5","0.0","1","27","3.7","75","188","39.89"
"","Michael Kemp","D","SHE/BLB","20.537","50","2","5","1","7","8","50","4.0","0.04","0.1","0.02","0.14","0.16","1.0","0.86","0.02","941.88","18.84","0.13","0.32","0.06","0.45","0.51","3.19","0.06","17.19","18.08","47.93","55.0","-13.89","34.02","33","64","1","1","100.0","0","1","0.0","1","48","2.08","0","0","0.0"
"","Marc-Antoine Pepin","D","SHE/SHA","17.525","15","1","6","1","7","8","12","8.33","0.07","0.4","0.07","0.47","0.53","0.8","0.49","0.03","275.66","18.38","0.22","1.31","0.22","1.52","1.74","2.61","0.11","16.4","17.11","40.11","47.03","21.82","53.33","16","14","0","1","0.0","0","1","0.0","1","10","10.0","0","0","0.0"
"","Thomas Lacombe","C","BLB","17.194","15","4","3","1","7","8","33","12.12","0.27","0.2","0.07","0.47","0.53","2.2","3.33","0.22","225.06","15.0","1.07","0.8","0.27","1.87","2.13","8.8","0.89","17.37","17.8","41.7","53.47","8.05","41.38","12","17","1","7","14.29","0","2","0.0","3","24","12.5","21","62","33.87"
"","Daniil Vertiy","LW","BAT","19.842","32","4","3","0","7","7","68","5.88","0.12","0.09","0.0","0.22","0.22","2.12","5.77","0.18","504.95","15.78","0.48","0.36","0.0","0.83","0.83","8.08","0.69","17.8","17.09","32.35","54.25","-5.67","27.45","14","37","0","6","0.0","1","8","12.5","3","54","5.56","5","21","23.81"
"","Kyle Foreman","LW","MON","17.654","48","2","5","0","7","7","17","11.76","0.04","0.1","0.0","0.15","0.15","0.35","1.3","0.03","481.63","10.03","0.25","0.62","0.0","0.87","0.87","2.12","0.16","17.13","16.67","48.23","48.76","-18.34","38.24","13","21","1","5","20.0","0","0","0.0","1","12","8.33","33","85","38.82"
"","James White","LW","SNB","17.972","46","6","1","0","7","7","73","8.22","0.13","0.02","0.0","0.15","0.15","1.59","7.43","0.16","640.49","13.92","0.56","0.09","0.0","0.66","0.66","6.84","0.7","17.3","17.87","32.54","54.33","-6.59","28.77","21","52","3","18","16.67","2","11","18.18","1","44","2.27","8","14","57.14"
"","Tyler Boivin","LW","VIC","17.947","51","2","5","0","7","7","53","3.77","0.04","0.1","0.0","0.14","0.14","1.04","3.12","0.06","537.8","10.55","0.22","0.56","0.0","0.78","0.78","5.91","0.35","17.17","17.14","42.17","56.68","-12.88","33.33","9","18","0","7","0.0","0","3","0.0","2","43","4.65","40","94","42.55"
"","Alexis Arsenault","D","ROU","18.33","52","3","3","10","6","16","70","4.29","0.06","0.06","0.19","0.12","0.31","1.35","2.99","0.06","1004.97","19.33","0.18","0.18","0.6","0.36","0.96","4.18","0.18","17.46","17.54","69.13","49.61","-17.54","57.01","61","46","0","2","0.0","2","4","50.0","1","64","1.56","0","0","0.0"
"","Michal Ivan","D","BAT/DRU","18.826","43","4","2","10","6","16","39","10.26","0.09","0.05","0.23","0.14","0.37","0.91","1.21","0.03","918.26","21.35","0.26","0.13","0.65","0.39","1.05","2.55","0.08","18.14","17.97","44.93","51.76","-4.99","41.38","48","68","0","0","0.0","1","3","33.33","3","36","8.33","0","0","0.0"
"","Walter Flower","D","HAL","19.36","51","5","1","8","6","14","62","8.06","0.1","0.02","0.16","0.12","0.27","1.22","1.56","0.03","928.29","18.2","0.32","0.06","0.52","0.39","0.9","4.01","0.1","17.6","17.81","65.28","49.91","-15.86","53.12","51","45","0","1","0.0","1","2","50.0","4","59","6.78","0","0","0.0"
"","Brock McLeod","C","HAL","19.439","44","2","4","6","6","12","37","5.41","0.05","0.09","0.14","0.14","0.27","0.84","3.16","0.07","478.52","10.88","0.25","0.5","0.75","0.75","1.5","4.64","0.4","16.35","16.96","59.34","48.05","-10.18","57.14","20","15","1","6","16.67","0","10","0.0","1","21","4.76","137","268","51.12"
