,Name,Team,G,A1,A2,P1,Distance from Centroid
0,Shane Bulitka,SBY,19,18,10,37,0.2011339520847755
1,Cole Tymkin,LDN,21,16,9,37,0.393975353387671
2,Cedric Ralph,GUE,20,19,9,39,0.4433381955351638
3,Adam Timleck,PBO,21,15,9,36,0.4449687004800735
4,Blade Jenkins,SAG,21,20,11,41,0.4792779148705921
5,Maksim Sushko,OS,16,19,9,35,0.5065263525374725
6,Sean Josling,SAR,19,20,9,39,0.5131448609367386
7,Kody Clark,OTT,15,16,10,31,0.5217217776857639
8,Jordan Sambrook,SSM,15,16,10,31,0.5217217776857639
9,Albert Michnac,SAG,18,20,13,38,0.5352730745843107
10,Adam McMaster,NB/OS,15,18,13,33,0.5739847322137656
11,David Levin,SBY,18,13,11,31,0.5773013513348535
12,DJ Busdeker,SAG,14,18,12,32,0.5779291138567422
13,Nick Robertson,PBO,23,13,12,36,0.6318870319042718
14,Eric Uba,FLNT,19,13,9,32,0.6337350925059
15,Danil Antropov,OSH,14,20,12,34,0.6400018500953636
16,Nathan Dunkley,LDN,22,15,14,37,0.6516391281106053
17,Cole Purboo,WSR,25,14,9,39,0.7462131787306615
18,Daniel D'Amico,WSR,21,12,13,33,0.7517850539069295
19,Eric Henderson,HAM/OSH,13,17,13,30,0.761282880155505
20,Ivan Lodnia,NIAG,14,14,10,28,0.7716081648960393
21,Macauley Carson,SBY,16,19,7,35,0.7808775522143853
22,Franco Sproviero,SAR,21,21,14,42,0.8114542587081947
23,Nando Eggenberger,OSH,24,12,9,36,0.8230259661354183
24,Tyler Tullio,OSH,13,15,9,28,0.8385415001692403
25,Keean Washkurak,MISS,14,14,13,28,0.8405156217024401
26,Ryan Cranford,KGN,17,14,7,31,0.8490532431267046
27,MacKenzie Entwistle,GUE/HAM,24,15,7,39,0.8633812606422174
28,Brad Chenier,NB,25,20,9,45,0.8767394790271645
29,Gera Poddubnyi,ER,26,19,9,45,0.896708550428833
30,Cole MacKay,SSM,26,16,14,42,0.9008038984077091
31,Alexey Toropchenko,GUE,16,17,6,33,0.9210708336072501
32,Brady Gilmour,SAG,13,17,7,30,0.9522131975732645
33,Barret Kirwin,GUE/OS,19,10,9,29,0.9964393376338343
34,Sean Durzi,GUE/OS,11,18,8,29,0.999725116526374
35,Curtis Douglas,WSR,24,17,6,41,1.0004094702505135
36,Quinton Byfield,SBY,27,19,13,46,1.0063636666615483
37,Adam Boqvist,LDN,18,21,16,39,1.030933905914742
38,Billy Moskal,LDN,14,16,6,30,1.0457764822753113
39,Tyler Angle,WSR,20,9,11,29,1.0533365479044123
40,Ethan Keppen,FLNT,25,20,7,45,1.059185026245291
41,Aidan Dudas,OS,24,14,16,38,1.0668978965943117
42,Liam Kirk,PBO,21,12,6,33,1.0772627481543522
43,Ryan Roth,SSM,20,12,6,32,1.0774607815170592
44,Cole Schwindt,MISS,16,11,14,27,1.0838337902585065
45,Ben Hawerchuk,BAR,26,11,8,37,1.088764732407059
46,Evan Bouchard,LDN,12,24,12,36,1.0893654233200682
47,Giovanni Vallati,OSH,10,19,14,29,1.108743689426469
48,Nolan Hutcheson,SBY,22,14,5,36,1.123415768713922
49,Chad Yetman,ER,20,25,9,45,1.133900956153596
50,Marco Rossi,OTT,26,16,16,42,1.1457595454745648
51,Damien Giroux,SAG,27,11,8,38,1.148161020169439
52,Jacob Perreault,SAR,28,11,13,39,1.1637661397647086
53,Matej Pekar,BAR,14,17,5,31,1.1713133975044503
54,Oliver Castleman,NIAG,19,11,6,30,1.1754535706242597
55,Barrett Hayton,SSM,22,22,16,44,1.18946934532171
56,Mitch Eliot,SAR,16,17,18,33,1.2879995787604435
57,Allan McShane,OSH,29,21,10,50,1.2922467865046177
58,Blake Murray,SBY,28,9,9,37,1.3103045658350045
59,Christopher Paquette,PBO,27,15,5,42,1.3214672174040423
60,Jason Willms,BAR,17,19,3,36,1.4137651838165148
61,Ty Dellandrea,FLNT,20,28,9,48,1.519579382541514
62,Noel Hoefenmayer,OTT,16,21,19,37,1.5245346009583411
63,Ryan McLeod,SAG/MISS,17,24,18,41,1.5376192739844665
64,Kyle MacLean,OSH,16,29,9,45,1.591331068286107
65,Will Cuylle,WSR,25,9,4,34,1.6420757906639372
66,Tyler Tucker,BAR,12,23,19,35,1.7233690139542759
67,Jake Durham,FLNT,35,12,8,47,1.7665597784588976
68,Nicolas Mattinen,HAM/OSH,18,19,21,37,1.7854853597092502
69,Jean-Luc Foudy,WSR,6,28,11,34,1.8038447746872546
70,Kade Landry,HAM,6,25,18,31,2.008173453420847
71,Declan Chisholm,PBO,4,21,18,25,2.030485849747677
72,Thomas Harley,MISS,10,21,21,31,2.0368676986844556
73,Matt Brassard,NIAG/OSH,11,19,22,30,2.123693200018898
74,Jonathan Yantsis,KIT,42,12,7,54,2.500929821819184
