,Name,Team,G,A1,A2,P1,Distance from Centroid
0,Trenton Bourque,OS,4,4,4,8,0.08204180478497497
1,Jack Hanley,GUE,3,4,4,7,0.12513949178270733
2,Daniil Chayka,GUE,5,4,4,9,0.14510024648694242
3,Anthony DeMeo,SSM/SBY,3,5,4,8,0.1571997411259211
4,Navrin Mutter,HAM,4,3,4,7,0.164084771033224
5,Brendan Sellan,ER,3,5,3,8,0.1650001426542731
6,Brett Jacklin,SSM,3,5,3,8,0.1650001426542731
7,Isaac Langdon,KIT,5,5,4,10,0.20627521342043612
8,Jacob LeGuerrier,SSM,5,5,4,10,0.20627521342043612
9,Zayde Wisdom,KGN,3,3,3,6,0.2111584551692971
10,Cameron Tolnai,OTT,2,4,4,6,0.2187262799581853
11,Lucas Rowe,FLNT/KGN/LDN,2,5,3,7,0.2306178272582506
12,Griffin Wilson,OS,4,4,5,8,0.2554497501785539
13,Blake McConville,SBY,3,6,3,9,0.26784975603638533
14,Alexandre Hogue,SAR,4,4,2,8,0.2698044481914767
15,Isaak Phillips,SBY,3,4,5,7,0.27236668213557974
16,Jack Thompson,SBY,5,4,5,9,0.2820953715757866
17,Jake Uberti,NIAG,2,3,3,5,0.28808148898796426
18,Cole Resnick,OSH,5,2,3,7,0.2949175160845659
19,Liam Stevens,HAM,5,2,3,7,0.2949175160845659
20,Andrew Bruder,NIAG,4,5,2,9,0.2967626398953479
21,Jackson Doherty,OS,4,5,2,9,0.2967626398953479
22,Mike Petizian,KIT,4,5,2,9,0.2967626398953479
23,Josh Wainman,HAM,1,5,4,6,0.31604285694551315
24,Jake Gravelle,HAM,3,3,5,6,0.31717238508029016
25,Kyle Bollers,OSH,1,4,3,5,0.3252507119444726
26,Thomas Stevenson,WSR,1,4,3,5,0.3252507119444726
27,Ian Martin,KGN/NIAG,1,4,3,5,0.3252507119444726
28,Riley Piercey,BAR,2,4,5,6,0.3261363252970391
29,Patrick Brown,NB,2,4,2,6,0.3374978045497152
30,Kyle Harris,FLNT,6,4,2,10,0.35311916732139037
31,Cameron Supryka,HAM/PBO,1,6,4,7,0.36326025962724035
32,Luke Drewitt,KGN,1,6,3,7,0.3667032924454373
33,Riley Coome,LDN,1,3,4,4,0.37700525912663474
34,Manuel Alberg,OS,1,3,3,4,0.38032388023238156
35,Avery Hayes,HAM,6,6,4,12,0.38669163753748514
36,Ty Collins,GUE,3,7,3,10,0.38952344610815154
37,Kyle McDonald,WSR,4,7,4,11,0.3986871779137333
38,Mitchell Brewer,OSH,4,7,4,11,0.3986871779137333
39,Daniel D'Amato,ER,4,7,3,11,0.40182677150569585
40,Ryan Martin,ER,3,2,5,5,0.4030875992931241
41,Colton Kammerer,SAR,4,4,6,8,0.4299014975549384
42,Merrick Rippon,OTT,5,7,4,12,0.43810953371616024
43,Daniel Bukac,NIAG,3,4,6,7,0.44016398338714297
44,Peter Stratis,SBY,5,4,6,9,0.4462493937230327
45,Emmett Serensits,SBY,4,5,6,9,0.4473130020172982
46,Dawson Baker,KGN,8,4,3,12,0.453927959270802
