,Name,Team,G,A1,A2,P1,Distance from Centroid
0,Joe Carroll,SSM,8,11,9,19,0.18133460095759985
1,Luke Boka,WSR,9,9,10,18,0.19594041136233684
2,Michael Little,MISS/PBO,10,11,8,21,0.27416299830007246
3,Nathan Staios,WSR,7,11,8,18,0.31614520889486114
4,Zack Trott,SSM,9,12,8,21,0.3452975876402669
5,Logan Morrison,HAM,12,9,8,21,0.354769170072428
6,Billy Constantinou,KGN/NIAG,8,11,11,19,0.38064194332398077
7,Drake Pilon,SBY,9,9,7,18,0.3808544245960137
8,Erik Cermak,PBO,8,9,7,17,0.4071294918807897
9,Domenico Commisso,GUE/OSH,9,13,9,22,0.4221386481786199
10,Luke Burghardt,NB,7,10,7,17,0.4305703861606408
11,Bradey Johnson,NIAG,9,8,7,17,0.4386266179119731
12,Tyler Burnie,KGN,6,12,8,18,0.4417062021376428
13,Emmett Sproule,ER,10,13,9,23,0.4534710555262403
14,Connor Corcoran,WSR,8,13,8,21,0.45778905566285605
15,Matthew Philip,NIAG,13,10,8,23,0.4595391829606194
16,Calvin Martin,SAR,12,12,9,24,0.4659123551006423
17,Antonio Stranges,LDN,12,12,9,24,0.4659123551006423
18,Matvey Guskov,LDN,12,10,7,22,0.4787893978553386
19,Jack Quinn,OTT,12,8,7,20,0.501127324720367
20,Jordan Frasca,WSR,9,7,7,16,0.5245980420034273
21,Alexey Lipanov,KIT,9,11,6,20,0.5607048133761872
22,Richard Whittaker,MISS,9,11,6,20,0.5607048133761872
23,Ryan Stepien,SAG/KIT,8,6,8,14,0.5798789494514639
24,Matt Hotchkiss,KGN,6,7,8,13,0.5897575195938077
25,Mathew MacDougall,ER/WSR,13,11,7,24,0.5968607213032506
26,Markus Phillips,GUE/OS,4,9,10,13,0.6119124787280665
27,Daylon Groulx,OS,15,8,8,23,0.6500343984775084
28,Jaden Peca,SSM/BAR,11,14,8,25,0.6590211609552671
29,Jack York,BAR/KIT,7,14,7,21,0.6654141749642453
30,Drew Hunter,NIAG,4,8,10,12,0.6729701989436779
31,Michael Vukojevic,KIT,3,11,8,14,0.6771430200776757
32,Kurtis Henry,ER,6,6,8,12,0.6962439084679675
33,Nick Grima,SAR,4,14,9,18,0.6990643756812781
34,Tye Kartye,SSM,3,9,10,12,0.7151241181747019
35,Hunter Holmes,FLNT,8,10,5,18,0.7238411564679851
36,Cam Hillis,GUE,10,5,7,15,0.7244883221241672
37,Jakob Brahaney,KGN,5,9,6,14,0.7245739845542488
38,Paul Cotter,LDN,8,11,5,19,0.7357405804193792
39,Brandon Coe,NB,15,7,11,22,0.7378872108952855
40,Aidan Prueter,SAG/MISS,11,11,13,22,0.7389294248219291
41,Kaleb Pearson,OS,11,9,5,20,0.7414096037808567
42,Aidan Brown,BAR,12,5,7,17,0.7415941589936176
43,Brady Hinz,PBO,16,9,8,25,0.7447103656206663
44,Donovan Sebrango,KIT,7,5,10,12,0.7449831997078431
45,Simon Rose,NB,3,12,7,15,0.7594986033243073
46,Carter Robertson,OS,3,8,10,11,0.7720597576649351
47,Justin MacPherson,KIT,3,8,10,11,0.7720597576649351
48,Pavel Gogolev,GUE/PBO,10,12,5,22,0.7831494796685313
49,Brady Lyle,OS,9,16,9,25,0.8213219832329071
50,Jacob Paquette,KGN/NIAG,4,8,12,12,0.8288359013573586
51,Louka Henault,WSR,2,11,7,13,0.8383832794072719
52,Fedor Gordeev,FLNT/GUE,5,9,13,14,0.8386889290965363
53,Jake Goldowski,SAG,12,5,6,17,0.8411827331181918
54,Alex Gritz,ER,10,4,7,14,0.8413507605268408
55,Dalton Duhart,BAR/LDN,11,6,5,17,0.8722310702866127
56,Nick McHugh,KIT/MISS,12,14,6,26,0.8767474593591751
57,Vladislav Kolyachonok,FLNT/LDN,4,10,13,14,0.8798449042728442
58,Cole Candella,SBY,7,9,14,16,0.9029738157599432
59,Matthew Timms,LDN,1,13,10,14,0.9062489651475152
60,Cody Morgan,FLNT/WSR,10,7,14,17,0.9332514225430574
61,Liam Ross,SBY,7,8,14,15,0.9354936905662484
62,Justin Murray,SAG/BAR,12,11,14,23,0.9365603029926458
63,Owen Robinson,SBY,8,17,9,25,0.9390897070208071
64,Theo Calvas,NB/SAR,1,10,7,11,0.9487345629090965
65,Cole Fraser,PBO,4,5,10,9,0.9492335755514468
66,Jack Wismer,FLNT,13,13,5,26,0.9674122145860202
67,Sam Bitten,OTT,12,15,6,27,0.976118658435849
68,Tyson Foerster,BAR,7,3,9,10,0.9840163199410292
69,Josh Nelson,LDN,17,10,6,27,1.0059923822464651
70,Nick Isaacson,MISS/PBO,12,16,7,28,1.0073575571186695
71,Grayson Ladd,WSR,2,6,10,8,1.0250398480787326
72,Brayden Guy,SAR,18,5,8,23,1.042430964119383
73,Mitchell Hoelscher,OTT,9,11,15,20,1.0455064058870092
74,Liam Ham,MISS/NIAG,9,8,15,17,1.0624093188555825
75,Mason Primeau,GUE/NB,11,5,14,16,1.0636950612999492
76,Alec Regula,LDN,9,12,15,21,1.073377921853916
77,Mason Millman,SAG,3,7,13,10,1.076518562501856
78,Maxim Golod,ER,17,12,6,29,1.0928015642531175
79,Isaac Nurse,HAM,14,6,4,20,1.0960865995298448
80,Darian Pilon,SBY,17,11,5,28,1.1419492879131339
81,Petr Cajka,ER,19,8,6,27,1.1660330765818097
82,Kevin Bahl,OTT,4,12,15,16,1.1810410790619523
83,Elijah Roberts,NIAG,4,9,15,13,1.19055221657974
84,Owen Lalonde,GUE,7,12,16,19,1.2534660311287806
85,Nick King,NB,8,13,16,21,1.278353282599628
86,Danial Singer,ER,15,6,3,21,1.2815175733484827
87,Jamie Drysdale,ER,7,14,16,21,1.3307151579691823
88,Riley McCourt,FLNT,6,7,16,13,1.331326491723948
89,Nicholas Porco,SAG,20,8,5,28,1.344301078589644
90,Kyen Sopa,NIAG,19,8,4,27,1.363083687881148
91,Joey Keane,BAR/LDN,8,12,17,20,1.413728877245071
